"","DT25.CNAT.1D.June.2022","DT25.CNAT.1H.Sept.2021","DT25.CNAT.2D.August.2022","DT25.CNAT.2D.June.2022","DT25.CNAT.2H.August.2022","DT25.CNAT.2H.June.2022","DT25.CNAT.2H.Sept.2021","DT25.CNAT.3D.June.2022","DT25.CNAT.3H.August.2022","DT25.CNAT.3H.June.2022","DT25.CNAT.3H.Sept.2021","DT25.MCAV.1D.August.2022","DT25.MCAV.1H.August.2022","DT25.MCAV.1H.June.2022","DT25.MCAV.1H.Sept.2021","DT25.MCAV.2D.August.2022","DT25.MCAV.2H.August.2022","DT25.MCAV.2H.June.2022","DT25.MCAV.2H.Sept.2021","DT25.MCAV.3H.August.2022","DT25.MCAV.3H.June.2022","DT25.MCAV.3H.Sept.2021","DT25.OFAV.1H.August.2022","DT25.OFAV.1H.June.2022","DT25.OFAV.1H.Sept.2021","DT25.OFAV.2H.August.2022","DT25.OFAV.2H.June.2022","DT25.OFAV.2H.Sept.2021","DT25.OFAV.3H.August.2022","DT25.OFAV.3H.June.2022","DT25.OFAV.3H.Sept.2021","DT25.OFRA.1H.August.2022","DT25.OFRA.1H.June.2022","DT25.OFRA.1H.Sept.2021","DT25.OFRA.2H.August.2022","DT25.OFRA.2H.June.2022","DT25.OFRA.2H.Sept.2021","DT25.OFRA.3H.August.2022","DT25.OFRA.3H.June.2022","DT25.OFRA.3H.Sept.2021","DT26.CNAT.1H.August.2022","DT26.CNAT.1H.June.2022","DT26.CNAT.1H.Sept.2021","DT26.CNAT.2D.June.2022","DT26.CNAT.2H.August.2022","DT26.CNAT.2H.June.2022","DT26.CNAT.2H.Sept.2021","DT26.CNAT.3D.August.2022","DT26.CNAT.3D.June.2022","DT26.CNAT.3H.August.2022","DT26.CNAT.3H.June.2022","DT26.CNAT.3H.Sept.2021","DT26.MCAV.1H.August.2022","DT26.MCAV.1H.June.2022","DT26.MCAV.1H.Sept.2021","DT26.MCAV.2D.August.2022","DT26.MCAV.2D.June.2022","DT26.MCAV.2H.June.2022","DT26.MCAV.2H.Sept.2021","DT26.MCAV.3H.August.2022","DT26.MCAV.3H.June.2022","DT26.MCAV.3H.Sept.2021","DT26.OFAV.1H.August.2022","DT26.OFAV.1H.June.2022","DT26.OFAV.1H.Sept.2021","DT26.OFAV.2D.August.2022","DT26.OFAV.2H.August.2022","DT26.OFAV.2H.June.2022","DT26.OFAV.2H.Sept.2021","DT26.OFAV.3D.August.2022","DT26.OFAV.3H.August.2022","DT26.OFAV.3H.June.2022","DT26.OFAV.3H.Sept.2021","DT26.OFRA.1H.August.2022","DT26.OFRA.1H.June.2022","DT26.OFRA.1H.Sept.2021","DT26.OFRA.2D.August.2022","DT26.OFRA.2H.August.2022","DT26.OFRA.2H.June.2022","DT26.OFRA.2H.Sept.2021","DT26.OFRA.3D.August.2022","DT26.OFRA.3D.June.2022","DT26.OFRA.3H.August.2022","DT26.OFRA.3H.June.2022","DT26.OFRA.3H.Sept.2021","DT28.CNAT.1D.Febr.2022","DT28.CNAT.1D.June.2022","DT28.CNAT.1H.Febr.2022","DT28.CNAT.1H.June.2022","DT28.CNAT.1H.Sept.2021","DT28.CNAT.2D.June.2022","DT28.CNAT.2H.Febr.2022","DT28.CNAT.2H.June.2022","DT28.CNAT.2H.Sept.2021","DT28.CNAT.3D.June.2022","DT28.CNAT.3H.Febr.2022","DT28.CNAT.3H.June.2022","DT28.CNAT.3H.Sept.2021","DT28.MCAV.1D.Febr.2022","DT28.MCAV.1D.June.2022","DT28.MCAV.1H.Febr.2022","DT28.MCAV.1H.June.2022","DT28.MCAV.1H.Sept.2021","DT28.MCAV.2D.Febr.2022","DT28.MCAV.2H.Febr.2022","DT28.MCAV.2H.Sept.2021","DT28.MCAV.3D.Febr.2022","DT28.MCAV.3H.Febr.2022","DT28.MCAV.3H.Sept.2021","DT28.OFAV.1D.Febr.2022","DT28.OFAV.1D.June.2022","DT28.OFAV.1H.Febr.2022","DT28.OFAV.1H.June.2022","DT28.OFAV.1H.Sept.2021","DT28.OFAV.2D.June.2022","DT28.OFAV.2H.Febr.2022","DT28.OFAV.2H.June.2022","DT28.OFAV.2H.Sept.2021","DT28.OFAV.3D.Febr.2022","DT28.OFAV.3D.June.2022","DT28.OFAV.3H.Febr.2022","DT28.OFAV.3H.June.2022","DT28.OFAV.3H.Sept.2021","DT28.OFRA.1H.Febr.2022","DT28.OFRA.1H.June.2022","DT28.OFRA.1H.Sept.2021","DT28.OFRA.2D.June.2022","DT28.OFRA.2H.Febr.2022","DT28.OFRA.2H.June.2022","DT28.OFRA.2H.Sept.2021","DT28.OFRA.3H.Febr.2022","DT28.OFRA.3H.June.2022","DT28.OFRA.3H.Sept.2021"
"A21b_Prop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001336704
"A4b_Prop",0,0,4.82539e-05,0,0,0,0.0008019089,1.192521e-05,0,0,0,0,0,0,0,0.02091884,0,0,0,0,0,0.0008851756,0,0,0.001195931,0,0,0.00255463,0,0,0,0,0,0.005533215,0,0,0.001556352,0.004964913,0.002057682,0,0,0,0,0,0,0,0.0007900853,0.0002164083,0,0,0,0.0002113791,0,0,0.0003817939,0.0003009895,0,0,0,0,0,0.0001923719,0,0,0.0019011,0.003910302,0.0002280119,0,0.0004071864,0,0,0,0.0005812904,0,0,0.0004213775,0.0115193,0,0,0.01073271,0,0.0004407981,0,0,0,0.0004010554,0,0,0,0,0,0,0,0.001651209,0,0,0,0.0006239677,0,0,0,0,0.0005286975,0,0,0,0,0,0,2.278147e-05,0,0,0,0.001619167,0.0004928033,0,0,0.0004964997,0,0,0,0,0,0.004097284,0,0.03685897,0.01487015,0,0,0.0001244393,0,0,0
"AB1_Prop",0,0,0,0,0,0,0,5.366342e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001299851,0,0,0,0,0.0001770901,0,0,0,0,0,0.001172653,0,0,0,0,0,0,0,0,0,2.155442e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.148558e-05,0,0,0,0.000112577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001704855,0,0,0,0,0,0,0
"Abditibacteriaceae_Prop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001452486,0,0,0,0,0,0,0,0,0,0
"Acanthopleuribacteraceae_Prop",0,0,4.136048e-05,0,0,0,0.00298271,0,0,0,0,0,0,0,0,0.001368186,0,0,0,0,0,0.00104047,0,0,0.002178727,0,0,0.001067704,0,0,0,0,0,0.001077701,0,0,0.001428113,0.002477834,0,0,0,0,0,0.02409959,0,0,0.004996869,0.001628757,0,0,0,0.001966317,0,0,0,0,0,0,0,0,0,0.0004859923,0,0,0.005892978,0,0,0,0.007620203,0,0,0,0.003581615,0,0,6.092206e-05,0.001908623,0,0,0.001231693,0,0.0007106745,0,0,0.0001583103,0.0009885664,0,0,0,0.0002937086,0,0,0,0.0176246,0,0,0,0.002110479,0,0,0,0,0.0006821903,0,0,0,0,0,0,3.796911e-05,0.0002405195,0.0002081581,0,0.002744994,0.002854653,0,0,0.00755176,2.490119e-05,9.058223e-05,0,0,0,0.004064453,0,0.001898072,0,0,0,0,0,0,0
"Acaryochloridaceae_Prop",0,0,0,0,0,0,0.002386168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.764699e-05,0,0,0,0,0,0.001676885,0,0,0,0,0,0,0,0,0,0,0.0007558833,0,0,0,0,0,0,0,7.564646e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005776584,0,0,0,3.323971e-05,0,0,0,0,0,0,9.645992e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.487306e-05,0.00795096,0,0,0.0001638449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacteraceae_Prop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004067317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasmataceae_Prop",0,0,0,0,0,0,6.845564e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.898951e-05,0,0,0,0,0,0,0.0001262834,0,0,0.0001822471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002293949,0,0,0.0002216344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001161988,0,0,0,0,0,0,0,0,0,0
"Acidihalobacteraceae_Prop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.251137e-05,0,0,0,0,0,0,0
"Acidimicrobiaceae_Prop",0,0,0,0,0,0,0,0,0,0,0,0,0.0004217791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
