"","N0.HOG0000000"
"Terasakiellaceae_Prop",0.0271974673548974
"Nisaeaceae_Prop",NA
"Endozoicomonadaceae_Prop",NA
"Blastocatellaceae_Prop",NA
"Prolixibacteraceae_Prop",0.0442277251821107
"Kiloniellaceae_Prop",NA
"Desulfobacteraceae_Prop",NA
"Dethiobacteraceae_Prop",NA
"Caminicellaceae_Prop",NA
"Desulfotomaculales.Incertae.Sedis_Prop",NA
"Chromatiaceae_Prop",NA
"Christensenellaceae_Prop",0.0424487995046961
"Halobacteroidaceae_Prop",NA
"Rhodocyclaceae_Prop",NA
"Lentimicrobiaceae_Prop",NA
"Inquilinaceae_Prop",NA
"Spirochaetaceae_Prop",NA
"Chloroflexaceae_Prop",NA
"Lentisphaeraceae_Prop",0.0310773978925721
"Unknown.Family_Prop",NA
"Oligoflexaceae_Prop",0.00693767478653305
