UniqueCount	AmbigCount
460	0
195	0
6344	6
672	54
96	1
0	0
13	0
497	0
4273	0
5	0
253	17
0	0
685	4
3	0
23731	2
2279	0
17	0
3510	4
4959	0
6	0
237	0
2	0
103	0
24	0
44	0
2127	0
8	0
37	0
6	0
1452	0
15	0
0	0
724	0
5	0
0	0
281	0
76	0
0	0
801	0
1561	0
10	0
466	0
0	0
322	1
555	0
17	0
688	0
18	0
11	0
2214	0
18	0
2999	0
8	0
9	0
99	0
2146	0
431	0
2871	0
91	0
918	0
38	0
0	0
1105	0
13	0
28	0
85	0
6	0
17	0
137	0
388	1
900	0
84	0
31	0
370	0
2	0
0	0
0	0
54	0
6	0
6	0
0	0
108	0
0	0
1667	0
22	0
3318	0
1167	1
11	0
220	3
424	0
2036	12
36	0
130	1
20	0
50	0
25	0
4	0
0	0
786	0
4	0
320	1
186	0
2	0
46	0
16	0
46	0
1528	0
25	0
234	0
0	0
1	0
8837	5
641	1
8	0
16582	0
1160	0
0	0
6	0
8	0
1560	0
1	0
1308	0
1871	2
6	0
2850	0
998	0
5	0
28	0
24	0
0	0
1526	0
1275	0
95	0
15	0
35	0
1690	0
7	0
168	0
622	0
265	0
0	0
75	0
48512	2
2218	61
8238	62
4	0
1950	5
5276	0
0	0
4	0
10	0
34	0
1156	0
0	0
3477	0
125	0
25413	15
8	0
14	0
622	0
3	0
52	0
1564	0
1589	0
9933	0
1338	0
4	0
2	0
7	0
10837	0
6	0
3066	0
32	0
0	0
2324	1
4030	3
277	0
7	0
348	0
58	0
44	0
0	0
3	0
227	0
4	0
65	54
1131	0
46	0
16	0
1381	0
5	0
14	0
419	0
139	4
3	0
12	0
88	0
11	2
2628	0
8	0
12	0
12	0
727	0
4	0
50	0
13	0
2342	0
1	0
35	0
70	0
60	0
127	8
2511	0
252	0
4037	0
106	0
568	0
28	0
6	0
2	0
9	0
266	0
7	0
200	0
0	0
782	0
109	0
723	0
65	0
1661	0
9	0
400	0
6	0
52	0
111	0
736	0
0	0
1963	0
0	0
25876	0
16	0
439	1
103	1
44	0
1336	0
2	0
15	1
800	0
24	0
15	0
0	0
25	0
349	0
3	0
9	0
7	0
6273	1
579	2
28	1
9421	0
22	0
21	0
338	0
0	0
