UniqueCount	AmbigCount
512	0
402	0
11376	9
575	45
79	0
0	0
24	0
278	0
465	0
0	0
23	9
0	0
285	1
9	0
13386	0
647	0
0	0
1184	0
879	0
0	0
1431	0
0	0
40	0
0	0
38	0
437	0
0	0
0	0
0	0
104	0
0	0
4	0
237	0
29	1
14	1
20	0
12	0
0	0
98	0
1784	0
3	0
134	0
0	0
1	0
142	0
6	0
105	0
0	0
0	0
362	0
0	0
1701	0
10	0
0	0
1	0
115	0
51	0
1623	0
65	0
812	0
16	0
0	0
255	0
0	0
1	0
22	0
1	0
0	0
58	0
81	0
138	0
18	0
0	0
65	0
1	0
4	0
0	0
0	0
0	0
4	0
6	0
4	0
7	0
875	0
0	0
2461	0
1050	0
14	0
2100	24
313	0
518	0
32	0
6	0
22	0
12	0
0	0
1	0
0	0
343	0
0	0
40	0
70	0
0	0
17	0
6	0
13	0
551	0
0	0
37	0
4	0
3	0
357	0
104	0
3	0
1008	0
394	0
0	0
0	0
0	0
681	0
0	0
938	0
731	0
0	0
577	0
61	0
0	0
7	0
4	0
0	0
753	0
319	0
19	0
6	0
4	0
3298	0
0	0
5	0
275	0
118	0
1	0
0	0
31266	0
1229	22
17715	22
10	0
1363	77
775	0
0	0
4	0
43	0
5	0
429	0
20	0
2338	0
0	0
6936	9
0	0
6	0
199	0
0	0
8	0
1081	0
480	0
3254	0
382	0
28	0
5	0
0	0
6220	0
27	0
1227	0
1	0
0	0
599	0
2323	0
16	0
10	0
580	13
34	0
0	0
5	0
2	0
24	0
0	0
5	19
569	0
15	0
6	0
148	0
44	0
0	0
62	0
13	0
1	0
5	0
0	0
60	2
184	0
6	0
17	0
2	0
325	0
8	0
46	0
53	0
162	0
4	0
3	0
39	0
0	0
26	4
1470	0
5	0
6956	0
3	0
3558	1
25	0
0	0
0	0
0	0
106	0
0	0
97	0
0	0
1260	0
47	0
230	0
88	0
86	0
4	0
197	0
0	0
38	0
16	0
74	0
1	0
266	0
0	0
12963	0
8	0
