UniqueCount	AmbigCount
325	0
91	0
5022	6
194	10
36	0
0	0
13	0
313	0
1491	0
0	0
57	9
0	0
700	1
3	0
7593	1
2241	0
15	0
3835	0
4630	0
3	2
363	0
0	0
18	0
1	0
5	0
727	0
18	0
10	0
7	0
29	0
4	0
0	0
481	0
14	0
11	0
271	0
1	0
0	0
279	0
2614	0
5	3
524	2
17	2
104	0
149	0
0	0
240	0
0	0
0	0
1793	0
0	0
2356	0
4	0
0	0
0	0
778	0
177	0
2309	0
122	0
582	0
0	0
0	0
411	0
8	0
6	0
48	0
6	0
1	0
36	0
160	0
328	0
24	0
2	0
1223	0
0	0
2	0
1	0
2	0
6	0
11	0
4	0
19	0
0	0
864	0
12	0
5572	0
2237	2
1	0
171	6
0	0
765	4
68	1
22	0
6	0
26	0
0	0
0	0
0	0
463	0
6	0
203	0
119	0
0	0
61	0
10	0
55	4
648	0
14	0
143	0
0	0
0	0
52	0
273	0
8	0
7698	0
2449	3
30	0
1	0
198	0
650	0
0	0
2565	0
3606	2
5	0
1549	0
73	0
0	0
2	0
482	0
0	0
1165	0
1160	0
193	1
6	0
2	0
3006	0
0	0
73	0
426	0
195	0
0	0
14	0
23387	1
1643	0
3888	0
2	0
1112	20
1781	0
0	0
1	0
17	0
1	0
759	0
0	0
1923	0
3	0
24231	12
1	0
121	0
270	0
0	0
47	0
2423	0
859	0
4052	0
593	0
14	0
0	0
0	0
15775	0
2	0
1816	0
2	0
0	0
687	0
944	1
252	0
3	0
107	0
24	0
26	0
0	0
9	2
150	0
0	0
2	5
1262	0
40	0
9	0
141	0
9	0
0	0
170	0
51	0
3	0
0	0
17	0
5	0
131	0
1	0
14	0
0	0
946	0
0	0
45	0
14	0
331	0
0	0
7	0
169	0
0	0
1	0
1878	0
30	0
2507	0
2	0
1246	0
26	0
0	0
1	0
12	0
75	0
0	0
73	0
0	0
652	0
4	0
70	0
27	0
820	0
0	0
466	0
0	0
13	0
4273	0
224	0
1	0
1352	0
0	0
13447	0
0	0
230	0
265	1
1	0
360	0
0	0
10	0
436	0
12	0
21	3
0	0
0	0
265	0
0	0
4	0
0	0
1383	0
1086	1
6	0
13776	0
2	0
0	0
390	0
5	0
0	0
0	0
0	0
1860	0
80	0
29	1
0	0
20276	3
931	0
2004	33
469	0
3070	0
0	0
1267	1
27	5
3586	8
9	0
491	0
11	0
0	0
134	0
2	0
61	0
22	0
72	0
613	2
0	0
0	0
2	0
1272	0
34	0
5	0
54	0
0	0
2	0
3	0
758	0
0	0
4	0
1	0
17	0
18840	49
18	0
187	0
29	0
0	0
1	0
0	0
0	0
0	0
2	0
10	0
0	0
13	0
1552	0
0	0
1466	0
4749	4
21	0
86	0
4310	0
25	0
2	0
915	0
220	0
0	0
265	0
3	0
380	11
1652	11
1	0
437	0
1209	0
1184	0
4986	0
0	0
0	0
120	0
1226	11
1427	4
1	0
37	0
4	0
94	0
0	0
10	0
0	0
818	0
5	0
31	0
1183	0
0	0
0	0
141	0
10	0
1188	0
505	0
5	0
1005	0
238	0
229	3
27	0
930	0
17	0
1196	0
106	0
0	0
3	0
0	0
1464	0
3384	0
1067	0
1259	0
16	0
5	0
4	0
46	0
464	0
27	0
18	0
16	0
395	0
8534	0
768	0
376	0
0	0
13	0
0	0
19	0
8	0
17	0
6	0
18	0
339	139
6	0
8	0
4240	1
2456	0
6	0
0	0
2828	3
398	3
1419	0
12	0
14	1
14	0
459	0
1318	0
792	0
0	0
4	0
10	0
341	0
242	0
4	0
1	0
56	0
3190	0
17	0
759	0
0	0
2	0
0	0
35	0
1517	0
48	0
2240	0
635	0
44	0
193	1
105	0
5	0
463	0
518	0
2611	0
606	0
0	0
73	0
0	0
67	0
2598	0
140	0
3583	0
13	0
0	0
0	0
5	0
6	0
22	0
8	0
117	1
399	0
0	0
2733	0
14	0
0	0
7	0
0	0
305	0
0	0
924	0
126	11
0	0
26	0
1	0
0	0
0	0
5	0
213	0
1	0
361	0
351	0
5	0
670	0
34	0
5	0
0	0
0	0
0	0
0	0
817	0
6	0
62	0
0	0
971	42
3188	44
0	0
1	0
628	1
19	0
3126	0
0	0
766	0
0	0
25	0
0	0
165	0
97	0
735	0
4	0
2	0
148	0
257	1
0	0
160	0
8	0
56	0
2365	0
0	0
9	0
715	0
0	0
0	0
634	1
0	0
1053	0
1030	1
452	0
1681	4
0	0
4	0
959	0
8343	1
1551	0
0	0
94	0
3	0
8	0
2	0
4328	0
29	0
12	0
0	0
3	0
733	0
624	0
51	0
265	0
7	0
0	0
9	0
0	0
34	0
97	0
0	0
3	0
4354	0
929	0
767	0
265	0
0	0
3328	0
