UniqueCount	AmbigCount
254	0
180	0
2993	3
833	94
207	0
0	0
41	0
166	0
1506	0
0	0
61	18
0	0
149	3
0	0
17984	0
952	0
12	0
3121	0
2913	0
0	0
135	0
4	0
32	0
0	0
9	0
816	0
36	0
10	0
0	0
207	0
0	0
0	0
175	0
15	0
3	0
133	0
5	0
0	0
213	0
541	0
7	0
341	0
24	0
111	0
359	0
7	0
298	0
0	0
0	0
1003	0
0	0
3715	0
34	0
0	0
12	0
435	0
124	0
1721	0
134	0
404	0
16	0
0	0
217	0
8	0
19	0
15	0
0	0
35	0
132	0
137	1
144	0
10	0
3	0
435	0
0	0
9	0
0	0
11	0
0	0
13	0
9	0
4	0
0	0
750	0
19	0
3173	0
542	0
0	0
400	3
0	0
1386	0
126	0
8	0
27	0
7	0
0	0
10	0
0	0
836	0
1	0
37	0
51	0
0	0
74	0
0	0
19	0
913	0
94	0
145	0
12	0
0	0
69	0
186	0
1	0
1674	0
1740	0
11	0
6	0
69	0
1048	0
0	0
549	0
2221	0
9	0
1017	0
554	1
0	0
0	0
675	0
0	0
979	0
708	0
124	0
5	0
0	0
3606	0
8	0
34	0
443	0
328	0
2	0
29	0
55673	0
1419	0
6820	0
17	0
2106	71
1414	0
0	0
9	0
18	0
0	0
536	0
0	0
1955	0
63	0
7674	0
0	0
34	0
107	0
3	0
96	0
699	0
649	0
9672	0
499	0
4	0
7	0
9	0
8086	0
35	0
1367	0
0	0
0	0
1024	1
971	0
75	0
7	0
216	3
68	0
81	0
0	0
8	0
105	0
17	0
18	2
1018	0
102	0
37	0
136	0
14	0
23	0
176	0
10	0
0	0
0	0
22	0
0	3
2127	0
9	0
18	0
15	0
532	0
26	0
26	0
83	0
1541	0
0	0
15	0
77	8
0	0
0	3
1105	0
50	0
1603	0
2	0
4040	1
36	0
0	0
6	0
0	0
89	0
0	0
93	0
0	0
1042	0
0	0
247	0
69	0
678	0
0	0
418	0
0	0
0	0
103	0
126	0
6	0
697	0
0	0
28433	0
0	0
256	0
