UniqueCount	AmbigCount
476	0
250	0
2480	4
246	10
3992	27
0	0
19	0
219	0
1662	0
2	0
28	4
0	0
819	0
4	0
26573	1
2609	0
30	0
5797	3
5835	1
5	0
310	0
1	0
96	0
0	0
0	0
1173	0
6	0
21	1
5	0
320	0
8	0
0	0
756	0
25	0
8	0
209	0
12	0
214	0
721	0
1802	0
68	0
422	0
10	0
13	0
214	0
0	0
1427	0
0	0
2	0
1290	0
5	0
3010	0
7	0
3	0
41	0
1924	0
198	0
3047	2
274	0
908	0
47	0
0	0
745	0
0	0
142	0
76	0
0	0
16	0
76	0
82	0
336	0
77	0
8	0
692	0
0	0
10	0
6	0
21	0
4	0
25	0
2	0
77	0
0	0
2821	0
1	0
4538	0
1479	1
57	0
379	3
0	0
1581	11
13	0
412	0
8	0
31	0
4	0
2	0
0	0
948	0
0	0
323	0
202	0
6	0
89	0
19	0
57	0
1053	0
6	0
317	0
0	0
0	0
1720	1
613	0
0	0
6594	0
1655	0
0	0
5	0
5	0
1005	0
0	0
1826	0
2851	1
2	0
2312	0
518	0
1	0
1	0
352	0
0	0
1320	0
1088	0
213	2
7	0
9	0
2471	0
3	0
130	0
451	0
579	0
1	0
25	0
29100	1
2623	117
5466	117
18	0
4482	70
5572	0
0	0
0	0
16	0
0	0
1037	0
7	0
3355	0
43	0
20687	18
76	0
47	0
464	0
0	0
72	0
2558	0
1419	0
20287	0
1074	0
2	0
0	0
0	0
10373	0
15	0
2746	0
2	0
5	0
1056	3
3637	0
156	0
0	0
936	12
14	0
10	0
5	0
1	0
197	0
0	0
11	31
918	0
15	0
0	0
240	0
10	0
1	0
390	0
62	0
0	0
0	0
63	0
3	2
2990	0
5	0
53	0
0	0
690	0
6	0
49	0
25	0
1585	0
0	0
47	0
920	6
14	0
35	4
2600	0
76	0
4393	0
42	0
1205	0
24	0
61	0
6	0
0	0
263	0
0	0
248	0
3	0
1366	0
22	0
415	0
121	0
714	4
4	0
476	0
34	0
60	0
1242	0
431	0
2	0
2710	0
0	0
28778	0
14	0
351	0
382	10
10	0
1024	0
5	0
8	0
1041	0
11	0
34	0
0	0
0	0
412	0
2	0
2	0
0	0
3882	0
1179	2
42	0
10516	0
3	0
6	0
302	0
4	0
0	0
0	0
0	0
2665	0
66	0
70	0
9	0
9212	0
2226	0
2591	6
2198	0
4142	0
0	0
802	1
0	1
3732	0
3	0
2044	0
1482	0
7	0
230	0
1	0
1149	0
21	0
145	0
2303	5
0	0
0	0
6	0
1959	0
152	0
5	0
124	1
0	0
45	0
30	0
887	0
5	0
7	0
2	1
61	0
16936	8
21	0
401	0
16	0
163	1
3	0
153	5
5	0
5	0
11	0
22	0
2	0
13	0
2042	0
0	0
692	0
8578	2
2	0
884	0
9199	1
191	0
7	0
2646	0
539	3
0	0
680	0
0	0
621	34
3019	34
3	0
687	0
3683	0
1314	0
4279	0
2	0
0	0
391	0
701	4
2291	6
11	0
358	0
7	0
696	1
12	0
13	0
0	0
1840	0
1	0
33	0
1256	0
4	0
0	0
197	0
14	0
1128	0
762	0
3	0
1038	0
37	0
220	0
32	0
1268	0
38	0
4181	0
69	0
0	0
33	0
1	0
2190	0
2104	0
2373	0
3034	0
29	0
65	0
0	0
48	0
1013	0
39	0
31	3
22	0
675	0
13267	4
2313	0
2	0
0	0
5	0
3	0
0	0
30	0
6	0
510	0
10	0
896	489
150	0
411	0
6644	0
3382	0
35	0
0	0
4738	8
990	5
1550	0
9	0
0	0
21	0
845	2
2033	0
4158	1
8	0
8	0
1	0
1677	0
604	0
3	0
10	0
128	0
6923	0
56	0
1877	0
0	0
6	0
0	0
7	0
2036	0
0	0
3802	0
1579	0
150	0
228	0
212	0
0	0
798	0
1055	0
932	0
1245	0
8	0
216	0
15	0
25	0
2832	0
458	0
6325	1
0	0
0	0
5	0
2	0
11	0
7	0
8	0
150	0
488	0
1	0
3485	0
26	0
0	0
0	3
14	0
103	0
0	0
616	0
180	4
2	0
109	0
6	0
19	0
11	0
0	0
740	0
1	0
9236	0
820	0
1	0
935	0
106	0
0	0
0	0
0	0
0	0
0	0
844	0
14	0
20	0
0	0
1657	17
5775	17
0	0
0	0
1338	2
239	0
4140	0
0	0
1222	0
2	0
16	0
2	0
157	0
102	0
998	0
11	0
23	0
0	0
469	0
0	0
799	0
0	0
179	0
3404	0
0	0
10	0
1314	0
1	0
0	0
308	0
0	0
1582	0
2183	1
392	0
2116	0
0	0
8	0
1194	0
14639	0
2291	0
0	0
524	2
36	0
1390	2
9	0
6988	1
0	0
38	0
0	0
3	0
1230	0
1409	0
26	0
586	0
15	0
0	0
17	0
30	0
28	2
260	0
0	0
1	0
5993	0
302	0
1968	0
948	0
4	0
4165	0
308	0
83	0
0	0
0	0
737	0
840	0
28381	8
0	0
163	6
13	0
7	0
2359	0
10	0
25	0
637	0
77	0
633	0
160	0
2	0
498	0
419	0
594	0
64	0
3	0
201	0
10	0
2995	0
2638	0
0	0
0	0
0	0
489	0
129	0
811	3
373	0
134	0
245	1
551	0
7	0
0	0
3	0
1296	0
1940	0
65	0
1631	0
8	0
5	0
3022	3
6696	0
0	0
5	0
3045	1
0	0
1843	0
1897	2
2239	0
0	0
7	0
0	0
444	0
2377	0
0	0
0	0
1478	0
1298	2
2	0
0	0
6	0
3934	0
0	0
6928	0
5146	0
51	0
1844	0
1	0
2805	0
21	0
0	0
381	0
248	0
29281	2
76	0
907	0
16543	0
9	0
250	0
1	0
3573	8
672	7
4372	0
359	0
17	0
294	0
48	0
4	0
16	0
0	0
5	0
1531	0
245	1
1780	0
91	0
569	0
117	0
0	0
5	0
113	1
3	0
4280	0
11074	0
363	0
60	0
8	0
121	0
35	0
223	0
1487	0
41	0
1117	0
1	0
910	0
1559	1
4402	0
1	0
0	0
1208	0
5470	0
164	0
9	0
607	0
263	0
39	0
1445	0
13	0
640	0
1	0
47	0
5824	0
11	0
1716	0
14	0
14426	0
13	0
4	0
4	0
45	0
2146	0
4	0
1399	0
92	0
69	0
5056	0
441	0
4818	0
0	0
5	1
581	0
4	0
709	2
9	0
194	1
202	17
4	0
1360	0
4002	0
284	0
1174	0
8777	1
17	0
9	0
553	0
200	0
453	0
44	0
1	0
9	0
12	6
495	0
883	1
62	1
22	0
2852	0
1265	0
0	0
3	0
93	0
8	0
0	0
11	0
13	0
0	0
31	0
154	0
3364	32
11	0
8	0
174	0
714	0
0	0
954	0
1255	4
0	0
657	0
1040	0
76	0
188	1
139	0
0	0
6	0
776	6
210	0
1145	0
1889	0
0	0
739	0
773	0
14	0
6	0
477	0
0	0
2511	2
2246	0
428	0
624	0
0	0
257	0
2	0
0	0
8	0
1082	0
1190	0
0	0
3	0
1820	0
147	0
114	0
24	0
2	0
2	0
9020	0
535	0
15	0
1578	0
17	0
3	0
15382	0
32	4
696	0
4	0
1034	0
7	0
18	0
4202	0
2234	0
2083	0
2932	0
1255	0
4369	0
475	0
1529	0
436	0
14	1
2862	14
4	0
0	0
0	0
7793	0
953	0
545	0
11	0
992	0
0	0
145	0
5	0
469	0
39	0
388	0
0	0
2000	0
27	0
4	0
3705	0
0	0
49	0
6	0
2013	0
7	0
4413	1
7001	0
0	0
5389	3
32	0
0	0
46	0
407	0
10	0
1249	0
52	1
1332	1
5	0
7	0
0	0
1284	0
2309	1
270	1
7	0
972	5
16	0
3961	0
164	0
5959	0
29	0
0	0
780	0
448	0
102	0
476	0
348	0
258	0
140	1
24	0
999	0
616	0
39	0
503	4
2111	0
12	0
189	4
5540	0
1353	0
704	22
99	0
0	0
609	3
15	0
0	0
97	0
15	0
2615	0
7	0
2400	0
47498	8
2	0
59	0
300	0
17	0
2	0
13	0
11	0
16	0
812	0
600	0
6946	0
0	0
8	0
507	0
3	0
121	0
1855	0
2	0
886	0
2	0
29	0
2236	0
3	0
24	0
2759	0
785	0
870	0
105	1
1996	0
0	0
4	0
1112	0
2	0
2338	0
3862	0
0	0
3282	4
166	0
355	4
1301	0
1	0
2185	6
54	0
393	7
435	7
2753	0
2	0
21141	0
1920	61
1395	0
87	0
29	0
5325	0
3208	0
57	0
13	0
3336	0
1	0
27	0
12	0
1122	0
726	13
2591	1
3171	0
4	0
377	6
2867	6
2704	0
153	0
274	0
4	0
9	0
17	0
2	0
1	0
8	0
1	0
730	0
0	0
7	0
1	0
0	0
88	0
15	0
9	0
0	0
16	0
0	0
1894	0
13	0
921	1
1459	1
3	0
22	0
68	0
0	0
11	0
2892	0
12	0
166	0
606	0
473	0
6	0
1937	0
1472	0
2438	0
19	0
0	0
3	0
70	0
0	0
22	0
1306	0
1341	0
20	0
3296	0
11	0
3612	0
1351	0
5608	0
6	0
9	0
1110	1
381	0
2	0
707	0
17	1
1	0
626	0
2148	0
3768	0
7	0
9	0
9	0
725	0
0	0
21	0
5	0
0	0
135	0
41	0
0	0
4263	0
0	0
168	0
1	0
1	0
147	1
14	0
19	0
1	0
7	0
675	0
0	0
33	0
1158	0
18	0
0	0
147	0
439	0
0	0
7	0
0	0
0	0
19	0
735	0
120	0
78	0
3	0
3	0
58	0
0	0
1	0
212	0
0	0
0	0
223	5
337	29
267	0
6	0
644	0
334	0
97	0
9	0
4	0
14	0
30	0
981	0
847	0
8	0
91	0
49	0
31	0
875	0
2	0
0	0
413	1
24	0
0	0
167	0
1862	0
0	0
4	0
13	0
5043	1
228	1
127	0
0	0
4	0
22	0
2	0
6	0
6	0
21	0
6	0
7	0
919	1
4	0
17	0
7	0
183	0
40	0
8983	1
1	0
90	0
2414	0
10	0
1427	0
3	0
8	0
103	0
20	0
0	0
117	0
0	0
