UniqueCount	AmbigCount
829	0
57	0
3294	2
344	19
26	0
0	0
22	0
1106	1
1072	0
2	0
19	11
0	0
761	0
5	0
25894	1
2608	0
26	0
4341	0
4673	0
0	0
259	0
3	0
81	0
7	0
0	0
1368	0
3	0
15	0
5	0
1838	0
19	0
0	0
681	0
47	0
20	0
223	0
15	0
227	0
752	0
1853	0
28	1
556	0
0	0
16	0
266	0
0	0
363	0
0	0
0	0
2366	0
16	0
5822	0
0	0
0	0
117	0
2990	0
201	0
4048	0
48	0
1520	0
36	0
0	0
1055	0
0	0
10	0
17	0
0	0
6	0
248	0
83	2
324	0
21	0
16	0
768	0
0	0
1	0
12	0
14	0
12	0
16	0
2	0
56	0
0	0
2439	0
0	0
6053	0
2946	0
17	0
511	9
0	0
1225	9
10	0
52	0
9	0
17	1
0	0
11	0
0	0
1129	0
0	0
252	0
84	0
0	0
47	0
11	0
42	5
1125	0
1	0
347	0
4	0
6	0
2064	0
710	0
0	0
33034	1
1636	0
0	0
0	0
0	0
1077	0
0	0
1838	0
2660	0
0	0
1565	0
228	2
1	0
8	0
567	0
0	0
1302	0
290	0
152	0
1	0
6	0
2385	0
0	0
70	0
771	0
237	0
1	0
25	0
59981	3
3969	86
7190	86
0	0
1984	125
2440	0
0	0
3	0
15	0
0	0
1208	0
0	0
4738	0
72	0
45142	9
10	0
78	0
324	0
0	0
61	1
3347	0
1066	0
11949	0
1262	0
9	0
0	0
0	0
11965	0
26	0
3757	0
1	0
0	0
1003	0
5743	2
149	0
0	0
459	0
5	0
2	0
1	0
2	0
277	0
1	0
11	21
2370	0
0	0
1	0
2434	0
29	0
3	0
161	0
40	0
0	0
0	0
109	1
12	4
4801	0
0	0
20	0
9	0
1118	0
5	0
29	0
31	0
2247	0
0	0
38	0
91	0
44	0
17	3
4200	0
130	0
3138	0
127	0
1989	0
10	0
30	0
2	0
4	0
178	0
0	0
225	0
0	0
994	0
19	0
555	0
146	0
876	4
2	0
459	0
80	0
93	0
603	0
510	0
0	0
4626	0
0	0
50997	0
0	0
411	0
152	6
3	0
1119	0
0	0
11	0
980	0
32	0
53	1
0	0
0	0
277	0
3	0
0	0
1	0
3362	0
914	0
4	0
5339	0
11	0
24	0
185	0
27	0
0	0
0	0
0	0
3436	0
4	0
125	7
5	0
32509	5
2965	0
6002	17
1386	0
5090	0
0	0
999	0
0	2
1980	2
7	0
932	1
113	0
0	0
623	0
0	0
233	0
18	0
355	0
6481	11
0	0
0	0
18	0
2458	0
421	0
188	2
202	0
0	0
292	0
30	0
808	0
5	0
3	0
3	0
37	0
18592	25
6	0
698	0
0	0
210	0
3	0
336	26
0	0
5	0
57	0
40	0
0	0
4	0
1234	0
0	0
735	0
15798	7
8	0
936	0
8542	0
415	4
0	0
4786	0
364	0
0	0
1109	0
0	0
597	22
3156	22
0	0
671	0
2415	0
2111	0
5327	0
4	0
0	0
695	0
1991	10
2060	4
17	0
349	0
8	0
625	0
4	0
11	0
0	0
1665	0
8	0
38	0
1828	0
0	0
2	0
544	0
15	0
1411	0
847	0
0	0
870	0
57	0
273	0
12	0
1112	0
34	0
7426	0
158	0
4	0
42	0
0	0
1909	0
2193	0
2721	0
4440	0
28	0
11	0
5	0
101	0
2159	1
17	0
12	0
5	0
774	0
9645	5
2217	1
2	0
0	0
0	0
0	0
0	0
26	0
0	0
0	0
16	0
859	370
160	0
405	0
9827	0
3637	0
13	0
0	0
4106	4
479	0
1725	0
7	0
0	0
42	0
1080	2
1890	0
4857	0
0	0
22	0
2	0
929	0
969	0
12	0
16	0
162	0
6105	0
84	0
1520	0
0	0
16	0
0	0
10	0
1826	0
0	0
5194	0
1304	0
109	0
393	0
232	0
2	0
567	0
1118	0
1408	0
3421	0
42	0
315	0
18	0
14	0
2949	0
423	0
7183	0
0	0
0	0
7	0
8	0
0	0
5	0
4	0
191	0
317	0
5	0
2385	0
21	0
0	0
2	0
22	0
104	0
0	0
932	0
296	13
3	0
114	0
6	0
29	0
0	0
1	0
2796	0
0	0
47502	1
591	0
0	0
740	0
75	0
3	0
4	0
0	0
4	0
0	0
1049	0
18	0
5	0
7	0
1879	15
6193	21
0	0
0	0
729	1
180	1
5425	0
0	0
2323	0
0	0
7	0
6	0
109	0
58	0
672	0
3	0
10	0
1	0
452	0
0	0
334	0
3	0
1133	0
2656	0
0	0
17	0
1108	0
0	1
0	0
498	7
1	0
2294	0
1036	0
612	0
8227	16
9	0
15	0
967	0
13030	2
2098	0
0	0
509	0
19	0
1	0
5	0
6386	1
0	0
49	0
1	0
0	0
374	0
309	0
16	0
653	0
25	0
0	0
2	0
17	0
22	3
311	0
0	0
0	0
7281	0
2704	0
2362	0
453	0
0	0
3666	0
25	0
59	0
6	0
0	0
1347	0
857	0
9723	0
0	0
113	2
0	0
20	0
4754	0
0	0
27	0
335	0
128	0
550	1
197	3
6	0
626	0
331	0
747	0
30	0
1	0
215	0
7	0
3184	0
4607	0
0	0
0	0
0	0
491	0
179	0
1088	9
414	1
117	3
393	0
857	0
25	0
0	0
23	0
2206	0
1799	0
72	0
2098	0
9	0
5	0
1788	0
6434	0
0	0
0	0
3570	0
0	0
1354	0
452	0
3138	0
0	0
0	0
0	0
1007	0
3008	0
1	0
0	0
1363	0
973	3
0	0
0	0
0	0
5043	0
6	0
13825	0
7370	0
79	0
1295	0
3	0
2056	0
14	0
2	0
683	0
639	0
45185	0
42	1
1365	1
5633	0
2	0
179	0
1	0
267	0
806	10
1693	0
295	0
23	0
33	0
20	0
6	0
45	0
0	0
0	0
1769	0
17	0
3013	0
84	0
351	0
60	0
0	0
12	0
493	1
0	0
5658	0
7874	0
190	0
20	0
0	0
179	0
40	1
56	0
1553	0
39	0
431	0
0	0
2178	0
1697	2
8219	0
0	0
0	0
1379	0
6265	0
65	0
0	0
556	0
6653	1
61	0
2110	0
6	0
590	0
3	0
45	0
3025	0
32	0
1208	0
7	0
20986	0
15	0
18	0
0	0
60	0
2952	0
0	0
1918	0
0	0
3	0
4149	0
705	0
1034	0
1	0
0	0
831	0
0	0
10058	37
6	0
357	0
174	21
7	0
2782	0
9009	0
563	0
762	0
4842	1
14	0
4	0
642	0
404	2
905	0
12	0
0	0
9	0
15	17
294	0
670	0
61	0
12	0
5463	0
1180	0
0	0
3	0
139	0
3	0
0	0
3	0
10	0
0	0
21	0
277	1
5982	18
14	0
21	0
125	0
562	0
0	0
896	0
273	1
0	0
978	0
1964	0
138	0
125	0
65	0
3	0
6	0
324	3
30	0
1828	0
3001	0
0	0
246	0
1141	0
21	0
0	0
731	0
0	0
6568	3
2011	0
415	1
530	0
0	0
286	0
0	0
0	0
4	0
656	0
1363	0
0	0
1	0
8033	0
209	0
162	0
38	0
0	0
0	0
13279	0
399	0
2	0
1276	0
4	0
0	0
14392	0
10	0
719	0
0	0
1827	0
2	0
40	0
5211	0
1425	0
2740	0
2643	0
1407	0
3162	0
188	0
2559	0
381	0
10	0
4202	8
0	0
0	0
0	0
8475	0
625	2
661	0
10	0
880	0
0	0
55	0
5	0
536	0
32	0
205	0
0	0
2128	0
13	0
29	0
2696	0
0	0
38	0
6	0
1687	0
2	0
4031	0
6012	0
0	0
5733	0
4	0
0	0
37	0
183	0
2	0
1362	0
28	0
1295	6
3	0
0	0
4	0
801	0
3448	0
296	0
16	0
1683	3
27	0
3013	0
215	0
7749	0
48	1
0	0
1212	0
414	0
13	0
434	4
455	1
36	0
378	0
24	0
827	0
720	0
26	0
693	1
1345	0
16	0
74	0
1618	0
1040	0
0	0
55	0
0	0
456	0
41	0
0	0
120	1
20	0
3382	0
7	0
3779	0
21387	8
2	0
62	0
201	0
6	0
5	0
