UniqueCount	AmbigCount
25891	0
210	0
194	0
0	0
1653	0
0	0
21	0
11	0
0	0
370	0
44	0
0	0
173	0
0	0
2695	0
0	0
72	0
30	0
13	0
347	0
293	0
1471	111
19	0
0	0
10	0
0	0
0	0
22	0
0	0
131	0
43	0
7	0
181	0
9	0
2	0
0	0
1	0
26	0
18	0
2010	0
11	0
739	0
36	0
1059	0
0	0
100	1
71	0
233	0
34	0
6	0
201	0
304	0
0	0
0	0
48	0
14	0
0	0
37	0
5	0
1909	1
5	0
16	0
1905	0
16	0
88	4
50	0
0	0
247	0
1173	0
198	1
7	0
26	0
0	0
0	0
298	0
430	0
1	0
21	0
103	0
0	0
0	0
97	0
0	0
4873	0
163	0
0	0
2200	0
17	0
0	0
226	0
1781	0
142	0
0	0
3	0
877	0
5	0
29	0
160	0
0	0
32	0
253	0
8169	0
0	0
0	0
33	0
1100	1
0	0
1475	429
319	0
13403	0
0	0
65	0
12	0
32	0
1474	0
0	0
75	0
3	0
0	0
3	1
0	0
0	0
380	0
396	0
0	0
0	0
7296	0
192	0
41413	0
551	0
0	0
2124	0
8	0
0	0
56	0
1171	0
0	0
0	0
0	0
26	0
44	0
0	0
0	0
0	0
253	0
2733	0
50	0
16	0
273	0
32	0
0	0
39	0
972	0
3	0
5835	0
164	0
7	0
19	0
0	0
0	0
503	0
21	0
241	0
22934	530
713	0
2477	0
120	0
0	0
77	0
244	0
810	0
0	0
0	0
26	0
0	0
7	0
684	0
42	0
23	0
0	0
0	0
2	0
9	0
0	0
7	0
210	0
20	0
295	0
569	0
0	0
10	0
120	0
26	0
1723	1
110	0
0	0
7	0
6	0
0	0
6	0
14	0
0	0
890	0
141	0
697	0
30	0
0	0
6	0
506	0
1	0
9	0
0	0
0	0
20	0
10	0
0	0
81	0
0	0
3394	89
1	0
0	0
0	0
931	0
7	0
180	0
2	0
2346	3
35	0
53	0
1321	0
0	0
1450	0
118	0
9	0
150	0
1004	0
0	0
3	0
175	0
0	0
0	0
862	0
260	0
0	0
182	0
381	0
0	0
372	0
0	0
19	0
687	0
332	0
1301	0
1303	0
0	0
2028	0
10	0
860	0
1524	0
1761	2
40	6
696	0
2	0
13	0
87	0
907	0
596	0
433	0
477	0
64	0
168	0
187	0
1091	0
104	0
5	0
0	0
277	0
49	0
0	0
25	0
0	0
5	0
0	0
0	0
0	0
486	0
310	0
29	0
0	0
0	0
71	1
41	6
0	0
0	0
8528	0
0	0
9	0
5	0
0	0
24	0
242	0
4	0
209	0
6	0
0	0
2	0
115	0
4	0
0	0
0	0
609	0
17	0
128	0
148	0
0	0
18	0
46	0
1222	0
11	0
77	0
76	0
22	0
1566	0
0	0
947	4
0	0
71	0
0	0
0	0
666	0
2	0
45	0
16	0
67	0
569	4
8	0
80	0
0	0
0	0
29	0
217	0
0	0
1467	14
88	0
69	0
4389	76
35	0
2627	0
8	0
7	0
68	0
0	0
13849	16
162	0
317	0
8	0
311	0
72	1
458	0
49	0
23	0
121	0
5844	14
29	0
12	0
0	0
49	0
0	0
8	0
57	0
423	0
144	0
14	0
19	0
18	0
143	0
60	0
677	0
104	0
778	0
1621	0
7838	0
62	0
0	0
0	0
6	0
10	0
925	0
7	0
137	0
4	0
0	0
637	0
392	0
0	0
1508	3
616	0
21	0
12	0
3140	0
48	0
178	0
1535	0
0	0
118	0
116	0
83	0
577	0
692	0
2	0
78	15
11	0
2435	0
0	0
0	0
212	0
0	0
4	0
1	0
0	0
0	0
0	0
0	0
0	0
254	0
8	0
193	0
102	0
88	0
15646	0
232	0
8	0
0	0
20	0
1296	0
460	0
10	0
56	0
6	0
56	0
14	0
29	0
0	0
1123	0
0	0
311	0
390	2
1	0
4	0
0	0
54	0
86	0
106	0
0	0
0	0
177	0
7	0
81	0
684	0
0	0
555	0
0	0
2342	0
440	8
18	0
0	0
0	0
125	0
0	0
4	0
508	0
11	0
21	0
229	0
169	0
1847	0
16	1
566	0
117	0
578	0
87	1
13	1
3328	0
4951	0
0	0
0	0
0	0
14	0
154	0
13	0
112	0
0	0
0	0
57	0
58	0
4	0
14	0
30	0
0	0
0	0
82	0
0	0
19	0
0	0
0	0
3	0
4	0
401	0
0	0
12	0
441	0
63	0
0	0
18	0
3	0
2542	0
1	0
44	0
500	0
74	0
27	0
0	0
67	0
283	80
60	0
10	0
8	0
32	0
0	0
178	0
77	1
55	0
38	0
240	0
484	0
94	0
0	0
0	0
6	0
42	0
52	0
561	0
1179	0
0	0
0	0
95	0
0	0
5253	0
2	0
1086	0
74	0
0	0
12	0
86	0
11	0
358	0
15	0
0	0
583	0
569	0
16	1
0	0
37	0
435	0
0	0
5	1
0	0
0	0
191	0
57	0
25	0
168	0
0	0
449	0
0	0
6	0
5	0
99	0
34	0
0	0
6	0
15	0
16	0
487	0
6	0
29	0
0	0
329	0
1	0
40	0
117	0
0	0
1279	39
3681	158
11	0
57	0
211	0
43	0
0	0
80	0
0	0
0	0
4	1
1290	0
46	0
451	0
6	0
29	0
440	0
499	0
21	0
0	9
10	0
266	0
8	0
0	0
19	0
0	0
0	0
6	0
8	0
0	0
5	0
845	0
0	0
35	0
88	0
8	0
0	0
0	0
110	0
2	0
6	0
1	0
4	2
2724	0
14	0
342	0
0	0
0	0
0	0
0	0
299	0
0	0
217	0
52	0
0	0
0	0
0	0
1626	0
38	0
3	0
24	0
0	0
