UniqueCount	AmbigCount
68473	0
993	0
292	0
3	0
471	0
26	0
5	0
64	0
24	0
196	0
47	0
17	0
280	0
2	0
808	0
0	0
108	0
36	0
227	0
1166	0
233	0
1018	34
0	0
0	0
67	0
22	0
23	0
8	0
41	0
792	0
53	0
32	0
167	0
156	0
15	0
0	0
11	0
23	0
32	0
3745	0
11	0
596	0
0	0
1614	0
12	0
0	0
647	0
499	0
93	0
21	0
146	0
204	0
0	0
24	0
10	0
3	0
0	0
14	0
1	0
2095	0
0	0
66	1
1692	0
22	0
2060	107
317	0
0	0
871	0
2148	0
1649	4
38	0
126	0
107	0
0	0
249	0
1143	0
12	0
16	0
221	0
30	0
4	0
358	0
5	3
8606	0
288	0
48	0
4884	0
6	0
5	0
166	0
4748	0
55	0
0	0
10	0
701	0
0	0
12	0
193	0
0	0
41	0
272	0
7567	0
11	0
12	0
128	0
5015	22
59	0
1647	92
261	0
6585	12
14	0
197	0
16	6
0	0
1509	0
16	0
178	0
0	0
0	0
0	0
71	0
18	0
993	0
127	0
14	0
0	0
5839	0
7	0
86730	0
1613	0
35	0
4464	6
20	0
0	0
263	0
2797	0
61	0
964	0
78	0
0	0
5	0
0	0
0	0
9	0
602	0
1927	0
0	0
0	0
1036	0
24	0
62	0
26	0
2529	0
22	0
6235	1
125	0
0	0
40	0
0	0
1	0
361	1
91	0
112	0
16748	22
390	0
3359	0
346	0
10	0
272	0
1477	0
1196	0
0	1
20	0
63	0
24	0
0	0
1080	0
35	0
70	1
0	0
30	0
13	0
2	0
4	0
15	0
610	0
269	0
379	0
1026	0
6	0
21	0
346	0
0	0
181	0
11	0
75	0
13	0
5	0
0	0
1	0
59	0
3	0
1754	0
198	0
1152	0
26	0
22	0
9	0
595	0
24	0
49	0
0	0
0	0
124	0
30	0
20	0
17	0
40	0
1179	18
8	0
13	0
44	0
1241	0
3	0
275	0
0	0
1501	0
17	0
361	0
1678	0
0	0
278	0
36	0
208	0
670	0
638	0
1	0
0	0
296	0
9	0
0	0
1328	0
707	0
3	0
488	0
1109	0
1	0
1024	5
0	0
33	0
1474	0
718	0
2581	0
2212	0
0	2
3705	1
5	0
1956	0
1037	0
3240	0
77	0
1810	0
9	0
107	0
488	0
3018	0
619	0
950	0
1098	0
49	0
290	0
107	0
1605	0
488	0
0	0
0	0
537	0
45	0
88	0
0	0
31	0
9	0
43	0
19	0
0	0
0	0
316	0
43	0
68	0
0	0
56	0
100	16
9	0
0	0
25813	0
58	0
39	0
0	0
0	0
48	0
915	0
25	0
1051	0
0	0
0	0
0	0
622	0
8	0
27	0
0	0
2616	0
13	0
185	0
490	0
4	0
0	0
89	0
2095	0
0	0
138	0
317	0
164	0
1436	0
43	0
1685	4
0	0
485	0
4	0
43	1
1260	0
39	1
200	18
5	0
319	0
1777	0
81	0
429	0
0	0
102	0
8	0
1518	0
4	0
6	0
527	0
0	0
4944	52
25	0
924	0
6	0
20	0
52	0
0	0
16962	61
302	0
1497	0
44	0
398	0
0	0
4011	0
147	0
165	0
539	0
4363	0
17	0
28	0
39	0
252	0
6	0
79	0
0	0
553	0
139	1
64	0
10	0
114	0
8	1
151	3
831	0
135	0
795	0
1659	0
4040	0
1041	0
0	0
0	0
14	0
5	0
1836	0
0	0
300	0
42	0
34	0
1876	0
324	0
0	0
1331	8
1889	0
44	0
15	0
2355	0
145	0
917	0
2896	0
0	0
170	0
420	1
88	0
223	0
1659	7
142	1
158	10
0	0
3965	0
10	0
0	0
603	1
0	0
0	0
0	0
0	0
13	0
0	0
37	13
3	0
586	0
65	0
282	0
364	0
138	0
16476	0
200	0
48	0
68	0
30	0
1573	2
584	0
4	0
14	0
0	0
0	0
120	0
10	0
0	0
1091	0
47	0
530	0
915	4
45	0
10	0
0	0
100	0
166	0
353	0
0	0
0	0
1081	0
2	0
52	0
2551	0
11	0
410	0
0	0
1051	0
306	0
23	0
55	0
1	0
517	0
28	0
2	0
684	0
0	0
21	0
420	0
240	0
1322	0
11	0
643	0
80	0
744	0
171	0
8	0
3770	0
4118	0
77	0
0	0
0	0
32	0
105	0
37	0
390	0
0	0
0	0
66	0
84	0
15	0
84	0
156	0
6	0
3	0
137	0
0	0
37	0
24	0
17	0
210	0
9	0
481	0
0	0
32	0
319	0
111	0
13	0
23	0
13	0
473	0
0	0
155	0
1897	0
613	0
0	0
25	0
126	0
219	49
74	0
0	0
26	0
72	0
10	0
144	0
834	0
81	0
53	0
549	3
932	0
65	0
5	1
13	0
21	0
168	0
38	0
73	0
153	0
7	0
0	0
1288	0
0	0
8838	0
54	0
916	0
75	0
0	0
8	0
285	0
9	0
0	0
0	0
0	0
1192	0
956	0
1	1
19	0
223	0
454	0
16	0
39	0
0	0
6	0
294	0
238	0
578	1
916	1
7	0
1486	0
39	0
0	0
0	0
715	0
7	0
11	0
4	0
0	0
20	0
921	0
0	0
59	0
0	0
189	0
41	0
18	0
482	0
15	0
111	3
636	29
20	0
72	0
338	0
0	0
40	0
48	0
20	0
58	0
5	0
1228	0
109	0
1508	0
7	0
7	0
1629	0
1611	0
17	0
18	0
130	0
8	0
10	0
0	0
73	0
20	0
72	0
2	0
72	0
0	0
15	0
1343	0
0	0
63	0
86	0
29	0
0	0
0	0
487	15
14	0
0	0
1	0
0	0
2439	0
3	0
510	0
16	0
1	0
13	0
12	0
740	0
6	0
700	0
143	0
0	0
0	0
0	0
4851	0
2	0
11	0
2	0
0	0
607	0
0	0
774	0
7	0
59	0
429	0
0	0
9	0
0	0
279	0
0	0
167	0
16	0
31	0
23	0
5	0
2	0
72	0
17	0
0	0
0	0
0	0
46	0
1269	0
38	0
432	0
35	0
1287	0
0	0
8	0
2309	0
37	0
87	0
12	0
72	0
7	0
86	0
57	3
18	0
86	0
0	0
1906	6
13	4
99	0
436	0
341	0
1	0
823	0
110	1
28	0
0	0
50	0
96	0
20	0
149	0
585	0
662	0
19	0
368	2
30	0
329	0
167	146
0	0
13	0
93	0
20	0
1	0
477	0
101	0
20	0
10	0
0	0
39	0
0	0
887	0
1162	0
226	0
736	0
555	0
0	0
36	0
200	0
49	0
18	0
0	0
296	0
10	0
9	0
105	0
2455	0
9	0
10	0
531	0
0	0
8	0
50	0
647	0
36	0
17	0
24	0
27	0
117	0
2	0
175	0
72	0
18	0
0	0
222	1
165	0
117	0
3970	0
101	0
0	0
0	0
10	0
405	0
2509	0
493	0
