UniqueCount	AmbigCount
37613	0
836	0
312	0
1	0
212	0
8	0
20	0
0	0
0	0
257	0
11	0
0	0
123	0
0	0
1797	0
45	0
94	0
14	0
138	0
32	0
189	0
314	34
0	0
21	0
67	0
13	0
3	0
7	0
10	0
390	0
36	0
1	0
207	0
15	0
22	0
0	0
0	0
61	0
22	0
2653	0
68	0
662	0
0	0
910	0
74	0
9	1
200	0
161	0
51	0
5	0
71	0
530	0
3	0
0	0
22	0
16	0
7	0
0	0
6	0
1245	0
1	0
4	0
6228	0
2	0
664	58
168	0
0	0
578	2
1390	0
2089	2
2	0
156	0
13	0
0	0
190	0
866	0
0	0
0	0
21	0
28	0
0	0
111	0
2	0
8865	0
147	0
0	0
2835	0
5	0
4	0
423	0
2857	0
38	0
1	0
4	0
479	0
1	0
3	0
175	0
10	0
9	0
217	0
6078	0
2	0
18	0
29	0
3718	0
56	0
2227	434
75	0
11110	0
0	0
172	0
28	0
21	0
1084	0
2	0
84	0
0	0
0	0
6	2
0	0
5	0
600	0
121	0
7	0
1	0
7461	0
6	0
45643	0
951	0
2	0
2895	2
17	0
308	0
315	0
1441	1
0	0
0	0
0	0
4	0
1	0
10	0
25	0
5	0
3062	0
4364	0
7	0
23	0
696	0
23	0
13	0
33	0
1688	0
7	0
8332	2
179	0
9	0
11	0
0	0
0	0
242	0
15	0
321	0
23122	323
903	0
3591	0
34	0
10	0
133	0
1049	0
932	0
4	0
16	0
76	0
0	0
0	0
1006	0
21	0
63	0
5	0
4	0
13	0
7	0
4	0
4	0
583	0
100	0
289	0
1283	0
4	0
6	0
61	0
26	0
457	0
37	0
2	0
17	0
3	0
0	0
0	0
51	0
0	0
2191	0
143	0
861	0
0	0
10	0
0	0
398	0
50	0
6	0
0	0
7	0
48	0
24	0
3	0
117	0
0	0
833	85
1	0
0	0
0	0
288	0
3	0
761	0
0	0
3367	5
8	0
0	0
248	0
8	0
17661	0
10	0
27	0
349	0
1039	5
32	0
0	0
312	0
3	0
0	0
1584	0
507	0
0	0
351	0
329	0
0	0
466	6
0	0
42	0
1012	0
353	0
1315	0
1343	0
5	0
3788	0
0	0
1512	0
1814	0
1420	2
42	3
1051	0
15	0
26	0
229	0
2377	0
270	5
608	0
401	0
73	0
359	0
42	0
2127	0
226	0
0	0
4	0
254	0
136	0
0	0
91	0
0	0
17	0
0	0
0	0
0	0
471	0
969	0
79	0
0	0
16	0
28	2
56	2
0	0
2	0
10152	0
90	0
3	0
4	0
0	0
2	0
768	0
6	0
342	0
0	0
0	0
1	0
330	0
9	0
0	0
0	0
3403	0
2	0
97	0
437	2
0	0
0	0
88	0
2421	0
0	0
313	0
355	0
84	0
1933	0
35	0
4841	8
6	0
350	0
0	0
0	0
793	0
3	0
64	0
0	0
192	0
1001	0
12	0
93	0
10	0
78	0
11	0
802	0
10	0
59	0
241	0
70	0
10346	216
12	0
1831	0
0	0
0	0
15	0
3	0
12850	49
212	2
1465	0
8	0
446	0
37	6
6545	0
242	0
288	0
303	0
4477	0
37	0
8	0
2	0
180	0
7	0
7	0
2	0
718	0
44	1
9	0
18	0
32	0
88	0
74	0
566	0
107	0
957	0
2735	0
5266	0
523	0
0	0
2	0
0	0
6	0
1244	0
0	0
149	0
0	0
15	0
1182	0
795	0
6	0
1549	0
539	0
0	0
13	0
1791	0
17	0
679	0
4424	0
0	0
50	0
195	0
39	0
417	0
812	0
26	0
122	2
14	0
3071	0
4	0
0	0
366	0
0	0
27	0
1	0
0	0
4	0
0	0
17	7
8	0
219	0
37	0
357	0
430	0
23	0
23977	0
211	0
21	0
6	0
10	0
931	0
749	0
209	0
18	0
9	0
63	0
182	0
12	0
17	0
2412	0
0	0
431	0
671	0
0	0
14	0
10	0
60	0
33	0
310	0
7	0
2	0
644	0
1	0
167	2
12292	0
0	0
240	0
4	0
2711	0
168	0
9	0
1	0
0	0
136	0
1	0
7	0
354	0
8	0
1	0
235	0
133	0
1741	0
0	0
470	0
16	0
600	0
166	0
155	0
3174	0
4654	2
141	0
3	0
1	0
0	0
90	0
1	0
163	0
0	0
14	0
141	0
119	0
34	0
38	0
258	0
1	0
0	0
124	0
0	0
93	0
0	0
38	0
83	0
2	0
445	0
3	0
4	0
614	0
76	0
0	0
24	0
7	0
1405	0
0	0
99	2
1087	0
283	0
140	0
18	0
123	0
221	27
43	0
20	0
41	3
0	0
0	0
120	0
382	2
63	0
41	0
328	0
675	0
96	0
0	0
2	0
37	0
109	0
31	0
2755	0
915	0
1	0
0	0
997	0
0	0
10119	0
19	0
1190	0
22	0
0	0
12	0
230	0
0	0
383	0
4	0
0	0
2085	0
2160	0
6	0
0	0
310	0
475	0
0	0
2	0
0	0
4	0
254	0
111	0
119	0
130	0
14	0
1123	0
7	0
71	0
16	0
238	0
41	0
3	0
0	0
9	0
28	0
667	0
5	0
38	0
22	0
87	0
0	0
10	0
202	0
1	0
275	7
986	11
4	0
107	0
462	0
97	0
8	0
72	0
14	0
0	0
7	2
1552	0
85	0
821	0
0	0
21	0
1155	0
1235	0
9	0
6	0
15	0
250	0
4	0
0	0
196	0
65	0
7	0
24	0
37	0
76	0
0	0
1090	0
0	0
0	0
6	0
10	0
0	0
1	0
659	1
8	0
22	0
1	0
8	0
2088	1
11	0
353	0
45	0
0	0
33	0
7	0
492	0
1	0
470	0
56	0
15	0
3	0
0	0
3700	0
80	0
6	0
240	0
15	0
211	0
46	0
875	0
15	0
26	0
374	0
10	0
3	0
2	0
195	0
96	0
180	0
0	0
4	0
0	0
20	6
2	0
17	0
24	0
0	0
0	0
24	0
50	0
1473	0
0	0
307	0
1	0
2648	0
0	0
49	0
1120	0
0	0
19	0
4	0
2	0
6	0
15	0
11	0
0	0
64	0
0	0
1283	0
16	0
3	0
394	0
154	0
2	0
983	0
164	0
20	0
1	0
15	0
0	0
6	0
223	0
723	0
539	0
4	0
9	0
6	0
134	3
351	232
15	0
5	0
35	0
44	0
24	0
1115	0
21	0
2	0
374	0
0	0
33	0
0	0
523	0
1267	0
51	0
541	0
1005	0
0	0
45	0
152	0
14	0
0	0
1	0
378	0
0	0
20	0
11	0
2131	0
0	0
20	0
319	0
0	0
10	0
11	0
681	0
1	0
9	0
0	0
28	0
196	0
0	0
13	0
47	0
25	0
0	0
114	0
76	0
0	0
4497	0
116	0
5	0
0	0
98	0
260	0
2845	0
213	0
0	0
174	2
188	0
0	0
3	0
0	0
7	0
0	0
197	0
485	4
0	0
0	0
694	0
262	0
0	0
223	5
86	0
4427	0
1118	2
9	0
1099	0
2	0
45	0
509	0
0	0
0	0
2	0
29	0
907	0
27	0
32	0
0	0
0	0
26	0
3	0
380	0
19	0
0	0
5	0
19	0
972	0
114	7
31	1
20	0
43	0
0	0
124	0
2	0
632	0
12	0
5	0
75	0
0	0
0	0
85	0
88	0
129	0
1	0
373	0
693	0
15	0
2	0
159	0
2000	0
70	0
12	0
0	0
2576	0
448	0
469	0
0	0
4	0
55	0
25	0
3950	0
3	0
267	0
0	0
0	0
0	0
2370	0
3	0
28	2
393	0
65	0
0	0
26	0
234	0
441	0
39	0
293	0
655	0
385	0
355	0
3	0
3539	0
68	0
43	0
149	0
0	0
105	0
371	0
0	0
2	0
20	0
0	0
2	0
121	0
385	0
13	0
466	0
0	0
13	0
125	0
2107	0
0	0
26	0
1485	0
142	0
361	0
0	0
53	0
182	0
296	0
3442	0
85	4
288	0
29	0
15	0
5705	13
818	0
0	0
128	0
9	0
131	0
3139	5
3	0
352	0
712	0
37	0
3824	4
8	0
0	0
0	0
2	0
260	0
0	0
5	0
4	0
34	0
7	0
65	0
376	0
115	1
373	0
355	0
21	0
173	0
7	0
125	0
0	0
82	0
269	0
0	0
1086	0
8	0
0	0
96	0
127	5
5	0
0	0
7	0
46	0
264	0
2	0
22	0
5571	0
263	0
22	0
3	0
0	0
1	0
3	0
360	0
0	0
184	0
567	0
0	0
13	0
5	0
11	0
478	0
27	0
0	0
105	0
42	0
93	0
209	0
19	0
8	0
822	8
3037	0
15	0
38	0
355	0
922	0
95	0
0	0
4	0
118	0
17	0
341	0
1310	0
2200	0
37	0
16767	0
2	0
29	0
128	1
2	0
71	0
0	0
0	0
25	0
53	0
1039	0
9	3
0	0
709	0
3	0
0	0
238	76
0	0
779	0
0	0
181	0
2729	0
9	0
16	0
15	0
233	0
51	0
5	0
997	0
25	0
111	0
1785	0
1663	0
327	0
5	0
1651	0
578	0
9	0
64	0
11	0
152	0
0	0
0	0
0	0
7	0
0	0
5	0
150	0
50	0
6	0
14242	0
616	0
497	0
149	0
119	0
0	0
322	0
1349	0
16	0
33	0
73	0
145	0
631	0
9	0
2074	0
0	0
58	0
0	0
0	0
176	0
10	0
976	0
2248	0
192	0
6	0
8	0
339	1
125	0
0	0
2	0
2657	0
0	0
831	139
52	0
228	0
476	0
6	0
12	0
29	0
575	0
226	0
57	0
12	0
937	0
762	0
1	0
22	0
216	0
0	0
0	0
35	0
0	0
2290	0
103	0
3	0
53	0
0	0
39	0
17	0
0	0
0	0
13534	22
293	0
2	0
997	0
22000	0
45	5
6	0
257	0
2067	0
942	0
11	0
10517	0
6426	0
156	0
9	0
0	0
0	0
2481	0
29	0
31	0
0	0
445	0
0	0
196	6
3	0
725	0
735	1
256	1
0	0
1103	0
0	0
0	0
0	0
116	0
0	0
258	0
0	0
8	0
127	0
357	0
4344	0
0	0
127	1
0	0
8	0
371	0
50	0
330	0
97	0
23173	0
13	0
0	0
0	0
10	0
1	0
8	0
13	0
18	0
193	0
24	0
603	0
33	0
66	0
0	0
97	0
69	0
1089	2
8	0
10	0
32	0
7	0
212	0
1551	249
69	249
0	0
78	0
578	0
13	0
0	0
0	0
23	0
0	0
92	10
102	1
0	0
33	0
3	0
0	0
412	0
8	0
285	0
21	0
0	0
0	0
106	0
19	0
1272	0
9	0
4505	0
81	0
103	0
4	0
34	5
28	0
51	1
45	0
38	0
16	0
0	0
3328	0
93	1
772	0
8	0
0	0
2717	0
42	0
0	0
0	0
475	0
96	0
5	0
26	0
13619	0
9	0
61	4
1	0
0	0
31	0
0	0
2	0
841	0
109	0
982	23
696	0
2687	2
16	0
225	0
25	0
150	10
54	10
37	0
437	0
1	0
2	0
30	0
48	0
276	0
42	0
0	0
62	0
0	0
194	0
19	0
94	0
285	0
0	0
37	0
890	0
521	0
