UniqueCount	AmbigCount
39442	0
1771	0
190	0
61	0
62	0
19	0
20	0
3	0
8	0
1368	1
288	2
5	0
538	0
8	0
1235	0
16	0
459	0
1	0
108	0
62	0
26	0
153	6
56	0
23	0
124	0
5	0
3	0
26	0
76	0
1550	0
2	0
8	0
515	0
31	0
0	0
14	3
0	0
60	0
13	0
8378	0
46	0
1511	0
74	0
5057	0
24	2
21	1
697	0
1199	0
379	0
0	0
398	0
810	0
8	0
0	0
13	0
16	0
3	0
111	0
27	0
1768	0
16	0
5	0
4415	0
0	0
809	31
197	0
1	0
1503	1
2990	0
720	1
1	0
259	0
32	0
0	0
469	0
1546	0
16	0
0	0
10	0
12	0
0	0
555	0
0	0
10411	0
465	0
0	0
9299	0
2	0
0	0
467	0
10116	0
6	0
9	0
11	0
2996	0
19	0
0	0
815	0
0	0
3	0
402	0
20298	0
38	0
7	0
100	0
6433	5
15	0
2812	158
110	1
4690	1
14	0
977	5
124	14
101	0
5954	0
0	0
380	0
0	0
2	0
21	0
3	0
1	0
2223	0
31	0
1	0
29	0
7027	0
1	0
88137	0
2277	0
9	0
5424	0
47	0
2657	0
1018	0
1709	0
0	0
0	0
0	0
54	0
3	0
0	0
40	0
5	0
1265	0
4087	1
39	0
106	0
842	0
8	0
16	0
30	0
4410	0
3	0
4948	2
476	0
9	0
6	0
0	0
6	0
266	0
15	0
492	0
11777	82
1978	0
5182	0
1723	0
0	0
242	0
2031	1
3624	0
38	0
16	0
102	0
0	0
27	0
2680	0
7	0
127	0
2	0
1	0
8	0
20	0
10	0
3	0
1116	0
141	0
535	0
3986	0
8	0
18	0
59	0
33	0
214	0
75	0
11	0
14	0
53	0
1	0
0	0
177	0
4	0
3313	0
649	0
2767	0
19	0
3	0
1	0
1076	0
7	0
52	0
14	0
8	0
34	0
100	0
3	0
284	0
3	0
327	29
13	0
0	0
0	0
306	0
4	0
1055	0
4	1
2425	9
3	0
1034	0
8206	1
2	0
552	0
11	0
31	0
1223	0
1008	5
30	2
0	0
807	0
31	0
99	1
2827	0
741	0
6	0
1319	0
3187	0
0	0
936	9
0	0
109	0
1156	0
1335	0
6164	0
3894	0
1	0
5095	1
7	0
2557	0
989	0
4267	0
204	1
1174	0
17	0
50	0
448	0
6831	0
94	0
1970	0
2240	0
271	0
766	0
23	0
2120	0
1451	0
27	0
10	0
514	2
336	0
3	0
51	0
4	0
50	0
0	0
0	0
0	0
1216	0
635	1
59	0
3	0
30	0
76	4
69	6
0	0
28	0
21512	0
45	0
33	0
14	0
0	0
1	0
1091	0
0	0
875	0
2	0
0	0
10	0
1335	0
46	2
0	0
0	0
4787	1
0	0
296	0
825	0
11	0
67	2
640	4
3283	0
0	0
739	0
856	0
517	0
3580	0
33	0
1791	2
6	0
1597	1
0	0
88	0
2816	0
1	0
114	0
30	0
449	0
3058	2
31	0
286	0
2	0
218	0
4	0
1863	0
1	0
1785	40
1094	0
24	0
8778	121
5	0
988	0
9	0
0	0
3	0
59	0
22360	105
655	5
1988	0
79	0
690	0
72	1
2169	0
128	0
104	0
403	0
3333	0
46	0
14	0
5	0
343	0
11	0
9	0
0	0
1763	0
41	0
34	0
77	0
163	0
24	0
229	6
1937	0
379	0
3101	1
3108	0
3943	1
1292	2
54	2
48	0
2	0
0	0
3208	0
1	0
78	0
7	0
28	0
4128	0
562	0
79	0
2522	5
5326	0
1	0
26	0
2224	0
15	0
1696	0
10241	0
11	0
70	0
296	0
32	0
554	0
7739	3
728	3
564	12
8	0
7903	0
16	0
4	0
1207	0
53	0
60	0
12	0
4	0
2	0
0	0
39	11
9	0
951	0
172	0
793	0
1198	0
283	0
12291	1
1267	0
47	0
18	0
0	0
1561	3
1287	0
775	0
48	0
4	0
4	0
144	0
0	0
3	0
3595	0
0	0
866	0
503	1
9	0
7	0
21	0
307	0
187	0
748	0
0	0
2	0
2559	0
6	0
315	0
1031	0
0	0
2617	0
0	0
3383	0
78	2
1	0
0	0
0	0
1069	0
13	0
81	0
1819	0
1	0
19	0
175	0
716	0
973	0
6	0
2132	0
46	0
1596	0
38	0
49	0
5475	2
4971	1
257	0
2	0
0	0
12	0
6	0
29	0
353	2
0	0
6	0
237	0
92	0
19	0
54	0
715	0
0	0
0	0
317	0
0	0
446	0
0	0
46	0
92	0
4	0
1186	0
10	0
31	0
467	0
321	0
1	0
15	0
37	0
1337	0
2	0
251	5
1629	0
1088	0
391	0
4	0
153	0
87	16
20	0
0	0
61	4
1	0
1	0
479	0
910	1
117	0
53	0
1910	0
3326	0
88	0
0	0
1	0
32	0
273	0
212	0
1388	0
2568	0
267	0
0	0
1709	0
0	0
17680	0
31	1
2206	0
199	0
0	0
6	0
586	0
19	0
