UniqueCount	AmbigCount
71065	0
657	0
201	0
40	4
50	0
6	0
5	0
0	0
31	0
58	0
0	0
0	0
72	0
0	0
148	0
22	0
130	0
0	0
85	0
10	0
27	0
172	3
12	0
20	0
14	0
0	0
3	0
9	0
26	0
1012	0
1	0
20	0
258	0
114	0
54	0
26	0
0	0
5	0
0	0
3664	0
0	0
744	0
0	0
826	0
186	6
20	2
771	0
144	0
144	0
0	0
71	0
154	0
3	0
0	0
1	0
12	0
0	0
15	0
27	0
570	0
4	0
0	0
616	0
0	0
1469	120
59	0
0	0
786	0
1293	0
1166	1
0	0
164	0
126	0
0	0
139	0
1643	0
0	0
0	0
9	0
1	0
0	0
69	0
4	0
9672	0
147	0
0	0
4145	0
0	0
0	0
204	0
3154	0
8	0
7	0
14	0
564	0
0	0
0	0
251	0
0	0
2	0
170	0
2127	0
5	0
0	0
73	0
3119	3
4	0
1893	178
30	0
6702	2
0	0
152	0
9	0
25	0
736	0
0	0
43	0
0	0
0	0
32	2
0	0
2	0
992	0
23	0
0	0
0	0
5564	0
0	0
48372	0
1596	0
5	0
6983	13
20	0
341	0
475	0
1248	0
0	0
0	0
0	0
14	0
1	0
21	0
28	0
2	0
612	0
2153	0
21	0
0	0
273	0
12	0
68	0
10	0
2159	0
0	0
3116	0
144	0
0	0
4	0
0	0
2	0
165	0
16	0
332	0
18378	227
945	0
3681	0
337	1
11	0
163	0
4684	3
2080	0
2	0
18	0
34	0
0	0
10	0
1029	0
7	0
99	6
0	0
1	0
60	0
0	0
1	0
0	0
358	0
362	0
161	0
2529	0
16	0
1	0
24	0
3	0
149	0
22	0
31	0
26	0
6	0
0	0
0	0
14	0
0	0
1547	0
157	0
860	0
12	0
7	0
0	0
273	0
6	0
3	0
8	0
0	0
9	0
14	0
0	0
77	0
0	0
250	35
4	0
13	0
0	0
149	0
0	0
549	0
2	0
1062	4
0	0
1	0
258	0
0	0
1763	0
6	0
90	0
591	0
253	5
112	4
0	0
452	0
17	0
0	0
1390	0
690	0
6	0
606	0
583	0
0	0
931	7
0	0
22	0
1625	0
428	0
2242	0
1054	0
0	0
3842	2
4	0
1497	0
745	0
1453	5
139	2
2453	0
2	0
37	0
234	0
4947	0
159	1
606	0
577	0
92	0
355	0
32	0
1834	0
1089	0
10	0
0	0
130	0
149	0
65	0
23	0
0	0
15	0
0	0
0	0
0	0
443	0
730	0
12	0
0	0
0	0
47	1
76	5
0	0
11	0
14766	0
287	0
19	0
9	0
0	0
0	0
856	0
19	0
649	0
0	0
9	0
1	0
700	0
31	0
7	0
0	0
4426	0
0	0
344	0
514	0
0	0
0	0
272	1
1089	0
0	0
391	0
161	0
40	0
883	0
86	0
656	0
1	0
548	0
0	0
79	0
1103	0
7	0
39	0
2	0
165	0
1269	3
15	0
417	0
0	0
213	4
0	0
1858	0
0	0
0	0
338	0
4	0
9639	123
3	0
788	0
1	0
19	0
0	0
2	0
10995	17
302	2
1826	0
11	0
103	0
48	4
7984	0
149	0
54	0
574	0
2868	0
7	0
2	0
0	0
118	0
0	0
13	0
0	0
615	0
23	0
18	0
41	0
52	0
9	0
287	4
741	0
158	0
936	1
1678	0
3863	1
431	0
0	0
4	0
3	0
0	0
1425	0
0	0
12	0
0	0
6	0
1729	0
498	0
24	0
821	9
1173	0
0	0
22	0
1411	3
111	0
877	0
3104	0
22	0
40	0
123	0
96	0
225	0
1804	1
104	7
28	0
14	0
4692	0
0	0
97	8
375	0
0	0
54	0
0	0
3	0
8	0
0	0
3	0
3	0
165	0
114	0
194	0
275	0
0	0
5963	0
131	0
9	0
15	0
0	0
759	0
610	0
333	0
0	0
5	0
0	0
7	0
0	0
24	0
397	0
0	0
469	0
4725	11
0	0
5	0
52	0
130	0
64	0
36	0
0	0
8	0
1068	0
0	0
89	0
4213	0
0	0
305	0
5	0
2212	0
49	0
3	0
0	0
0	0
383	0
3	0
12	0
530	0
2	0
14	0
135	0
154	0
623	0
8	0
223	0
83	0
431	0
36	1
63	1
7880	0
3291	0
81	0
0	0
0	0
2	0
30	0
0	0
172	0
0	0
8	0
38	0
34	0
1	0
30	0
155	0
0	0
0	0
60	0
0	0
90	0
0	0
27	0
254	0
0	0
708	0
2	2
5	0
304	0
106	0
0	0
8	0
48	0
326	0
0	0
126	2
1551	0
510	0
82	0
100	0
50	0
47	8
8	0
0	0
17	0
0	0
0	0
77	0
1723	1
35	0
6	0
137	0
1055	0
48	0
0	0
0	0
11	0
127	0
6	0
319	0
1484	0
43	0
0	0
9211	0
0	0
8041	0
0	0
1057	0
47	0
0	0
6	0
252	0
0	0
23	0
4	0
0	0
1548	0
977	0
79	0
0	0
2865	0
675	0
4	0
8	0
10	0
39	0
181	0
83	0
455	9
735	15
1	0
1366	0
0	0
40	0
13	0
297	0
18	0
3	0
2	0
0	0
32	0
723	0
3	0
30	0
0	0
44	0
0	0
0	0
119	0
0	0
79	5
228	9
0	0
101	0
532	0
248	0
0	0
8	0
14	0
0	0
9	0
805	0
166	0
2067	0
0	0
0	0
1753	0
2020	0
1	0
19	0
111	0
248	0
0	0
3	0
540	0
99	0
0	0
3	0
76	0
78	0
10	0
1092	0
0	0
6	0
2	0
61	0
0	0
0	0
1034	6
5	0
0	0
0	0
68	0
714	0
0	0
486	0
174	0
0	0
82	0
35	0
639	0
0	0
808	0
77	0
8	0
96	0
83	0
4529	0
13	0
2	0
24	0
2	0
124	0
18	0
1510	0
23	0
12	0
355	0
64	0
0	0
0	0
167	0
62	0
28	0
0	0
4	0
34	0
63	16
0	0
62	0
24	0
1	0
0	0
42	0
3	0
312	0
14	0
240	0
0	0
2384	0
0	0
13	0
870	0
7	0
20	0
0	0
10	0
7	0
13	0
13	0
3	0
39	0
0	0
3044	1
2	0
0	0
305	0
18	0
0	0
814	0
41	0
22	0
9	0
15	0
0	0
92	5
59	0
355	0
964	0
0	0
0	0
0	0
269	0
207	83
6	0
5	0
6	0
15	0
0	0
937	0
49	0
3	0
167	0
0	0
76	0
0	0
896	0
916	0
49	0
721	0
231	0
0	0
10	0
219	0
4	0
9	0
0	0
336	0
0	0
19	0
64	0
2698	0
0	0
9	0
381	0
0	0
1	0
25	0
138	0
0	0
0	0
19	0
22	0
130	0
0	0
0	0
76	0
8	0
0	0
185	0
50	0
0	0
4064	0
88	0
0	0
0	0
29	0
346	2
2871	0
218	0
2	0
105	0
42	0
0	0
11	0
2	0
0	0
0	0
123	0
1580	21
0	0
4	0
585	0
297	0
0	0
97	0
13	0
4706	0
0	0
0	0
706	0
0	0
12	0
619	0
0	0
0	0
14	0
152	0
312	0
74	0
3	0
0	0
0	0
383	0
12	0
1666	0
5	0
1	0
0	0
4	0
1104	0
297	4
45	4
55	0
9	0
0	0
95	0
0	0
925	0
0	0
0	0
24	0
0	0
1	0
94	0
136	0
218	0
11	0
349	1
438	1
41	1
0	0
404	0
1514	0
21	0
0	0
10	0
2726	0
515	0
248	0
0	0
34	5
97	0
104	0
3805	0
17	0
279	0
0	0
9	0
0	0
4417	0
0	0
146	0
631	5
205	0
0	0
20	0
277	0
621	0
11	0
277	0
701	0
232	0
385	0
0	0
2375	0
51	0
151	0
267	0
6	0
55	0
350	0
15	0
0	0
26	0
0	0
7	0
144	0
678	0
14	0
420	0
0	0
8	0
89	0
2920	0
0	0
28	0
283	0
312	0
738	0
0	0
54	1
96	0
70	0
373	0
10	0
203	2
6	0
5	0
9841	0
732	0
0	0
281	0
0	0
41	0
2569	0
1	0
363	0
911	0
0	0
4190	21
11	0
0	0
0	0
0	0
243	0
4	0
0	0
7	0
2	0
23	0
83	0
413	0
141	0
168	0
471	0
72	0
391	0
0	0
272	0
0	0
67	0
241	0
0	0
477	0
0	0
0	0
134	0
318	3
1	0
0	0
9	0
0	0
255	0
25	0
31	0
3730	0
126	0
12	0
0	0
9	0
8	0
0	0
518	0
0	0
91	0
646	0
0	0
4	0
39	0
0	0
576	0
31	0
19	0
121	0
17	0
103	0
202	0
31	0
7	0
731	8
4808	0
45	0
1	0
522	0
1070	0
18	0
0	0
5	0
585	0
8	0
357	0
352	0
0	0
77	0
8428	0
7	0
27	0
84	1
13	0
78	0
29	0
6	0
0	0
46	0
1445	0
3	0
0	0
867	0
22	0
0	1
376	74
2	0
1951	0
20	0
229	0
6788	0
52	0
0	0
36	0
53	0
21	0
2	0
778	0
0	0
121	4
2539	4
2496	0
293	0
4	0
899	0
413	0
3	0
119	0
151	0
101	0
0	0
0	0
0	0
8	0
0	0
9	0
338	0
107	0
0	0
8287	0
102	0
1247	1
149	0
140	0
0	0
513	0
1522	0
5	0
29	0
1	0
9	0
841	0
2	0
1445	0
0	0
5	1
3	0
0	0
58	1
5	0
300	0
1611	0
26	0
4	0
0	0
219	3
181	0
12	0
0	0
2605	0
0	0
341	63
8	0
206	0
784	0
0	0
1	0
44	0
539	0
81	0
34	0
21	0
1091	0
1612	0
0	0
14	0
361	0
0	0
0	0
21	0
0	0
1781	0
45	0
19	0
74	0
10	0
79	0
82	0
20	0
4	0
5520	11
241	0
14	0
1303	0
9861	0
43	0
3	0
354	0
3023	0
720	0
10	0
9420	0
4767	0
62	0
9	0
0	0
0	0
1277	0
39	0
68	0
7	0
914	0
0	0
64	13
0	0
511	0
46	0
112	0
8	0
1409	0
18	0
0	0
0	0
108	0
0	0
53	0
0	0
19	0
37	0
159	0
3623	0
0	0
104	0
8	0
10	0
366	0
100	0
326	1
276	0
6536	0
1	0
0	0
0	0
1	0
0	0
4	0
55	0
5	0
537	0
9	0
226	0
0	0
75	0
0	0
41	0
46	0
689	0
9	0
33	0
0	0
3	0
172	2
1832	225
165	225
6	0
45	0
608	0
3	0
4	0
0	0
107	9
3	0
45	0
18	1
6	0
39	0
0	0
5	0
463	0
22	0
264	0
8	0
2	0
0	0
42	0
6	0
1100	0
9	0
1676	0
11	0
46	0
5	0
21	0
12	0
154	1
78	0
22	0
0	0
0	0
1428	0
81	0
1273	0
12	0
0	0
1408	1
16	0
0	0
0	0
261	0
10	0
0	0
15	0
12097	0
11	0
0	0
0	0
0	0
45	0
0	0
3	0
380	0
247	0
551	8
162	0
1284	0
25	0
102	0
30	0
146	3
7	3
35	0
281	0
22	0
13	0
15	0
63	0
366	0
28	1
1	0
75	0
0	0
70	0
0	0
93	0
907	0
2	0
54	0
2577	0
71	0
8	0
791	0
904	0
325	0
112	0
51	0
36	0
55	0
3	0
436	0
0	0
8	0
0	0
383	0
3	0
0	0
10	0
37	2
0	0
1161	7
19	2
9	0
0	0
3	0
1913	0
64545	0
405	0
0	0
30	0
94	0
0	0
1	0
1762	0
17	0
0	0
7	0
354	0
3	0
3	0
42	1
13	0
17	0
0	0
584	0
189	0
394	0
6	0
0	0
3	0
8	5
47	0
0	0
0	0
62	0
1396	6
1628	6
48	0
0	0
0	0
2113	0
0	0
3	0
552	0
35	6
448	0
0	0
0	0
19	0
18	0
43690	2
6	0
0	0
0	0
89	0
0	0
0	0
487	0
0	0
594	3
341	1
3	0
121	0
0	0
6	0
0	0
31	0
0	0
0	0
534	0
237	0
5	0
605	0
425	0
329	0
237	0
1146	0
98	1
524	7
822	0
32	0
78	0
0	0
90	0
0	0
743	0
37	0
12	0
2	0
34	0
0	0
32	0
0	0
81	0
4	0
26	0
3959	0
59	0
36	0
0	0
172	0
1	0
0	0
1	0
784	0
1017	0
5	0
214	0
0	0
15	4
0	0
119	0
0	0
7	0
73	0
202	0
1618	0
0	0
2	0
0	0
1178	7
1254	7
13	0
0	0
7760	69
9968	69
10	0
6	0
4	0
129	0
14	0
6	0
0	0
0	0
0	0
4	0
108	0
1244	11
42	0
73	0
46	11
8	0
0	0
23	0
476	0
76	0
2461	0
0	0
0	0
266	1
43	0
4	1
11	0
0	0
5	0
186	4
0	0
7	0
15	0
11	0
0	0
0	0
474	0
0	0
858	0
13	0
0	0
52	0
2625	0
6	0
2	0
10	0
0	0
0	0
9	0
1875	3
413	0
78	0
15267	0
3	0
1736	0
0	0
0	0
1037	0
907	0
195	0
2734	0
28	0
368	0
723	0
104	0
0	0
4	0
2939	2
16	1
4	0
205	0
0	0
463	0
674	1
5	0
0	0
551	0
896	0
0	0
209	0
0	0
7	0
795	0
244	0
7	0
26	0
18	0
282	0
582	0
1029	20
7	0
2036	11
772	0
1157	0
