UniqueCount	AmbigCount
27021	0
2720	0
131	0
0	0
131	0
14	0
13	0
0	0
5	0
319	4
21	0
0	0
240	0
0	0
64	0
0	0
167	0
0	0
19	0
1774	0
61	0
406	58
0	0
0	0
103	0
0	0
3	0
67	0
38	0
749	0
4	0
13	0
366	0
31	0
14	0
0	0
0	0
41	0
16	0
5434	0
63	0
1068	0
8	0
1744	0
0	0
0	0
460	0
538	0
155	0
6	0
395	0
500	1
15	0
0	0
4	0
0	0
0	0
6	0
0	0
1525	0
0	0
7	0
5290	0
11	0
1244	35
336	0
5	0
1446	0
2471	0
3300	4
5	0
127	0
18	0
10	0
269	0
1718	0
3	0
8	0
66	0
7	0
0	0
156	0
0	0
10472	0
295	0
33	0
9814	0
0	0
5	0
275	0
6557	0
40	0
23	1
0	0
558	0
4	0
0	0
258	0
0	0
2	0
588	0
8023	0
0	0
14	0
68	0
2623	0
0	0
1825	99
185	0
10994	3
4	0
323	0
10	9
0	0
1482	0
6	0
110	0
32	0
0	0
14	0
10	0
10	0
991	0
98	0
0	0
5	1
9810	0
0	0
93350	0
1675	0
8	0
4882	0
15	0
55	0
304	0
1930	0
0	0
0	0
0	0
11	0
0	0
0	0
30	0
5	0
4816	0
5302	2
8	0
14	0
607	0
13	0
6	0
46	0
4509	0
0	0
11591	0
302	0
0	0
1	0
0	0
0	0
222	0
10	0
276	0
27668	44
1287	0
5680	0
100	0
1	4
456	0
1498	0
1031	0
11	0
10	0
23	0
0	0
15	0
1419	0
4	0
98	0
0	0
12	0
4	0
8	0
0	0
0	0
754	0
48	0
148	0
1577	0
6	0
0	0
31	0
21	0
2	0
27	1
15	0
4	0
22	0
0	0
0	0
148	0
13	0
4900	0
578	0
1657	0
2	0
6	0
0	0
795	0
21	0
157	0
0	0
0	0
102	0
42	0
1	0
126	0
0	0
967	60
14	0
0	0
38	0
355	0
0	0
1187	0
0	0
1870	0
0	0
26	0
526	1
0	0
2060	0
11	0
5	0
992	0
8617	1
8	1
12	0
836	0
55	0
0	0
2295	0
605	0
2	0
738	0
1821	0
0	0
830	18
0	0
8	0
1026	0
342	0
3408	3
1621	1
7	3
4890	2
0	0
3533	0
1395	0
2174	1
178	0
1606	0
11	0
9	0
701	0
5095	0
209	0
1347	0
2382	0
91	0
594	0
24	0
2143	0
555	0
0	0
24	0
739	1
394	0
13	0
74	0
0	0
41	0
12	0
0	0
0	0
0	0
4604	7
89	0
9	0
17	0
87	2
131	2
10	0
5	0
11090	0
73	0
16	0
0	0
20	0
3	0
1401	0
0	0
537	0
2	0
0	0
21	0
696	0
10	3
30	0
0	0
2700	0
6	0
257	0
631	0
4	0
38	1
325	1
5272	0
0	0
585	0
386	0
81	0
2927	0
0	0
4111	3
23	0
644	0
0	0
18	0
1988	0
0	0
37	0
0	0
283	0
2372	0
21	0
246	0
6	0
384	0
0	0
2177	0
0	0
132	2
525	0
35	0
8527	106
5	0
1519	0
11	0
0	0
29	0
0	0
14380	36
526	0
2401	0
28	0
389	0
2	0
7972	0
176	0
297	0
482	0
5301	0
105	0
32	0
18	0
308	0
3	0
6	0
0	0
1104	0
23	1
137	2
26	0
77	0
7	0
516	10
1064	0
244	0
1299	0
2614	1
4887	2
861	0
6	0
17	0
9	0
0	0
2691	0
0	0
78	0
14	0
0	0
2467	0
1172	0
4	0
2306	3
1367	0
0	0
32	0
2922	0
30	0
1061	0
8363	0
0	0
35	0
379	0
3	0
483	0
368	0
26	3
437	1
5	0
7182	0
10	0
16	0
588	1
0	0
50	0
0	0
0	0
0	0
0	0
16	1
0	0
1091	0
74	0
511	0
455	0
9	0
19226	2
401	0
26	0
0	0
0	0
1410	9
1069	0
187	0
0	0
0	0
239	0
99	0
0	0
8	0
2471	0
0	0
1709	0
419	0
0	0
9	0
0	0
172	0
63	0
298	0
0	0
8	0
1512	0
4	0
150	0
27291	0
10	0
830	0
50	0
2979	0
99	0
7	0
0	0
6	0
405	0
7	0
0	0
660	0
0	0
49	0
253	0
329	0
804	0
46	0
1296	0
27	0
1473	0
10	0
0	0
4613	0
5143	0
0	0
0	0
0	0
3	0
4	0
0	0
409	0
0	0
0	0
77	0
140	0
1	0
113	0
64	0
0	0
0	0
119	0
0	0
15	0
9	0
6	0
63	0
0	0
1125	0
10	13
33	0
786	0
76	0
0	0
0	0
