UniqueCount	AmbigCount
77251	0
3603	0
224	0
25	0
845	0
31	0
43	0
5	0
1	0
487	3
79	1
1	0
235	0
19	0
1054	0
0	0
197	0
1	0
124	0
1746	0
167	0
278	13
14	0
0	0
52	0
297	0
38	0
21	0
54	0
974	0
16	0
14	0
349	0
15	0
0	0
2	0
1	0
44	1
7	0
6101	0
21	0
1211	0
4	0
2571	0
1	0
1	0
716	0
931	0
379	0
7	0
294	0
317	0
6	0
0	0
51	0
135	0
2	0
29	0
16	0
1132	0
12	0
9	0
1630	0
11	0
980	57
514	7
1	0
536	3
2352	0
505	0
7	0
541	0
10	0
0	0
343	0
1202	0
10	0
6	0
29	0
19	0
0	0
403	0
0	0
11816	0
615	0
277	8
7229	0
3	0
0	0
384	0
5569	0
32	0
59	0
5	0
566	0
13	0
22	0
413	0
3	0
2	0
446	0
15331	0
5	0
4	0
51	0
2877	7
0	0
2273	20
382	0
4361	2
13	0
328	1
93	7
0	0
3735	0
2	0
123	0
0	0
2	0
7	0
74	0
15	0
2131	0
59	0
1	0
16	0
6044	0
45	0
160795	5
1612	0
11	0
3833	0
15	0
2808	0
516	0
1962	0
0	0
0	0
0	0
60	0
34	0
0	0
16	0
4	0
1221	0
4149	0
3	0
87	0
2274	0
25	0
13	0
6	0
3328	3
0	0
5501	0
194	0
9	0
6	0
0	0
8	0
151	2
7	0
476	0
13185	47
1256	0
4010	0
1258	0
1	1
318	0
1869	8
4937	0
7	0
12	0
83	0
0	0
36	0
1056	0
14	0
59	0
0	0
17	0
0	0
28	0
1	0
1	0
715	0
39	0
245	0
2699	0
34	0
6	0
144	0
3	0
183	0
23	0
11	0
8	0
10	0
0	0
0	0
185	0
1	0
909	0
531	1
2167	0
12	0
6	0
1	0
916	0
5	0
51	0
6	0
72	0
59	0
95	0
6	0
133	0
0	0
1087	33
8	0
2	0
25	0
583	0
3	0
476	0
0	0
1130	2
9	0
1096	0
4214	1
1	0
8774	0
22	0
28	0
747	0
2188	32
18	0
3	0
535	0
19	0
6	0
3050	0
809	0
0	0
1124	0
2647	0
0	0
884	5
0	0
23	0
1135	0
1082	0
5731	0
2886	0
72	0
