UniqueCount	AmbigCount
619	9
1665	25
54	0
10	0
17	0
8	0
624	0
16	0
1818	0
26	0
9	0
4	0
143	0
0	0
0	0
0	0
77	0
0	0
5	0
361	0
118	0
2	0
12	0
361	0
2	0
498	0
0	0
0	0
1520	0
147	0
229	0
169	1
3726	20
246	4
2	0
6	0
0	0
16	0
31	3
0	0
0	0
0	0
1297	1
56	0
1399	2
0	0
5	0
39	0
787	0
192	0
142	0
2623	0
311	0
0	0
1700	1
67	1
3	0
13	0
0	0
712	0
0	0
11	0
1924	0
1	0
18	0
0	0
226	0
20	0
18	0
681	1
0	0
2457	0
494	0
0	0
76	0
1238	0
0	0
18	0
151	0
0	0
15	0
14	0
127	0
0	0
0	0
6	1
0	0
1739	0
0	0
0	0
0	0
656	1
34	0
13	0
0	0
24	0
1661	0
0	0
0	0
29	3
0	0
0	0
0	0
99	0
342	0
14	0
84	0
54	0
45	0
445	1
6	0
0	0
0	0
128	0
0	0
1	0
60	0
0	0
0	0
31	0
0	0
4	0
4	0
0	0
0	0
0	0
642	0
0	0
0	0
96	0
823	0
0	0
14	0
85	0
76	0
18	0
0	0
0	0
13	0
1014	0
339	0
0	0
623	0
1212	0
88	0
121	0
0	0
0	0
10	0
0	0
278	0
8	0
1093	2
0	0
7	0
27	0
76	0
0	0
249	0
41	0
0	0
119	0
51	0
701	0
18	0
6	0
15	0
71	0
398	0
0	0
852	0
299	0
2	0
0	0
0	0
6	0
0	0
455	0
0	0
79	0
0	0
0	0
793	0
117	0
189	3
0	0
19	0
0	0
21	0
1216	0
0	0
8	0
15	0
1037	0
0	0
22	0
9	0
1536	0
456	0
598	0
0	0
9	0
8	0
186	0
18	0
1773	0
73	0
0	0
0	0
0	0
0	0
13	1
12	0
4442	1
327	0
0	0
0	0
220	0
0	0
0	0
30	0
3	0
0	0
12	0
0	0
518	0
75	0
0	0
476	0
37	0
0	0
4	0
1858	0
0	0
161	0
0	0
0	0
217	0
103	0
2916	3
25	0
5	0
0	0
0	0
45	0
4140	0
19	0
0	0
19	0
53	0
30	0
47	0
0	0
468	0
0	0
37	0
15	0
0	0
23	0
12	0
0	0
0	0
0	0
23	0
0	0
0	0
31	0
0	0
0	0
197	0
21	0
0	0
403	1
461	0
0	0
11	0
454	0
0	0
0	0
0	0
1276	0
6	0
6	0
29	0
10	0
90	0
0	0
44	0
0	0
511	0
0	0
0	0
0	0
1	0
53	0
56	0
0	0
12	0
746	0
205	0
8	0
300	0
5	0
825	0
48	1
6	0
0	0
0	0
4	0
0	0
0	0
354	0
0	0
43	0
0	0
27	0
396	0
0	0
3257	0
428	0
174	0
1	0
0	0
655	1
0	0
0	0
0	0
1006	0
148	0
0	0
0	0
4312	0
1	0
6	0
3545	0
35	0
0	0
0	0
7	0
0	0
0	0
0	0
162	0
0	0
8	0
0	0
1384	0
0	0
275	0
2472	0
2	0
0	0
4	0
49	0
31	0
20	0
557	0
5	0
58	0
47	0
1108	0
17	0
37	0
7	0
10	0
16	1
0	0
53	0
78	0
11	0
0	0
0	0
2508	0
0	0
0	0
0	0
296	0
0	0
11	1
149	0
12	0
238	0
3	0
43	0
10	0
0	0
302	0
0	0
207	1
54	0
149	0
0	0
632	0
0	0
3	0
4	0
775	0
8995	0
0	0
0	0
709	0
1366	0
365	0
42	0
10	0
0	0
10	0
198	1
127	0
13	0
482	0
8	0
200	0
127	0
28	0
222	0
23	0
303	0
0	0
0	0
12	0
0	0
328	0
1447	8
486	0
43	0
1135	0
23	1
0	0
4	0
0	0
685	0
1152	0
0	0
1011	0
11	0
5	0
0	0
0	0
98	0
57	0
36	0
6	0
0	0
0	0
0	0
1	0
1	0
10	0
1797	0
0	0
64	0
147	0
129	0
0	0
105	0
0	0
0	0
769	0
0	0
0	0
0	0
0	0
0	0
858	0
0	0
1091	0
0	0
20	0
0	0
2	0
14	0
7	0
0	0
12	0
405	2
2	0
10	0
2	0
123	0
0	0
25	0
0	0
0	0
240	0
26	0
0	0
28	1
115	0
0	0
124	0
0	0
4380	0
318	0
5359	1
3	0
13	0
3316	0
0	0
0	0
2855	0
32	2
7	0
788	0
2453	0
0	0
2	0
24	0
0	0
1151	0
1492	0
33	0
3	0
0	0
479	0
7	4
736	0
0	0
73	0
28	0
275	0
25	2
73	0
9	0
27	0
6	0
5397	0
492	14
450	0
1194	0
686	0
5	0
0	0
0	0
0	0
0	0
0	1
167	0
15	0
846	0
750	0
0	0
47	1
0	0
0	0
1186	13
817	0
774	0
334	0
0	0
1085	0
23	0
0	0
0	0
28	0
269	0
0	0
400	31
0	0
0	0
5	0
12	2
104	0
0	0
7	0
38	0
0	0
0	0
0	0
0	0
35	0
0	0
380	0
176	0
219	0
0	0
42	0
549	0
2	0
0	0
0	0
661	0
6	0
91	0
8	0
635	5
0	0
0	0
368	0
19	0
0	0
33	0
386	0
1	0
683	0
230	0
58	0
0	0
162	0
38	0
0	0
499	0
1652	0
0	0
46	0
3137	0
1	0
614	0
0	0
0	0
118	0
114	0
1147	0
176	0
127	1
496	2
0	0
404	0
2510	0
445	0
0	0
45	0
484	0
354	0
63	0
0	0
0	0
109	0
30	0
0	0
297	0
115	0
0	0
54	0
41	0
0	0
296	0
0	0
808	0
23	0
840	0
0	0
0	0
0	0
17	0
1104	0
70	0
8	0
288	0
1957	0
842	0
0	0
1962	0
556	0
