UniqueCount	AmbigCount
282	1
617	15
59	0
27	0
1	0
8	0
273	5
0	0
691	0
27	42
27	0
5	0
45	0
175	0
0	0
8	0
152	1
390	0
0	0
568	0
10	0
6	0
29	0
341	0
10	2
461	0
0	0
63	0
1927	0
133	0
111	0
1	1
1295	0
29	0
15	0
4	0
0	0
32	0
10	0
169	0
65	0
58	0
758	0
69	0
2098	421
17	0
4	0
10	0
762	0
371	0
135	0
1499	0
262	0
23	4
1905	0
12	59
4	0
16	0
39	0
581	0
38	0
0	0
1394	0
0	0
0	0
240	0
161	0
23	0
0	0
527	0
166	0
1277	0
243	0
119	0
375	68
532	0
60	0
43	0
174	0
41	0
17	2
13	0
120	0
49	0
44	12
0	0
90	0
1462	0
158	0
66	0
58	3
1317	3
30	0
0	0
24	0
18	0
1252	0
55	0
0	0
7	0
29	0
217	0
324	0
107	0
501	0
0	0
137	0
13	0
0	0
361	0
12	0
43	0
0	0
24	0
26	0
7	0
42	0
87	0
328	0
34	0
284	0
2	0
0	0
935	0
73	0
22	3
342	0
35	0
34	0
77	9
2771	81
30	0
19	0
72	0
21	3
4	0
713	1
19	0
0	0
1995	6
246	0
63	0
430	33
683	119
86	0
60	0
56	0
23	0
64	0
14	0
259	0
1	0
510	0
0	0
9	0
7	0
3	0
28	0
251	0
7	0
52	0
229	0
4	0
756	0
7	0
2	0
0	0
34	0
377	0
92	0
612	0
296	0
0	13
0	0
62	0
65	0
398	0
693	0
15	0
128	0
39	0
424	0
576	0
82	0
128	0
45	0
80	5
66	0
90	0
725	32
63	0
25	0
68	0
432	0
36	0
7	0
0	0
1039	0
272	0
909	0
11	0
172	0
5	0
33	0
25	0
1162	0
224	108
21	0
78	0
21	0
32	0
2	0
23	0
6286	0
135	0
38	0
70	0
181	0
94	0
75	0
71	0
11	0
26	0
21	5
24	0
187	0
61	0
81	0
303	0
46	0
88	0
5	0
1844	0
31	0
40	0
8	5
56	5
121	0
5	0
2338	9
3	0
26	0
2	0
12	0
41	0
4736	0
39	0
0	0
31	17
30	0
0	0
52	0
9	0
1315	0
130	0
39	0
12	1
74	0
0	0
2	0
237	0
23	0
54	0
50	0
33	0
129	5
45	0
42	0
67	0
56	0
0	0
388	0
474	32
599	0
0	0
9	0
1409	0
63	0
124	0
52	0
2203	0
0	0
16	0
17	0
17	0
54	24
7	0
52	0
46	0
354	0
83	2
304	0
138	0
11	0
64	0
62	0
49	0
0	0
816	0
101	0
9	0
355	0
0	0
786	1
63	3
16	5
0	0
0	0
1	0
105	0
33	2
37	0
86	0
0	0
57	0
0	0
0	0
0	0
3100	0
255	0
78	0
0	0
214	0
398	4
0	0
183	0
210	0
521	0
327	0
40	0
41	0
4510	0
0	0
0	0
2578	0
23	0
23	0
13	0
21	0
369	0
35	0
61	0
208	0
0	0
6	0
51	0
695	0
18	0
195	0
1037	0
4	0
27	0
7	0
7	0
94	0
21	0
278	0
0	0
8	0
26	0
911	0
39	0
5	0
4	0
4	0
1	0
102	0
16	0
91	0
15	0
110	0
127	0
2633	0
73	0
308	0
47	0
286	0
57	0
19	0
35	0
6	0
242	0
0	24
25	0
21	0
117	5
163	0
50	0
74	0
10	0
91	0
9	0
60	0
0	8
9	0
0	0
539	0
4153	0
32	0
0	0
433	0
1303	0
228	0
10	0
3	0
21	0
20	0
241	0
110	0
0	0
378	0
89	0
16	0
43	18
58	12
130	0
15	0
190	0
17	0
0	0
197	6
134	0
100	0
1047	9
319	0
90	0
636	0
4	34
113	0
0	0
35	0
471	9
797	0
60	0
1268	0
31	0
0	0
54	0
400	0
251	2
81	41
1924	18
12	0
25	0
37	0
53	0
5	0
8	0
2	0
1569	0
402	0
161	40
45	0
30	0
21	0
34	0
62	0
32	0
316	0
29	0
74	0
82	0
0	0
87	0
703	0
0	0
2448	0
25	0
24	0
16	4
1	0
7	0
4	0
30	0
13	0
141	3
0	0
0	0
3	0
96	0
0	0
35	0
34	0
171	0
146	0
6	0
180	0
42	264
24	9
29	0
66	0
57	0
2723	0
640	0
15239	0
2	0
5	0
1402	0
0	0
23	0
655	0
0	0
5	0
457	0
1810	179
30	0
2	0
15	0
445	0
817	0
1045	0
332	0
0	0
53	0
393	0
16	0
316	0
0	0
0	0
47	0
336	2
30	0
152	2
5	0
30	0
0	0
5635	46
28	0
134	0
1009	0
202	0
0	0
73	0
36	0
544	0
0	2
0	2
567	0
3	0
388	0
518	0
16	0
9	2
8	0
9	0
0	0
819	0
378	0
303	0
1	0
625	63
80	1
28	0
0	0
1	0
111	0
42	0
10	0
39	0
184	0
12	0
8	0
727	0
0	0
9	0
24	0
53	0
55	0
85	0
27	0
22	0
69	0
259	0
5065	0
136	78
57	0
23	0
351	0
1	0
17	0
272	0
789	0
3	0
227	0
5	0
363	0
87	0
109	0
156	0
3	0
0	0
76	0
562	0
0	0
356	0
100	0
0	0
186	0
195	0
30	0
0	0
228	0
565	0
72	0
66	0
1255	7
8	0
538	0
33	0
14	0
76	0
86	0
1073	0
179	0
132	20
105	3
2	0
313	0
1328	0
208	5
0	0
54	0
413	23
243	10
244	0
10	5
32	5
545	0
37	1
48	0
35	0
99	0
9	8
92	0
0	0
79	136
287	0
23	0
478	0
9	0
397	0
32	0
37	0
23	0
25	0
662	41
66	0
25	0
60	0
2424	0
577	0
187	0
1361	0
74	0
11	0
46	0
12	0
3	0
5	0
476	27
381	0
252	0
138	0
169	0
167	16
12	0
59	0
3411	10
8	0
34	0
417	5
28	0
422	0
103	0
8	0
59	0
50	0
184	0
303	0
32	0
11241	31291
18	0
35	0
42	0
8024	13
0	0
57	0
540	0
15	0
245	0
0	0
23	0
288	0
0	0
48	0
2	0
10	0
48	0
9	0
27	0
89	0
71	2
1057	32
342	0
533	0
20	0
3	0
38	0
443	0
46	0
106	0
180	0
26	0
1	0
33	0
9	0
159	0
13	0
67	0
23	0
24	0
102	0
2	0
19	0
20	0
191	0
135	0
15	0
58	0
0	0
2526	11
0	0
3	3
303	0
12	0
13	0
0	0
39	0
445	0
0	0
108	1
69	0
156	0
14	0
0	0
52	0
34	0
37	0
7	0
33	0
588	0
2788	0
9	0
106	0
557	0
59	0
129	0
230	0
282	0
8	0
0	0
18	0
93	0
1328	0
254	0
19	0
16	13
68	0
28	0
709	0
0	0
9	0
414	0
36	0
12	0
17	0
13	0
42	0
104	2
131	29
200	0
0	0
44	0
29	0
39	0
137	9
736	1
974	4
242	7
598	0
685	0
264	0
97	100
6	0
193	0
25	0
592	0
0	0
758	0
0	0
65	0
6	0
3	0
98	0
18	0
18	0
0	0
7	0
31	4
1473	0
29	0
5	0
37	0
12459	378
34	0
1115	386
542	0
244	9
1	0
4	0
10	0
437	0
18	0
40	0
0	0
167	0
168	0
47	0
16	0
0	0
969	0
282	0
1147	0
10	0
3	0
2481	0
412	4
88	6
18	0
43	0
7	0
35	0
29	0
197	0
6	0
22	0
173	0
28	0
16	0
15	0
7	0
16	0
615	0
24	0
341	14
0	15
274	0
203	0
114	0
5	0
53	0
70	0
30	0
141	0
448	0
74	0
25	0
41	0
46	0
36	0
175	0
0	0
2412	0
58	0
7	4
76447	4
0	0
146	0
199	0
0	0
826	0
343	0
12	0
1033	0
39	0
1978	6
284	1
11	0
13	0
1028	0
154	0
73	0
19	0
252	1
19	0
240	103
18	0
577	0
12	0
516	0
317	21
0	0
17	0
0	0
0	0
18	0
208	0
29	0
12	1
195	0
53	0
328	0
13	0
21	0
67	0
48	0
100	0
93	0
140	0
2138	0
19	0
9	0
2	1
121	0
36	0
7	0
412	0
811	0
