UniqueCount	AmbigCount
404	6
441	31
5	0
115	0
55	0
89	0
534	11
1	0
1220	0
125	15
10	0
30	0
200	0
0	0
0	0
0	0
59	1
0	0
70	0
567	0
149	0
48	0
18	0
160	0
2	3
518	0
0	0
0	0
1145	0
339	0
191	0
119	11
2083	6
103	0
5	0
3	0
0	0
8	0
24	0
0	0
0	0
0	0
876	0
35	0
636	39
0	0
15	0
29	2
504	0
484	0
159	0
1578	0
708	0
0	0
1602	0
120	132
0	0
1	0
3	0
505	0
0	0
13	0
787	0
0	0
13	0
0	0
231	0
42	0
0	0
787	0
0	0
954	0
164	0
0	0
769	1
913	0
0	0
31	0
173	0
0	0
163	3
45	0
301	0
0	0
1	0
3	0
0	0
1913	0
0	0
0	0
0	0
511	0
0	0
8	0
0	0
25	0
2106	0
0	0
0	0
13	0
0	0
0	0
0	0
125	4
768	0
8	0
122	0
85	0
56	0
296	0
3	0
0	0
0	0
171	0
0	0
5	0
17	0
0	0
0	0
15	0
0	0
7	2
0	8
0	0
0	0
0	0
388	0
0	0
0	0
165	36
718	198
0	0
0	0
128	0
103	3
27	0
291	1
0	0
27	0
2000	0
419	0
0	0
423	9
1299	350
208	0
248	0
0	0
0	0
4	0
1	0
393	0
77	0
742	7
15	0
33	2
22	0
29	0
8	0
600	0
15	0
0	0
0	0
52	0
433	5
11	0
20	0
0	4
110	0
203	0
0	0
954	0
929	0
10	15
4	0
0	0
0	0
0	0
4	0
0	0
84	2
0	0
0	0
726	1
54	2
152	7
0	0
53	5
0	0
166	0
1110	162
0	0
12	0
7	0
963	0
0	0
9	0
2	0
1267	0
140	0
458	0
19	0
25	0
2	0
238	0
10	0
2151	0
173	72
0	0
0	0
0	0
0	0
24	0
28	0
4614	0
231	0
0	0
0	0
140	0
0	0
0	0
15	0
14	0
0	0
60	11
0	0
173	0
149	0
0	0
674	0
31	0
0	0
102	0
1098	0
0	0
80	0
0	0
0	0
209	0
48	0
2153	0
31	0
17	0
5	0
0	0
48	0
5469	0
1	0
29	0
49	0
6	1
27	0
108	0
44	0
965	0
0	0
37	0
12	9
0	0
20	0
13	0
0	0
0	0
0	0
53	0
0	0
0	0
41	0
0	0
0	0
415	0
46	0
0	0
317	29
472	0
0	0
16	0
270	0
0	0
0	0
0	0
730	0
77	0
1	0
35	0
8	5
202	165
4	0
98	0
0	0
400	0
0	0
0	0
0	0
0	0
23	0
272	0
0	0
14	0
543	0
102	0
1	0
475	0
30	0
770	1
20	0
160	24
33	0
9	1
22	0
0	0
0	0
32	0
0	0
31	0
225	0
0	0
138	0
7	0
3306	0
605	0
244	0
2	0
0	0
192	0
7	0
0	0
0	0
601	0
4182	0
0	0
0	0
4378	3
0	0
0	0
2717	0
39	0
0	0
0	0
0	0
0	0
0	0
0	0
68	0
9	0
6	0
0	0
1218	0
0	0
306	0
1032	0
0	0
44	0
10	0
31	0
53	0
13	0
679	0
6	0
23	0
38	0
2337	0
7	0
1	0
4	0
9	0
27	0
0	0
28	0
129	0
8	0
0	0
0	0
3822	0
0	0
0	0
0	0
355	0
0	0
15	1
87	0
35	0
191	0
2	7
108	0
25	6
199	6
134	0
0	0
515	19
62	0
128	0
0	0
1188	0
0	3
6	0
2	0
632	0
5536	0
0	0
384	0
869	0
1089	7
592	0
16	0
14	0
0	0
8	0
125	0
67	0
11	0
421	0
140	0
278	0
7	35
49	3
237	0
38	0
39	0
0	0
0	0
237	0
0	0
220	0
869	3
850	0
14	0
801	0
34	5
0	0
6	0
0	0
701	24
1053	0
0	0
1510	0
10	0
3	0
0	0
0	0
46	0
161	40
260	2
3	0
0	0
0	0
0	0
0	0
0	0
9	0
946	1
0	0
212	12
38	0
5	0
17	0
93	0
0	0
0	0
470	0
0	0
0	0
0	0
0	0
0	0
1274	0
0	0
1075	0
0	0
50	0
0	0
22	0
6	0
0	0
0	0
8	0
230	5
5	0
162	0
18	29
47	0
0	0
17	0
0	0
0	0
518	0
0	0
0	0
57	221
256	42
0	0
137	0
0	0
2998	3
646	0
13588	2
1	0
5	0
2927	0
0	0
0	0
1215	0
11	0
28	0
646	0
2882	643
0	0
22	0
31	0
0	0
767	0
922	0
43	0
0	0
0	0
573	0
0	0
539	0
0	0
10	0
72	0
131	0
34	0
403	14
0	0
58	0
12	0
3429	10
79	0
895	0
1599	0
403	0
3	3
0	0
0	0
0	0
0	0
20	19
115	0
46	0
803	0
2535	0
0	0
32	0
0	0
6	0
0	0
1603	0
1959	0
405	0
0	7
1042	263
134	20
0	0
0	0
67	1
408	0
0	0
72	0
0	0
0	0
24	0
7	5
156	0
0	0
18	0
54	0
0	0
0	0
0	0
0	0
35	0
0	0
381	0
20330	0
138	155
0	0
92	0
245	0
3	0
0	0
0	0
515	0
9	0
74	0
0	0
681	0
0	0
0	0
322	0
33	0
0	0
142	0
448	0
0	0
490	26
183	0
24	0
0	0
77	0
18	0
0	0
671	0
660	0
0	0
43	0
1441	0
0	0
708	0
0	0
0	0
62	0
25	0
1219	19
351	2
382	57
701	6
2	0
566	0
1928	0
208	16
0	0
7	0
787	70
182	0
258	0
0	0
0	0
128	0
19	0
0	0
390	0
168	0
0	0
69	0
0	0
0	0
288	0
0	0
1009	0
35	0
501	0
0	0
0	0
0	0
22	0
965	95
35	0
0	0
348	0
4750	0
618	0
68	0
1471	0
252	0
8	1
0	0
10	0
2	0
28	0
834	43
0	0
0	0
0	0
0	0
233	36
1	0
0	0
1668	4
2	0
87	0
551	19
0	0
307	0
128	0
2	0
0	0
0	0
31	0
519	0
0	0
3576	13639
75	0
0	0
0	0
5376	5
15	0
0	0
1566	0
72	1
768	0
7	0
0	0
604	0
1	0
0	0
60	0
258	0
41	0
25	0
152	24
0	0
0	0
1028	8
0	0
688	0
25	0
51	124
0	0
197	0
0	0
0	0
0	0
0	0
34	0
81	0
86	0
0	0
72	0
0	0
28	0
0	0
0	0
10	0
80	0
0	0
0	0
0	0
3	0
0	0
0	0
2898	10
7	1
11	4
0	0
38	0
0	0
0	0
20	0
0	0
0	0
261	8
0	0
0	0
155	0
5	0
0	0
9	0
0	0
15	0
0	0
702	0
1313	0
211	8
75	0
455	0
0	0
0	0
861	0
1004	0
0	0
10	0
0	0
0	0
1916	0
15	0
41	0
2	4
0	0
0	0
790	0
0	0
9	0
195	0
22	0
69	0
0	0
23	0
0	0
54	0
133	81
174	0
5	0
110	0
36	0
55	0
216	4
613	13
662	14
156	1
596	0
1338	0
337	0
129	63
4	0
0	0
9	0
776	0
2	0
670	0
14	0
351	0
50	0
42	0
0	0
49	0
4	0
0	0
4	0
0	0
1363	0
0	0
2	0
0	0
16504	793
65	0
936	439
2498	0
0	0
23	0
22	0
9	0
442	0
94	0
0	0
18	0
0	0
0	0
0	0
63	0
0	0
1454	0
625	0
1505	0
2	0
4	0
2169	0
0	0
205	33
1	0
9	0
4	0
0	0
0	0
83	0
76	0
89	0
496	1
48	0
78	0
7	0
13	0
9	0
1137	0
0	0
179	0
9	17
186	0
32	0
285	0
10	0
75	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
56	0
0	0
392	0
8	0
2790	0
15	0
0	0
48663	0
0	0
0	0
118	0
0	0
1404	0
227	0
0	0
317	0
58	0
182	0
301	0
16	0
16	0
1048	0
125	0
68	0
0	0
532	21
38	0
279	73
6	0
733	0
13	0
883	0
797	35
0	0
0	0
0	0
12	0
0	0
355	0
21	0
2	0
148	3
0	0
1773	0
0	0
20	0
16	0
0	0
378	0
91	0
0	0
3867	2
24	0
4	0
0	0
48	0
53	0
53	0
392	0
931	0
85	9
0	0
6	0
47	0
582	0
35	24
21945	200
1249	0
279	0
0	0
191	0
9	0
10	0
50	51
0	0
2873	0
51	3
225	3
467	0
27	0
117	0
2	0
6	0
96	0
0	0
0	0
349	0
16	0
0	0
3	0
41	0
0	0
0	0
596	0
1417	0
431	0
0	0
422	0
23	0
40	0
0	0
26	0
0	0
238	0
185	0
65	0
823	0
7	0
1448	0
447	0
0	0
3938	5
178	53
0	0
41	0
231	0
0	0
0	0
0	0
18314	0
0	0
0	0
0	0
71	0
0	0
161	8
0	0
0	0
1576	89
22	3
0	0
49	1
3	0
0	0
4	0
331	0
170	0
7922	0
9	0
0	0
0	0
1176	0
195	0
0	0
215	0
2	0
266	145
38	1
1710	0
13	0
2331	0
14	1
0	0
0	0
0	0
0	0
0	0
53	0
0	0
32	0
0	0
9189	0
0	0
0	0
0	0
0	0
1063	0
0	0
338	0
0	0
477	0
5	0
936	0
0	0
0	0
888	0
0	0
53	0
0	0
271	0
73	0
0	0
16	0
32	0
368	0
58	0
0	0
26	8
0	0
251	0
1706	0
0	0
0	0
606	0
0	0
2	1562
29	0
18	2
363	0
27	0
144	1
0	0
6	0
0	0
0	0
0	0
423	0
0	0
0	0
0	0
11	0
8	0
1073	0
68	0
0	0
0	0
0	0
8	0
21	0
0	0
0	0
0	0
86	0
6	0
742	0
52	0
0	0
18	16
1217	0
26	0
12	0
0	0
17	4
111	18
201	0
23	0
0	0
932	0
0	0
4	0
75	0
0	0
54	0
207	0
75	0
24	0
53	0
685	0
0	0
0	0
2	0
472	47
20	38
11700	0
0	0
707	0
111	0
2721	0
1018	14
0	0
1649	0
90	0
0	0
21	0
0	0
618	0
179	0
0	0
0	0
2	0
151	0
0	0
0	0
320	0
22	0
284	0
738	0
0	0
0	0
9	0
0	0
2	0
361	0
0	0
109	0
4163	0
7	6
0	0
206	0
0	0
0	0
44	0
0	0
19	0
2507	0
0	0
0	0
0	0
396	0
84	6
240	0
436	0
0	0
11	0
2	0
220	0
687	0
84	0
0	0
42	0
97	0
136	3
32	3
0	0
15	0
180	0
0	0
7	6
0	0
398	0
270	0
0	0
1610	181
12	0
0	0
1168	0
77	0
499	0
12	1
0	0
0	0
299	7
370	0
289	20
301	0
0	0
14	0
1668	0
89	0
0	0
0	0
1220	0
412	0
225	710
0	0
0	0
0	0
357	0
0	0
1062	0
313	0
563	0
608	0
19	0
22	0
2313	115
188	0
45	0
0	0
9	0
47	0
0	0
23	0
0	0
0	0
132	0
0	0
10	0
0	0
0	0
27	0
3	142
106	0
0	0
0	0
3	0
42	0
0	0
4	16
0	0
77	91
124	0
728	3
913	0
33	0
0	0
7	0
424	0
0	0
719	0
0	0
111	0
58	0
39	0
658	0
1550	21
35413	5855
22	0
11	0
961	0
488	0
0	0
218	0
0	0
0	0
1	0
0	0
29	0
0	0
0	0
106	0
23	0
543	0
2932	0
0	0
9	0
4160	0
0	0
1107	0
3	0
0	0
13	0
26	2
240	0
489	0
22	3
98	0
3	0
102	0
1278	0
0	0
1792	23
2335	0
57	0
957	30
282	0
933	0
1173	1
157	1
0	0
31	0
12	0
16	0
1071	0
11	0
0	0
88	0
708	35
213	0
0	0
0	0
499	0
61	0
0	0
0	0
558	0
475	0
309	2
39	0
993	0
269	34
25	0
34	0
1994	22
48	0
0	0
0	0
10	0
590	7
27	0
456	0
30	0
2003	0
630	0
1349	6
13	0
51	0
0	0
577	0
32	0
10	0
0	0
0	0
0	0
0	0
4	3
1018	6
0	0
0	0
2105	0
10	0
0	0
0	0
19151	0
2	0
6743	0
265	0
145	0
0	0
0	0
0	0
101	0
0	0
0	0
0	0
131	0
24	0
18	0
31	0
373	0
183	0
0	0
268	0
1466	0
27	0
54	0
878	0
331	0
0	0
8	0
7	0
291	0
645	0
0	0
92	0
44	0
0	0
17	0
0	0
1972	0
0	0
0	0
0	0
560	216
13	43
0	0
0	0
0	0
8	0
9	0
9	0
0	0
35	0
158	0
0	0
5	0
22	0
0	0
0	0
26	33
96	0
11	0
1159	0
0	0
0	0
1	0
1	0
0	0
489	0
953	0
609	0
288	0
32	0
0	0
0	0
295	0
0	0
926	0
60	0
0	0
192	0
0	0
845	0
0	0
1327	0
0	0
271	0
16	0
0	0
1653	0
0	0
0	0
0	0
104	0
0	0
0	0
0	0
215	0
0	0
0	0
0	0
192	21
132	0
15	0
0	0
0	0
0	0
0	0
152	1
416	0
0	0
0	0
668	0
15	0
227	0
13	0
0	0
183	0
2	0
0	0
0	0
60	13
499	13
0	0
6	0
1117	0
15	0
65	0
0	0
270	0
0	0
0	0
5	0
1219	0
0	0
1	0
139	0
488	0
3298	0
0	0
0	0
1872	61
150	0
0	0
123	0
296	1
18	5
157	0
0	0
0	0
270	0
1583	25
118	0
0	0
0	0
963	0
535	3
0	0
5	0
155	0
1016	0
2723	0
0	0
0	0
209	11
0	0
0	0
40	0
0	0
0	0
0	0
9910	7
5621	7
144	0
0	0
0	0
19	0
0	0
166	0
70	0
1278	0
444	0
1585	0
104	0
23	0
8	6
0	0
9737	0
255	0
25	0
36	0
0	0
552	0
0	0
145	0
1	10
57	0
220	0
0	0
108	0
28276	0
0	0
0	0
0	0
0	0
229	0
0	0
257	0
50	0
1	0
7827	16
3	0
558	0
0	0
0	0
625	0
0	0
16	0
154	0
44	0
0	0
331	0
51	0
