UniqueCount	AmbigCount
617	1
788	12
9	0
0	0
13	0
8	0
1012	0
0	0
1394	0
35	0
6	0
39	0
842	0
0	0
0	0
0	0
145	6
0	0
202	0
666	0
200	0
2	0
15	0
255	0
1	0
673	0
7	0
0	0
1566	0
123	0
269	3
123	0
2869	3
235	0
0	0
1	0
0	0
14	0
13	0
0	0
0	0
0	0
2094	0
43	0
574	0
0	0
10	0
13	0
610	0
44	0
104	0
1886	0
375	0
0	0
3158	4
96	0
3	0
0	0
33	0
528	0
0	0
12	0
826	0
0	0
10	0
0	0
90	0
47	0
0	0
744	1
0	0
913	0
329	0
0	0
101	0
997	0
0	0
11	0
87	0
0	0
65	0
11	0
61	0
0	0
5	0
0	0
0	0
2148	0
0	0
0	0
0	0
768	10
0	0
2	0
0	0
25	0
1606	0
0	0
0	0
16	0
0	0
0	0
22	0
56	0
181	0
11	0
213	0
98	0
5	0
400	0
0	0
0	0
0	0
173	0
0	0
15	0
9	0
0	0
0	0
16	0
0	0
6	0
0	0
0	0
0	0
0	0
429	0
0	0
0	0
105	0
1247	0
0	0
0	0
113	0
25	0
2	0
771	2
0	0
12	0
1979	0
251	0
0	0
554	0
1267	0
104	0
47	0
0	0
0	0
2	0
0	0
295	0
14	0
921	1
22	0
8	5
15	0
26	0
15	0
511	0
34	0
0	0
38	0
45	0
589	0
18	0
8	0
11	0
74	0
208	0
0	0
584	0
171	0
10	0
0	0
0	0
3	0
0	0
1	0
0	0
41	0
0	0
0	0
694	0
11	0
129	0
0	0
22	0
0	0
24	0
1309	0
0	0
0	0
13	0
742	0
0	0
6	0
15	0
1127	0
242	0
1205	0
68	3
20	0
7	0
335	0
45	0
1385	0
58	0
0	0
0	0
0	0
0	0
14	0
24	0
4427	1
202	0
0	0
0	0
113	0
0	0
0	0
17	0
4	0
0	0
79	0
0	0
322	0
82	0
0	0
499	0
29	0
0	0
197	0
1835	0
0	0
229	0
0	0
0	0
158	0
45	0
2002	0
14	0
23	0
16	0
0	0
12	0
3507	0
0	0
22	0
8	0
13	0
1	0
7	0
16	0
622	0
0	0
2	0
7	0
0	0
113	0
13	0
0	0
0	0
0	0
60	0
0	0
0	0
23	0
0	0
0	0
421	0
35	0
0	0
388	1
283	0
0	0
13	0
160	0
0	0
0	0
0	0
361	0
8	0
2	0
9	0
39	0
19	0
2	0
118	0
0	0
1025	0
0	0
0	0
0	0
0	0
172	0
156	0
0	0
2	0
507	0
100	0
0	0
375	0
136	0
963	4
8	0
1	0
7	0
2	0
0	0
0	0
0	0
95	0
0	0
17	0
47	0
0	0
143	0
2	0
3481	0
365	0
172	0
15	0
0	0
413	0
12	0
0	0
0	0
719	0
3054	0
0	0
0	0
4172	0
0	0
1	0
4812	0
44	0
0	0
0	0
0	0
0	0
0	0
0	0
134	0
12	0
11	0
0	0
1453	0
0	0
248	0
1457	0
0	0
6	0
9	0
33	0
36	0
26	0
532	0
0	0
42	0
3	0
2781	0
6	0
0	0
0	0
2	0
1	0
0	0
1	0
88	0
10	0
0	0
0	0
2310	0
0	0
0	0
0	0
321	0
0	0
39	0
53	0
10	0
126	0
0	0
96	0
0	0
3	0
284	0
0	0
342	0
94	0
72	0
0	0
445	0
0	0
3	0
10	0
527	0
7266	0
0	0
285	0
625	0
1101	0
325	0
7	0
29	0
0	0
0	0
209	0
87	0
4	0
427	0
2	0
62	0
52	0
11	0
152	0
48	0
139	0
0	0
3	0
0	0
0	0
132	0
1466	26
483	3
61	0
891	0
5	0
0	0
6	0
0	0
662	0
1140	0
0	0
941	0
12	0
0	0
0	0
0	0
37	0
16	0
150	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
800	0
0	0
64	0
70	0
4	0
8	0
121	0
0	0
0	0
652	0
0	0
0	0
0	0
0	0
0	0
977	0
0	0
924	0
0	0
17	0
0	0
3	0
4	0
7	0
47	0
14	0
222	0
3	0
118	1
11	0
58	0
0	0
7	0
0	0
0	0
92	0
0	0
0	0
12	1
82	0
0	0
51	0
0	0
3425	0
999	0
24214	0
0	0
11	0
2350	0
0	0
0	0
2264	0
19	0
44	0
507	0
1911	2
0	0
0	0
4	0
0	0
836	0
1332	0
27	0
1	0
0	0
514	0
0	0
603	0
0	0
11	0
4	0
664	0
46	0
72	0
3	0
9	0
7	0
4348	0
86	10
407	0
976	0
193	0
6	0
0	0
0	0
0	0
0	0
14	0
133	0
42	0
934	0
3236	0
0	0
45	0
0	0
6	0
0	0
1184	0
1131	0
479	0
0	0
843	1
4	0
0	0
0	0
93	1
409	0
0	0
70	0
0	0
0	0
17	0
23	0
27	0
0	0
1	0
10	0
0	0
0	0
0	0
0	0
23	0
0	0
291	0
237	0
160	0
0	0
14	0
375	0
0	0
0	0
0	0
716	0
6	0
24	0
0	0
425	5
0	0
5	0
159	0
21	0
0	0
9	0
438	0
0	0
539	0
298	0
4	0
0	0
90	0
23	0
6	0
416	0
1044	0
0	0
9	0
2419	0
0	0
711	0
0	0
0	0
14	0
24	0
965	0
68	0
43	0
500	5
10	0
265	0
2006	0
264	0
0	0
24	0
602	0
177	0
66	0
0	0
0	0
149	0
5	0
0	0
408	0
93	0
0	0
32	0
1	0
0	0
269	0
0	0
876	0
20	0
644	0
0	0
0	0
0	0
13	0
1228	1
89	0
6	0
297	0
2765	0
666	0
47	0
1633	0
499	0
16	0
0	0
3	0
2	0
57	3
640	0
0	0
0	0
0	0
0	0
156	0
0	0
0	0
2087	0
6	0
6	0
382	0
0	0
364	0
19	0
0	0
0	0
0	0
65	0
483	0
0	0
777	26
74	0
0	0
