UniqueCount	AmbigCount
917	8
2719	66
69	0
13	0
3	0
0	0
1404	0
6	0
2520	0
2	0
38	0
13	0
214	0
0	0
0	0
0	0
53	4
0	0
6	0
850	0
95	0
0	0
33	0
770	0
0	0
962	0
7	0
0	0
2031	0
32	0
351	2
66	0
9086	30
506	1
18	0
17	0
0	0
28	0
50	8
0	0
0	0
0	0
1293	1
91	0
1887	0
0	0
12	0
24	0
1203	0
23	0
253	0
4463	0
786	0
0	0
5803	6
158	0
14	0
33	0
85	0
1506	0
0	0
17	0
1299	0
2	0
10	0
0	0
29	0
35	0
0	0
1396	0
0	0
2800	0
545	0
0	0
25	0
1795	0
0	0
6	0
18	0
0	0
16	0
7	0
15	0
0	0
0	0
0	0
0	0
3525	0
0	0
0	0
0	0
1380	2
140	3
23	0
0	0
39	0
1623	0
0	0
0	0
71	0
0	0
0	0
26	0
94	0
69	0
7	0
293	0
55	0
3	0
841	3
2	0
0	0
0	0
77	0
0	0
9	0
42	0
0	0
0	0
50	0
0	0
9	0
0	0
0	0
0	0
0	0
829	0
0	0
0	0
94	0
2271	0
0	0
3	0
120	0
24	0
1	0
1160	1
0	0
0	0
1221	0
392	0
0	0
1196	1
792	1
19	0
46	0
0	0
0	0
0	0
1	0
425	0
5	0
867	4
0	0
14	0
21	0
1	0
23	1
500	0
54	0
0	0
5	0
2	0
1353	1
21	0
7	0
14	0
75	0
555	0
0	0
871	1
50	0
12	0
1	0
0	0
6	0
0	0
668	0
1	0
0	0
0	0
0	0
1379	0
42	0
307	2
0	0
78	0
0	0
3	0
1722	0
0	0
5	14
97	15
1036	0
0	0
13	0
359	3
1746	0
988	0
3374	15
423	9
29	0
0	0
150	0
65	0
1813	0
68	0
3	0
0	0
0	0
0	0
50	2
33	0
7376	3
442	0
0	0
0	0
396	0
0	0
0	0
485	0
9	0
0	0
7	0
0	0
762	0
62	0
0	0
676	0
22	0
0	0
223	0
3385	1
0	0
134	0
0	0
0	0
149	0
44	0
3330	3
11	0
0	0
9	0
0	0
7	0
4251	0
1	0
272	0
0	0
11	0
3	0
2	0
0	0
1918	0
0	0
16	0
3	0
0	0
71	0
25	0
0	0
0	0
0	0
81	0
0	0
0	0
26	0
0	0
0	0
168	0
15	0
5	0
474	0
984	0
3	0
0	0
1245	0
0	0
0	0
0	0
978	0
0	0
33	0
110	0
19	0
43	0
0	0
476	0
0	0
1155	0
0	0
2	0
0	0
1	0
42	0
1059	0
0	0
4	0
1306	0
219	0
5	0
619	0
63	0
1370	0
18	0
0	0
2	0
98	0
0	0
0	0
0	0
0	0
0	0
5	0
4	0
0	0
514	0
16	0
5181	0
1524	0
667	0
21	0
0	0
775	2
183	3
0	0
0	0
1240	0
202	0
0	0
0	0
4476	0
7	0
0	1
4436	0
16	0
0	0
0	0
13	0
0	0
0	0
0	0
249	0
0	0
1	0
0	0
2920	0
0	0
312	0
2275	0
3	0
0	0
29	0
20	0
72	0
7	0
691	3
0	0
36	0
31	0
770	0
6	0
16	0
3	0
15	0
6	0
0	0
44	0
96	0
9	0
0	0
0	0
3044	0
0	0
0	0
0	0
523	0
0	0
101	7
183	0
15	0
673	0
2	0
32	0
6	0
1	0
593	0
0	0
452	0
19	0
253	0
0	0
152	0
4	0
8	0
0	0
840	0
9576	0
0	0
0	0
552	0
2296	0
282	0
31	0
12	0
0	0
1	0
527	1
157	0
8	0
628	0
0	0
82	0
131	0
3	0
308	0
82	0
610	0
0	0
9	0
4	0
0	0
226	0
3573	20
661	5
65	0
1624	0
5	0
0	0
5	0
0	0
1079	0
1261	0
0	0
1440	0
28	0
16	0
0	0
0	0
129	0
17	0
144	0
13	0
0	0
0	0
0	0
2	0
10	0
5	0
2255	0
0	0
103	0
173	0
147	0
1	0
184	0
0	0
0	0
93	0
0	0
0	0
0	0
0	0
0	0
1177	0
0	0
4665	1
0	0
5	0
0	0
4	0
68	0
6	0
11	0
6	0
723	6
0	0
4	0
7	0
327	0
9	0
15	0
0	0
0	0
0	0
0	0
0	0
14	0
418	2
0	0
10	0
0	0
6867	0
707	0
25437	0
6	0
6	0
4084	0
0	0
0	0
3603	0
22	0
28	0
787	0
3694	1
0	0
2	0
3	0
0	0
1861	0
2210	0
135	0
0	0
0	0
606	0
8	4
572	0
0	0
10	0
7	0
1395	1
145	0
25	0
0	0
7	0
11	0
7828	0
108	4
775	0
1288	0
525	0
2	0
0	0
0	0
0	0
0	0
5	0
412	0
13	0
1020	0
1389	0
0	0
0	0
0	0
9	0
861	6
1209	0
487	0
459	0
0	0
1474	0
3	0
0	0
0	0
23	1
279	0
0	0
238	22
0	0
1	0
15	0
3	2
233	0
346	0
10	0
3	0
0	0
0	0
0	0
0	0
44	0
0	0
738	0
350	0
292	0
0	0
46	0
924	0
2	0
0	0
0	0
2107	1
7	0
278	0
0	0
933	7
0	0
0	0
100	0
8	0
0	0
0	0
780	2
0	0
2019	0
266	0
14	0
0	0
186	0
86	0
2	0
358	0
2780	0
0	0
121	0
1733	0
1	0
962	0
0	0
0	0
21	0
263	0
1338	0
17	0
33	0
411	3
3	0
193	0
2394	0
867	0
0	0
39	0
848	0
474	0
27	0
0	0
0	0
227	0
43	0
0	0
117	0
193	0
0	0
82	0
36	0
0	0
286	0
0	0
889	0
34	0
825	0
0	0
0	0
0	0
5	0
1665	0
296	0
19	0
156	0
3689	0
1203	0
82	0
1252	0
120	0
38	3
0	0
23	0
0	0
61	0
848	0
0	0
0	0
0	0
0	0
349	0
32	0
0	0
3088	0
0	0
11	0
1020	0
0	0
449	0
15	0
1	0
0	0
0	0
174	0
1808	0
0	0
2847	78
38	0
0	0
0	0
7380	7
7	0
0	0
1871	0
0	0
101	0
0	0
0	0
677	0
5	0
0	0
77	0
604	0
313	0
25	0
25	0
0	0
0	0
239	0
0	0
892	0
53	0
45	0
0	0
1433	0
0	0
0	0
0	0
8	0
212	16
10	0
41	0
0	0
39	0
0	0
36	0
0	0
0	0
8	0
45	0
0	0
0	0
0	0
14	0
0	0
0	0
3533	19
0	0
11	0
0	0
324	0
0	0
1	0
72	0
0	0
0	0
308	0
0	0
0	0
6	0
31	4
0	0
67	0
0	0
44	0
0	0
675	0
3338	0
25	0
0	0
1750	0
0	0
18	0
862	0
29	0
0	0
5	0
0	0
0	0
2813	0
2	0
49	0
2	0
0	0
14	0
947	0
9	0
2	0
603	0
68	0
65	0
0	0
16	0
0	0
0	0
43	0
382	0
7	0
15	0
127	0
232	0
15	0
673	0
3046	30
1060	6
161	0
2177	0
171	0
377	1
0	0
1	0
0	0
812	0
0	0
1139	0
2	0
29	0
0	0
15	0
0	0
17	0
2	0
6	0
78	0
0	0
2370	0
0	0
2	0
0	0
14195	0
25	0
127	1
1716	0
0	0
16	0
16	0
19	0
1057	0
69	0
0	0
0	0
0	0
0	0
0	0
70	0
2	0
2345	0
384	0
2531	0
0	0
5	0
4462	0
20	0
54	0
1	0
61	0
3	0
0	0
0	0
1019	0
41	0
141	0
353	0
81	0
64	0
4	0
30	0
7	0
