UniqueCount	AmbigCount
1406	2
3616	65
66	0
26	0
9	0
6	0
1005	0
8	0
3407	0
11	0
32	0
22	0
639	0
0	0
0	0
0	0
206	7
0	0
17	0
645	0
89	0
4	0
22	0
675	0
0	0
933	0
0	0
0	0
1834	0
65	0
505	2
431	1
9164	13
619	0
2	0
37	0
0	0
13	0
39	1
0	0
0	0
0	0
2649	0
66	0
1381	1
0	0
5	0
42	0
1147	0
30	0
269	0
4575	0
866	0
0	0
5401	12
266	0
19	0
46	0
2	0
759	0
0	0
10	0
2431	0
1	0
41	0
0	0
91	0
11	0
0	0
610	5
0	0
1891	0
934	0
0	0
35	0
2055	0
0	0
10	0
46	0
0	0
34	0
11	0
34	0
0	0
0	0
17	1
0	0
4434	1
0	0
0	0
0	0
787	2
109	1
13	0
0	0
12	0
2263	0
0	0
0	0
107	0
0	0
0	0
13	0
62	0
108	0
3	0
141	0
37	0
11	0
1026	2
6	0
0	0
0	0
72	0
0	0
9	0
27	0
0	0
0	0
20	0
0	0
30	0
0	0
0	0
0	0
0	0
890	0
0	0
0	0
91	0
811	5
0	0
12	0
116	0
33	0
7	0
1582	3
0	0
0	0
1288	0
496	0
0	0
1506	0
964	1
54	0
38	0
0	0
0	0
0	0
3	0
351	0
12	0
1665	1
0	0
19	1
94	0
5	0
8	0
467	0
78	0
0	0
4	0
41	0
1516	1
45	0
15	0
21	0
206	0
508	0
0	0
827	0
88	0
3	0
2	0
0	0
7	0
0	0
599	0
1	0
4	0
0	0
0	0
1602	0
93	0
300	3
0	0
125	0
0	0
8	0
2442	0
0	0
0	0
37	0
1362	0
0	0
16	0
20	0
2079	0
816	0
3828	9
64	3
77	0
11	0
59	0
32	0
2333	0
37	0
0	0
0	0
0	0
2	0
52	0
59	0
4871	5
425	0
0	0
0	0
456	0
0	0
0	0
256	0
5	0
0	0
37	0
0	0
858	0
112	0
0	0
1019	0
50	0
0	0
310	1
3220	0
0	0
65	0
0	0
0	0
210	0
58	0
2378	0
15	0
3	0
13	0
0	0
18	0
2416	0
2	0
326	0
11	0
19	2
17	0
25	0
0	0
902	0
0	0
18	0
9	0
0	0
162	0
31	0
0	0
0	0
0	0
76	0
0	0
0	0
33	0
0	0
0	0
88	0
12	0
0	0
707	0
820	0
5	0
0	0
492	0
0	0
0	0
0	0
712	0
0	0
36	0
74	0
17	0
162	1
0	0
433	0
0	0
1972	0
0	0
0	0
0	0
3	0
209	0
464	0
0	0
2	0
560	0
186	0
1	0
603	0
118	0
1429	1
20	0
0	0
0	0
127	0
0	0
0	0
0	0
0	0
0	0
41	0
38	0
0	0
413	0
18	0
4201	0
1046	0
688	0
31	0
0	0
691	1
71	0
0	0
0	0
1472	0
504	0
0	0
0	0
3042	0
18	0
3	0
5300	0
24	0
0	0
0	0
15	0
0	0
0	0
0	0
92	0
0	0
5	0
0	0
2727	0
0	0
423	0
2889	0
13	0
0	0
30	0
19	0
54	0
61	0
797	1
2	0
38	0
43	0
1772	0
13	0
56	0
8	0
20	0
8	0
0	0
53	0
99	0
6	0
0	0
0	0
1688	0
0	0
0	0
0	0
278	0
0	0
62	0
228	0
19	0
523	0
3	0
47	0
8	0
3	0
927	0
0	0
166	0
69	0
284	0
0	0
174	0
22	0
0	0
1	0
899	0
17326	0
0	0
0	0
1035	0
2820	0
447	0
27	0
9	0
0	0
3	0
538	2
194	0
13	0
833	0
16	0
493	0
159	0
1	0
351	0
84	0
318	0
0	0
9	0
9	0
0	0
439	0
2536	18
801	0
40	0
1701	0
8	0
0	0
2	0
0	0
1374	0
1614	0
0	0
1226	0
22	0
23	0
0	0
0	0
113	0
17	0
122	0
14	0
0	0
0	0
0	0
2	0
5	0
5	0
2876	0
0	0
65	0
135	0
132	0
0	0
137	0
0	0
0	0
236	0
0	0
0	0
0	0
0	0
0	0
1672	0
0	0
2385	0
0	0
11	0
0	0
2	0
57	4
7	0
11	0
7	0
697	5
0	0
1	0
35	0
384	0
2	0
11	0
0	0
0	0
0	0
0	0
0	0
34	0
283	0
0	0
41	0
0	0
6413	0
991	0
6691	0
32	0
3	0
3493	0
0	0
0	0
2894	0
54	0
10	0
1243	0
2271	3
0	0
6	0
4	0
0	0
1897	0
2616	0
23	0
2	0
0	0
868	0
4	0
774	0
0	0
19	0
9	0
609	0
71	0
40	0
2	0
27	0
3	0
4898	1
193	8
698	0
494	0
595	0
0	0
0	0
0	0
0	0
1	0
10	0
248	0
19	0
1496	0
4249	0
0	0
0	0
0	0
1	0
317	0
1198	0
1047	0
651	0
0	0
1742	0
12	0
0	0
0	0
17	0
365	0
0	0
73	0
0	0
0	0
10	0
8	1
68	0
213	0
0	0
6	0
0	0
0	0
0	0
0	0
39	0
0	0
701	0
248	0
263	0
0	0
56	0
801	0
0	0
0	0
0	0
1338	0
1	0
184	0
4	0
1246	3
0	0
0	0
104	0
11	0
0	0
14	0
657	1
11	0
1848	0
474	0
34	0
0	0
197	1
41	1
29	0
597	0
3718	0
0	0
55	0
1990	0
2	0
883	0
0	0
0	0
22	0
220	0
748	0
61	0
74	0
398	3
0	0
438	0
3958	0
918	0
0	0
45	0
825	1
525	1
95	0
0	0
0	0
126	0
46	0
0	0
293	0
296	0
0	0
54	0
67	0
0	0
331	0
0	0
879	0
18	0
1090	0
0	0
0	0
0	0
1	0
2605	0
350	0
38	0
155	0
6752	0
1318	0
260	0
1872	0
152	0
77	1
0	0
14	0
3	0
16	0
627	0
0	0
0	0
0	0
0	0
346	0
21	0
0	0
2847	0
3	0
13	0
722	0
0	0
469	0
30	0
7	0
0	0
0	0
161	0
771	0
0	0
3092	34
63	0
0	0
0	0
3699	3
9	0
0	0
3143	0
1	0
290	0
0	0
0	0
565	0
10	0
0	0
65	0
339	0
640	0
56	0
75	0
0	0
0	0
605	0
0	0
1159	0
269	1
44	0
0	0
1216	0
0	0
0	0
0	0
1	0
278	8
28	0
99	0
0	0
23	0
0	0
41	0
0	0
0	0
0	0
30	0
0	0
0	0
0	0
4	0
0	0
0	0
4273	14
29	0
1	0
0	0
1007	0
0	0
0	0
35	0
0	0
0	0
67	0
0	0
0	0
26	0
10	0
0	0
28	0
0	0
79	0
0	0
840	0
1979	0
83	0
5	0
1176	0
0	0
0	0
321	0
109	0
0	0
9	0
0	0
0	0
3175	0
0	0
67	0
2	0
0	0
24	0
989	0
9	0
3	0
794	2
157	0
53	0
0	0
8	0
0	0
2	0
87	0
558	0
0	0
11	0
116	0
104	0
57	0
376	1
2759	23
705	12
104	0
1298	0
112	0
393	0
3	0
0	0
4	0
1626	0
1	0
958	0
2	0
59	0
63	0
13	0
0	0
88	3
26	0
0	0
6	0
0	0
2009	0
0	0
0	0
0	0
8477	1
38	0
110	0
823	0
0	0
14	0
13	0
25	0
1315	0
62	0
0	0
0	0
0	0
0	0
0	0
63	0
1	0
2799	0
667	0
2000	0
0	0
0	0
3525	0
17	0
108	0
2	0
11	0
16	0
0	0
0	0
414	0
3	0
181	0
495	0
161	0
70	0
10	0
45	0
5	0
1479	0
0	0
495	1
22	15
1094	0
135	0
1310	0
20	0
35	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
34	0
0	0
706	0
2	0
3034	0
47	0
0	0
107448	0
0	0
0	0
19	0
23	0
1865	0
923	0
19	0
672	1
53	0
414	0
471	1
5	0
1	0
4519	0
437	6
390	6
1	0
338	1
4	0
666	0
2	0
1423	0
8	0
459	0
751	0
74	3
0	0
9	0
7	0
0	0
408	0
124	0
82	0
313	0
0	0
62	0
10	0
108	0
36	0
0	0
340	0
285	0
0	0
857	0
7	0
21	0
15	1
192	0
63	0
5	0
229	0
1373	0
1	0
0	0
7	0
339	0
888	3
12	0
5971	8
990	0
1637	1
0	0
1187	3
4	0
17	3
105	71
0	0
900	0
2	0
405	0
1847	0
5	0
459	0
26	0
22	0
1765	0
0	0
0	0
80	0
2	0
20	0
1	0
2	0
0	0
0	0
1577	0
532	0
457	0
0	0
980	0
1	0
74	0
10	0
160	0
0	0
1047	1
272	0
174	0
1183	0
6	0
790	0
1086	0
0	0
1366	5
20	0
0	0
13	0
201	0
0	0
0	0
288	1
12705	0
0	0
851	0
0	0
656	0
0	0
40	0
0	0
0	0
4008	1
33	0
0	0
26	0
2	0
0	0
0	0
142	0
288	0
7311	0
143	1
37	1
0	0
2226	0
789	0
0	0
514	0
45	0
389	0
8	0
4488	0
110	0
7372	0
11	0
0	0
0	0
0	0
0	0
0	0
133	10
0	0
13	0
0	0
5445	0
0	0
0	0
0	0
0	0
1885	0
0	0
1258	0
0	0
145	0
1	0
722	0
0	0
0	0
1256	0
0	0
201	0
0	0
461	0
41	0
0	0
9	0
137	0
1160	1
0	0
0	0
2	0
0	0
686	0
2150	0
0	0
0	0
545	0
0	0
26	2
0	0
9	0
646	0
1	0
49	0
0	0
3	0
0	0
0	0
0	0
950	0
0	0
7	0
0	0
116	0
1	0
1884	0
29	0
0	0
0	0
0	0
5	0
149	0
0	0
0	0
0	0
286	1
14	0
1154	0
37	0
6	0
2	0
1001	0
12	0
0	0
0	0
0	0
10	0
308	0
191	3
0	0
642	0
0	0
2	0
207	0
3	0
37	0
1045	0
318	0
2	0
38	0
2175	0
0	0
0	0
0	0
1148	0
55	0
12410	0
0	0
3448	0
9	0
1509	0
585	5
0	0
2009	0
26	0
22	0
8	0
0	0
2025	0
289	0
0	0
0	0
6	0
95	0
0	0
0	0
2199	0
0	0
340	0
2012	0
0	0
0	0
28	0
0	0
3	0
496	0
0	0
288	0
3798	0
11	1
0	0
1434	0
0	0
0	0
126	0
0	0
4	0
1198	0
0	0
0	0
0	0
467	0
0	0
0	0
908	0
0	0
6	0
1	0
503	0
763	0
49	0
0	0
46	0
66	0
480	0
72	5
0	0
4	0
976	0
0	0
92	8
0	0
988	0
342	0
20	0
1066	18
2	0
0	0
4256	0
35	0
822	0
56	0
0	0
0	0
28	1
539	0
472	0
381	0
0	0
23	0
1831	0
10	0
0	0
0	0
1217	0
497	0
2419	3
10	0
0	0
0	0
259	0
0	0
3498	0
481	0
2084	0
1236	0
44	0
50	0
1789	0
0	0
27	0
0	0
4	0
1	0
0	0
26	0
0	0
0	0
485	0
0	0
3	0
0	0
0	0
34	0
5	1
362	0
0	0
0	0
1	0
38	0
0	0
1	0
0	0
1	0
426	0
1467	4
1808	0
155	0
0	0
1	0
1034	0
0	0
877	0
7	0
556	6
4	0
40	0
1059	0
733	5
35287	1625
0	0
5	0
1574	0
384	0
0	0
245	0
0	0
0	0
0	0
0	0
13	0
2	0
0	0
45	0
0	0
615	0
7249	0
0	0
8	0
11211	0
0	0
1857	0
1	0
0	0
56	0
83	0
522	0
1406	1
0	0
296	0
6	0
25	0
2854	0
0	0
2633	0
4727	0
66	0
1391	1
381	0
17	0
823	2
31	0
0	0
2	0
41	0
6	0
1936	0
0	0
0	0
19	0
815	0
36	0
2	0
0	0
1912	0
13	0
0	0
0	0
55	0
78	0
149	0
34	0
1088	0
409	0
7	1
11	0
1882	17
7	0
0	0
0	0
16	0
835	3
0	0
1712	0
8	0
3880	0
642	1
1352	0
0	0
102	0
0	0
233	0
140	0
0	0
0	0
0	0
0	0
0	0
10	0
211	2
0	0
0	0
11567	0
16	0
0	0
101	2
11099	0
3	0
19366	0
537	0
332	1
0	0
0	0
0	0
27	0
0	0
0	0
0	0
156	1
0	0
64	0
55	0
64	0
712	0
0	0
325	0
2462	0
0	0
2	0
1662	0
458	0
152	7
16	0
51	0
1006	0
2026	10
0	0
45	0
104	0
0	0
0	0
0	0
1911	0
0	0
44	0
0	0
359	0
2	1
5	0
0	0
0	0
5	0
89	0
44	0
6	1
21	0
349	0
0	0
44	0
7	0
0	0
0	0
7	0
75	0
82	0
1678	0
0	0
0	0
73	0
1	0
0	0
416	0
1802	0
3272	0
427	0
39	0
0	0
0	0
440	0
0	0
728	0
24	0
0	0
188	0
1	0
803	0
0	0
3146	0
3	0
68	0
7	0
0	0
2074	0
0	0
0	0
0	0
302	0
0	0
0	0
0	0
275	0
0	0
13	0
0	0
86	8
355	2
69	6
0	0
0	0
0	0
0	0
36	0
884	0
0	0
0	0
923	0
8	0
285	0
8	0
0	0
828	0
3	0
0	0
0	0
266	20
884	20
0	0
5	0
2305	0
43	0
105	0
0	0
361	0
16	0
0	0
10	0
2148	0
0	0
2	0
14	0
1289	0
4115	0
0	0
0	0
339	2
113	0
23	0
212	0
843	8
110	4
108	0
0	0
0	0
588	0
1872	0
36	0
0	0
0	0
1744	0
1799	0
0	0
12	0
280	0
1605	0
3389	0
0	0
0	0
552	0
0	0
26	0
8	0
0	0
0	0
0	0
5045	9
2250	9
39	0
0	0
0	0
6	0
0	0
262	0
349	0
2451	0
1030	0
2061	0
596	0
83	0
1	0
0	0
7194	0
0	0
115	0
17	0
0	0
3006	0
19	0
42	2
27	0
32	0
563	0
0	0
40	0
107836	3
0	0
0	0
0	0
0	0
250	0
3	0
1284	2
19	0
0	0
14734	0
23	0
2797	0
0	0
0	0
673	0
0	0
0	0
432	4
10	0
15	0
704	0
6	0
1	0
0	0
876	0
73	0
0	0
103	0
6	0
32	0
0	0
0	0
0	0
3244	0
0	0
0	0
6	0
7	0
0	0
23	0
0	0
11	0
0	0
18	0
0	0
12332	0
0	0
16	0
8	0
2784	0
21	0
17	0
0	0
113	0
0	0
0	0
11	0
19	0
0	0
0	0
0	0
0	0
1920	0
14	0
15	0
9	0
59	0
0	0
0	0
613	0
9	0
5	0
0	0
480	0
40	0
40	0
14	0
4570	0
16	0
5739	0
158	0
308	0
0	0
12	0
21	0
0	0
0	0
8	0
731	0
93	0
6	0
2	0
43	0
0	0
0	0
18	0
114	0
0	0
1143	0
0	0
79	0
30	0
0	0
0	0
95	0
142	0
5	0
25	0
17	0
0	0
0	0
0	0
524	0
0	0
25	0
3091	0
0	0
0	0
949	0
0	0
14	0
0	0
5	0
4	0
5413	0
456	0
1	0
0	0
42	3
5	0
276	0
67	0
1103	0
0	0
0	0
14	0
12	0
0	0
3177	0
84	0
0	0
0	0
0	0
105	6
0	0
618	0
0	0
116	0
6656	0
36	0
0	0
262	0
2100	0
3	0
502	0
0	0
4	0
1386	0
488	2
27	0
446	0
0	0
15	0
1	0
6	0
0	0
493	0
120	0
0	0
0	0
497	0
1	0
2	0
401	1
8	0
1658	0
0	0
154	0
4	0
9	0
29	0
646	0
1298	0
2	0
8	0
7	0
0	0
0	0
44	0
0	0
4	0
3	0
499	0
33	0
12	0
2	0
15	0
32	0
15	0
0	0
7639	0
0	0
0	0
2	0
0	0
1593	0
45	0
0	0
115	0
0	0
32	0
0	0
45	0
6756	0
0	0
565	0
634	0
12	0
368	0
0	0
19	0
4	0
82	0
0	0
0	0
669	0
4	0
27	0
126	0
4	0
59	1
1152	0
0	0
0	0
30	0
0	0
14	0
0	0
476	0
1525	0
7	0
16	0
0	0
742	0
0	0
358	0
2	0
4	0
0	0
17	0
0	0
0	0
0	0
0	0
0	0
30	0
0	0
0	0
25	0
0	0
4	0
254	0
0	0
0	0
424	0
155	0
0	0
3	0
18	0
109	0
29	0
5253	5
1	0
0	0
19	0
314	0
2004	0
26	0
0	0
0	0
29	0
8	0
54	0
1555	0
36	1
0	0
88	33
2386	0
24	0
899	0
949	0
0	0
0	0
8	0
2	0
73	0
68	0
0	0
0	0
552	0
0	0
0	0
6214	0
8313	8
0	0
881	0
5	0
11	0
0	0
14	0
816	0
5	0
0	0
102	0
7	0
1074	3
0	0
1025	0
0	0
0	0
0	0
15	0
1056	0
37	0
0	0
560	0
29	0
0	0
882	0
0	0
0	0
649	0
12	0
0	0
0	0
7684	0
14	0
0	0
0	0
165	0
34	0
329	0
1084	0
80	0
0	0
13	0
3	0
11	0
9	0
2231	0
43	0
0	0
6552	0
0	0
19	0
0	0
379	0
0	0
319	0
0	0
382	0
11	0
259	4
1	0
43	0
10	0
2122	0
150	0
0	0
1008	0
0	0
458	0
1394	0
3	0
0	0
0	0
944	0
0	0
145	0
4	0
976	0
468	0
334	0
0	0
0	0
223	2
50	0
4249	0
167	0
350	0
0	0
0	0
204	0
0	0
63	0
0	0
0	0
0	0
633	0
29	0
0	0
942	0
8	1
729	0
0	0
0	0
33	0
3386	3
4144	2
23	0
0	0
17	2
0	0
8094	0
1	0
1011	0
0	0
0	0
1581	0
0	0
6	0
1393	0
0	0
0	0
0	0
9	0
400	0
1678	0
1678	1
763	1
741	0
0	0
0	0
0	0
20	0
743	0
82	2
38	0
98	0
0	0
776	0
122	1
2110	0
9	0
6	0
2160	0
0	0
911	0
12	2
388	62
12	0
4	1
18	0
621	0
2713	0
0	0
17	0
2	0
163	0
0	0
4128	1
446	3
1456	0
0	0
9	0
0	0
224	0
5738	0
110	0
0	0
0	0
0	0
30	0
12	0
1031	0
0	0
11	0
2323	0
1	0
1173	0
9	1
1	0
9	0
821	0
0	0
41	0
971	0
8	0
3455	0
14	0
41	0
23	0
0	0
531	0
21	0
19	0
7921	4
2824	0
30	0
336	0
23	0
0	0
26	1
9798	40
938	1
0	0
0	0
13	0
2	0
42	0
2	0
0	0
21	0
456	0
376	0
1880	11
369	2
69	0
3	0
0	0
1	0
527	0
2	0
17	0
0	0
4476	0
16	0
3	0
1939	0
1034	0
1847	4
480	0
79	0
72	5
0	0
1720	0
0	0
96	0
47	0
0	0
0	0
0	0
2	0
5	0
1667	0
0	0
76	0
0	0
7	0
5	0
0	0
2279	0
0	0
49	0
8	0
14	0
37	0
10	0
1294	0
0	0
0	0
272	0
240	0
4914	0
16	0
1056	0
0	0
1777	0
1194	0
3	0
1	0
196	0
10	0
84	0
60	0
792	0
0	0
0	0
0	0
597	0
0	0
17	0
0	0
430	0
128	0
1485	0
27	0
1	0
7	0
7	0
689	0
1074	1
15	0
1910	0
0	0
141	0
1421	0
13	1
349	0
80	0
0	0
4	0
2	0
0	0
67	0
1	0
4	0
0	0
0	0
83	0
152	1677
7	0
11	0
10	0
2	0
0	0
1498	0
0	0
7	0
0	0
3	1
0	0
6	0
96	0
43	0
9	0
0	0
0	0
0	0
0	0
15	0
13	0
0	0
23	0
104	0
0	0
177	0
2	0
37	0
0	0
2	0
0	0
0	0
501	0
0	0
0	0
0	0
39	0
569	0
6571	0
0	0
4588	0
922	0
0	0
0	0
1	0
2507	0
1	0
0	0
0	0
34	0
0	0
3914	8
45	0
0	0
1	0
1425	0
696	0
6423	0
1308	0
0	0
0	0
0	0
1	0
313	1
586	2
29	0
18	0
0	0
297	0
0	0
0	0
1	0
192	0
52	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
169	0
11	0
1139	0
23	0
2	0
0	0
59	0
22599	0
0	0
0	0
8	0
2	0
0	0
21	0
0	0
0	0
468	0
5	0
27	0
0	0
3	0
3	0
691	0
0	0
0	0
11	0
13	0
0	0
631	0
0	0
77	0
1	2
0	0
751	0
8	0
569	0
438	0
0	0
5	0
0	0
9	0
4297	0
105	0
0	0
119	0
0	0
0	0
1024	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1111	0
501	1
226	0
60	0
6	0
0	0
1	0
35	0
1740	0
12	0
295	1
5	0
0	0
18	0
11	0
0	0
119	1
69	0
30	0
53	0
68	0
3	0
26	0
1	0
0	0
125	0
7	0
0	0
0	0
614	0
20	0
655	0
332	0
3	0
105	0
6	0
71	0
0	0
0	0
818	0
10	0
689	0
44	0
57	0
6	1
0	0
4113	0
20	0
9	0
1740	0
50	0
64	0
11	0
3113	0
6260	0
0	0
4	0
254	2
16	0
1	0
10	0
6	0
4	0
1304	0
1977	1
521	1
50	0
0	0
5	0
246	0
13	0
273	0
3163	0
20	0
0	0
27	0
1240	0
700	0
0	0
0	0
5720	0
2961	11
2847	0
247	4
508	1
6546	2
8	0
238	0
444	0
220	0
0	0
2	0
0	0
96	1
9	0
6	0
0	0
894	0
0	0
2065	0
1982	6
15	0
4	0
1042	0
64	0
22	1
0	0
11	0
0	0
111	0
1321	0
1	0
14	0
41	0
2771	0
0	0
1540	1
0	0
90	0
4	0
0	0
0	0
0	0
0	0
17	0
24147	3
23	0
612	2
348	1
33	0
1	0
10	0
3103	0
8	0
894	0
8	0
14319	0
13	0
9	0
162	0
0	0
1	0
1790	0
0	0
1575	0
0	0
123	0
2671	0
1127	0
679	0
1298	0
0	0
0	0
0	0
0	0
6	0
6	1
0	0
1193	0
0	0
7989	0
0	0
8	0
58	1
0	0
1580	0
6	0
4063	0
4545	0
0	0
0	0
0	0
0	0
670	0
0	0
12	0
16	0
3	0
87	0
1	0
3147	0
4	0
488	0
4	0
43	2
54	0
93	0
0	0
0	0
0	0
3	0
677	0
1669	11
676	0
657	0
0	0
11	0
38	0
0	0
68	0
28476	1
0	0
424	0
0	0
1	0
107	0
889	2
0	0
10	0
59	0
0	0
43	1
2708	52
1054	52
751	0
25	0
8	0
221	4
8	0
10	0
0	0
0	0
181	0
53	0
0	0
0	0
0	0
3	0
1000	0
0	0
923	0
9	0
