UniqueCount	AmbigCount
1585	2
3458	56
185	3
71	0
0	0
3	0
1002	0
4	0
2334	0
22	0
46	0
26	0
978	0
0	0
0	0
0	0
362	9
0	0
64	0
1326	0
106	0
1	0
55	0
946	0
0	0
1416	0
17	0
0	0
1182	0
12	0
781	0
11	0
8386	17
346	0
4	0
15	0
5	0
14	2
19	4
0	0
0	0
0	0
3089	1
61	0
1119	0
0	0
9	0
58	1
1165	0
3	0
303	0
5191	0
728	0
0	0
4421	8
232	0
33	0
63	0
46	0
1374	0
0	0
8	0
898	0
1	0
45	0
0	0
6	0
30	0
0	0
951	4
0	0
3239	0
799	0
0	0
4	0
2422	0
0	0
1	0
67	0
0	0
6	0
6	0
7	0
0	0
0	0
11	0
0	0
5384	0
0	0
0	0
2	0
1040	2
0	0
9	0
0	0
15	0
2314	0
0	0
0	0
153	0
0	0
0	0
120	0
81	0
11	0
14	0
306	0
33	0
2	0
913	6
6	0
0	0
4	0
91	0
0	0
9	0
27	0
0	0
0	0
30	0
0	0
9	0
1	0
0	0
0	0
0	0
1458	0
0	0
0	0
148	0
1997	0
0	0
0	0
197	0
9	0
2	0
1424	0
3	0
3	0
2283	0
438	0
0	0
1900	0
1033	3
29	0
169	0
0	0
0	0
7	0
1	0
732	0
0	0
1434	1
40	0
56	0
41	0
19	0
69	0
681	0
49	0
0	0
0	0
3	0
1537	0
47	0
5	0
25	0
293	0
412	0
0	0
788	0
23	0
0	0
0	0
9	0
1	0
0	0
1729	0
4	0
3	0
0	0
0	0
1738	0
204	0
283	5
0	0
36	0
0	0
10	0
2174	0
0	0
2	0
44	0
1482	0
16	0
10	0
263	0
2082	0
774	0
1841	3
180	4
6	0
7	0
57	0
6	0
2453	0
92	1
11	0
0	0
0	0
10	0
16	0
78	2
4967	11
535	0
0	0
0	0
341	0
0	0
0	0
458	0
12	0
0	0
4	0
0	0
711	0
107	1
0	0
1348	0
52	0
0	0
233	0
3679	0
0	0
85	0
0	0
0	0
279	0
13	0
3857	0
13	0
1	0
1	0
0	0
3	0
3504	0
1	0
127	0
5	0
7	0
7	0
4	0
4	0
2723	0
0	0
1	0
2	0
0	0
51	1
20	0
0	0
0	0
0	0
58	0
6	0
0	0
41	0
0	0
0	0
142	0
15	0
179	0
213	0
1065	0
11	0
3	0
578	0
0	0
0	0
0	0
292	0
1	0
80	0
100	2
52	0
69	0
0	0
634	0
16	0
2341	0
0	0
32	0
0	0
2	0
98	0
70	0
0	0
7	0
681	0
176	0
1	0
756	0
133	0
2801	7
5	0
1	0
3	0
0	0
0	0
0	0
0	0
25	0
0	0
20	0
12	0
3	0
618	1
11	0
4778	0
1302	0
453	0
31	2
0	0
870	2
119	5
0	0
0	0
2021	0
302	0
0	0
0	0
4266	0
9	0
0	0
13519	0
28	0
0	0
0	0
21	0
0	0
0	0
0	0
388	0
0	0
16	0
0	0
2986	0
0	0
566	0
3082	0
3	0
0	0
12	0
45	0
65	0
21	0
927	8
1	0
54	0
51	0
1322	0
7	0
29	0
9	0
11	0
4	0
0	0
52	0
145	0
7	0
0	0
0	0
2811	0
0	0
0	0
0	0
456	0
0	0
42	2
235	0
86	0
777	0
0	0
64	0
1	0
0	0
804	0
0	0
1189	14
45	0
309	0
0	0
99	0
0	0
1	0
3	0
1252	0
14371	0
0	0
0	0
1376	0
2897	0
487	0
34	0
7	0
0	0
0	0
612	4
343	0
11	0
835	0
0	0
32	0
272	1
0	0
154	0
60	0
134	0
0	0
12	0
0	0
0	0
118	0
2736	16
876	1
54	0
1871	0
5	0
0	0
63	0
0	0
1287	0
1621	0
0	0
2031	0
22	0
20	0
0	0
0	0
47	0
10	0
160	0
5	0
0	0
0	0
0	0
2	0
9	0
22	0
2984	0
0	0
47	0
30	0
98	0
0	0
386	0
0	0
6	0
1064	0
0	0
0	0
6	0
0	0
0	0
1972	0
2	0
1756	0
0	0
17	0
0	0
13	0
0	0
2	0
49	1
8	0
1006	4
2	0
5	0
5	0
442	0
1	0
41	0
0	0
0	0
38	0
35	0
0	0
12	1
260	0
0	0
12	0
0	0
10558	0
571	0
54390	1
0	0
0	0
4491	0
3	0
0	0
4468	0
9	0
13	0
901	0
2108	0
0	0
14	0
15	0
0	0
1897	0
2675	0
568	1
1	2
0	0
949	0
9	4
408	0
0	0
21	0
0	0
1677	0
237	6
0	0
0	0
10	0
33	0
6496	0
110	4
993	0
796	0
413	0
0	0
0	0
0	0
0	0
0	0
8	0
607	0
22	0
1466	0
4547	0
0	0
0	0
0	0
9	0
652	8
2343	0
444	0
767	0
0	0
2196	1
0	0
0	0
0	0
16	0
443	0
0	0
7	0
0	0
18	0
16	0
63	1
441	1
111	0
2	0
3	0
12	0
0	0
0	0
0	0
82	0
0	0
1079	0
486	0
296	0
0	0
31	0
1139	0
1	0
0	0
0	0
2481	3
12	0
320	0
0	0
1225	3
0	0
0	0
245	0
3	0
0	0
1	0
756	0
1	0
1130	0
650	0
13	0
0	0
93	0
27	0
38	0
317	0
3481	0
0	0
75	0
2064	0
5	0
1211	0
0	0
0	0
6	0
254	0
1108	0
18	0
13	0
322	3
8	0
667	0
3078	0
951	0
171	2
37	0
992	0
446	0
17	0
0	0
0	0
458	0
47	0
0	0
163	0
320	0
0	0
77	0
37	0
0	0
303	0
0	0
1066	0
21	0
1511	0
0	0
0	0
0	0
0	0
2679	1
355	0
29	0
27	0
8134	0
1651	0
160	0
2414	0
179	0
55	0
0	0
13	0
8	0
36	0
918	0
0	0
0	0
0	0
0	0
306	0
22	0
0	0
4249	0
0	0
3	0
1083	7
0	0
759	0
2	0
2	0
0	0
0	0
67	2
475	0
0	0
9466	80
42	0
0	0
0	0
4887	3
0	0
0	0
1879	0
0	0
68	0
31	0
0	0
844	0
7	0
0	0
337	0
45	0
295	5
25	0
11	0
0	0
0	0
88	0
0	0
1329	0
433	0
98	0
0	0
785	0
0	0
2	0
0	0
17	0
153	3
11	0
115	0
0	0
29	0
0	0
25	0
0	0
3	0
5	0
32	0
0	0
0	0
13	0
4	0
0	0
0	0
4823	26
4	0
0	0
0	0
195	0
0	0
1	0
60	1
0	0
0	0
130	1
0	0
0	0
2	0
35	0
0	0
32	0
0	0
86	0
0	0
1182	0
5437	0
14	0
4	0
1475	0
0	0
178	0
489	0
51	0
6	0
2	0
0	0
0	0
4989	0
23	0
23	0
3	0
0	0
23	0
1089	0
37	0
18	0
746	0
73	0
58	0
0	0
6	0
0	0
0	0
13	0
698	0
12	0
1	0
135	0
217	0
12	0
483	2
5702	52
1942	18
131	0
1534	0
301	0
401	0
0	0
24	0
0	0
719	0
0	0
1110	0
1	0
15	0
25	0
1	0
0	0
14	2
0	0
9	0
0	0
0	0
2747	0
0	0
3	0
0	0
11220	1
31	0
149	0
1314	0
0	0
25	0
5	0
6	0
1112	0
66	0
0	0
7	0
0	0
0	0
0	0
72	0
18	0
3444	0
571	0
3044	0
0	0
0	0
4689	0
0	0
33	0
8	0
95	0
0	0
3	0
0	0
2	0
0	0
373	0
528	0
152	0
93	0
2	0
11	0
2	0
1452	0
0	0
451	0
48	28
1769	0
218	0
1017	0
40	0
35	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
68	0
0	0
668	0
2	0
3814	0
7	0
0	0
170836	2
0	0
0	0
18	0
22	0
2584	2
924	0
16	0
960	0
13	1
2063	2
726	1
56	0
0	0
5066	0
256	4
282	4
8	0
75	0
14	0
193	0
0	0
2027	0
5	0
822	0
856	0
60	2
0	0
1	0
0	0
5	0
794	0
97	0
5	0
650	0
0	0
14	0
2	0
47	0
14	0
0	0
336	0
279	0
0	0
398	0
3	0
8	0
10	0
271	0
9	0
0	0
91	0
1943	0
0	0
1	0
23	0
292	0
339	0
12	0
5570	38
5175	0
2389	0
0	0
1275	4
14	0
2	0
84	8
0	0
987	0
0	0
528	0
2754	0
0	0
750	0
12	0
3	0
2910	0
0	0
0	0
56	0
0	0
23	2
0	0
5	0
0	0
0	0
1681	0
491	0
457	0
0	0
1488	0
0	0
26	0
0	0
286	0
0	0
1194	0
394	0
144	0
2465	0
132	0
630	0
931	0
0	0
2846	22
2	0
0	0
2	0
287	0
0	0
0	0
274	2
11740	0
12	0
0	0
0	0
796	0
0	0
7	0
0	0
0	0
2988	1
4	0
0	0
33	0
3	0
0	0
0	0
210	0
602	0
45857	0
258	0
111	0
0	0
2313	0
1172	0
0	0
372	0
19	0
346	0
26	0
4119	0
7	0
7290	0
55	0
0	0
1	0
5	0
0	0
0	0
125	2
0	0
17	0
0	0
7747	0
0	0
0	0
0	0
12	0
2169	0
0	0
1276	0
0	0
189	0
8	0
1650	0
0	0
29	0
1407	0
0	0
158	0
0	0
695	0
2	0
2	0
0	0
184	0
1263	1
0	0
0	0
1	0
0	0
740	0
2540	0
0	0
0	0
460	0
0	0
15	2
0	0
6	0
133	0
38	0
14	0
0	0
0	0
0	0
0	0
0	0
1900	0
0	0
3	0
0	0
77	0
0	0
1971	0
48	0
0	0
0	0
0	0
0	0
45	0
655	0
0	0
0	0
246	2
5	0
1338	0
34	0
0	0
0	0
1163	0
4	0
0	0
0	0
0	0
3	0
146	0
345	0
0	0
516	0
0	0
0	0
202	0
28	0
32	0
1383	0
234	0
0	0
28	0
2178	0
0	0
0	0
0	0
1219	0
56	1
13993	0
0	0
2961	0
25	0
2737	0
375	1
0	0
2526	0
26	0
2	0
0	0
4	0
2620	0
1519	0
0	0
0	0
65	5
84	0
0	0
0	0
2301	0
0	0
400	0
1880	0
0	0
0	0
68	0
0	0
0	0
536	0
0	0
282	0
9836	0
4	0
0	0
1733	0
34	4
28	0
203	0
0	0
18	0
1880	0
0	0
2	0
0	0
825	0
2	0
13	0
773	0
0	0
22	0
3	0
215	0
1262	0
11	0
0	0
25	0
68	0
234	0
84	1
0	0
3	0
1416	0
0	0
133	2
6	0
226	0
508	0
30	3
1396	43
5	0
0	0
6172	1
11	0
244	0
58	0
2	0
0	0
297	0
589	0
409	0
502	0
0	0
23	0
2420	0
2	0
0	0
0	0
1827	0
529	0
2148	3
4	1
20	0
4	0
396	0
0	0
3999	0
289	0
1939	0
1640	0
32	0
50	0
2773	0
6	0
31	0
0	0
0	0
1	0
60	0
61	0
0	0
0	0
883	0
0	0
0	0
0	0
0	0
11	0
5	0
301	0
0	0
0	0
0	0
29	0
0	0
9	0
0	0
0	0
379	0
2306	1
1616	0
181	0
21	0
0	0
1038	2
0	0
1194	0
11	0
663	4
0	0
39	0
940	0
902	0
34728	2506
0	0
4	0
1816	0
264	0
0	0
202	0
0	0
0	0
0	0
0	0
3	0
2	0
0	0
27	0
2	0
964	0
9466	0
0	0
4	0
13406	0
0	0
2606	0
12	0
2	0
23	0
63	0
562	0
1867	0
0	0
241	0
