UniqueCount	AmbigCount
1070	43
0	0
1009	0
0	0
0	0
3	4
0	0
419	68
50	0
12	0
28	0
10	0
931	0
0	0
6	0
507	0
8	0
0	0
58	0
84	0
463	0
4	0
18	0
63	0
2	0
1717	0
144	0
6	0
70	0
23	0
0	0
15	0
2	0
1011	0
0	0
393	0
0	0
21	0
1700	0
6	1
5	0
81	0
473	0
12	0
145	0
1695	0
1	0
18	0
125	0
0	0
7	0
49	1
15	0
450	0
1230	0
422	0
0	0
534	0
24	0
591	0
6	0
1482	0
43	0
0	0
0	0
323	0
0	0
3239	0
15	0
12	0
506	0
10	0
18	0
499	0
3741	0
17	0
136	0
12	0
6	0
26	0
670	0
0	0
0	0
1	0
343	0
133	0
20	0
6148	120
38	120
10	0
1695	0
1	0
7	0
33	0
0	0
0	0
96	0
105	0
3454	3
8	0
678	0
199	0
1126	0
574	0
48	0
0	0
1298	0
0	0
6	0
778	0
971	0
0	0
3051	15
426	1
1404	6
69	0
0	0
1046	0
0	0
0	0
32	0
2959	0
40	0
1134	0
39	0
7506	0
1580	0
346	0
7	0
10843	0
96	0
25520	6
6	0
763	5
934	0
4	0
1355	0
963	0
22	0
319	0
884	0
72	0
6	0
771	0
2840	0
0	0
3	0
12	0
8	0
308	0
22	0
64	0
1152	0
5	0
0	0
0	0
24	0
58	0
4	0
35	0
571	0
3	0
34	0
0	0
6	0
1	0
1348	0
886	0
398	0
12	1
9	0
77	0
17	0
30	0
0	0
85	0
140	1
0	0
0	0
90	0
2124	0
1683	0
0	0
21	0
1027	0
43	0
96	0
111	0
0	0
67	0
9	0
1576	0
398	0
0	0
2	0
441	0
1664	0
0	0
318	0
3	0
1214	0
4	0
142	0
1126	0
1	0
9	0
0	0
661	0
1022	0
0	0
7	0
0	0
65	0
35	0
770	0
14	0
6	0
0	0
1645	0
1280	0
2	0
0	0
10	3
333	0
12	0
8	0
2	0
11	0
1250	0
0	0
668	0
3	0
7	0
0	0
62	0
109	3
12	0
1	0
53	0
737	0
34	0
341	0
0	0
375	0
0	0
17	0
66	0
952	2
10	0
0	0
449	0
0	0
476	0
305	2
0	0
444	0
6	0
107	0
1	0
20	0
0	0
392	0
5	0
0	0
2	0
195	0
1	0
1	0
19	0
61	1
102	0
2	0
0	0
7	0
109	0
392	0
60	0
7	0
621	0
11	0
1358	0
0	0
4	0
877	0
4455	0
0	0
6	0
0	0
0	0
33	0
7	0
38	0
25	0
7	0
3151	0
11	0
5	0
1532	0
3698	0
32	0
3	0
67	0
391	0
41	0
44	0
0	0
37	0
12	0
0	0
0	0
0	0
1105	0
78	7
29	0
0	0
17	0
580	0
52	0
1899	0
15	0
46	0
160	0
4	0
11	0
650	0
13	0
13	0
223	0
238	0
1201	0
37	0
151	0
31	0
126	0
0	0
1318	0
19	0
27	0
1020	0
652	0
18	0
0	0
1725	0
87	0
85	0
574	0
697	1
0	0
1	0
41	0
1	0
0	0
282	0
1444	0
0	0
16	0
483	0
3	0
0	0
17	0
4369	0
0	0
0	0
16	0
3666	225
316	0
28	0
12	0
556	0
23	0
6	0
0	0
10	0
0	0
4	0
72	2
2	0
1302	0
0	0
565	0
173	0
54	0
0	0
5	0
24	0
1845	1
0	0
122	0
26	0
310	0
6	0
816	5
20	0
135	0
84	0
96	0
12	0
15	0
0	0
0	0
47	0
0	0
1	0
0	0
3459	0
269	3
0	0
9	0
207	0
235	0
22	0
1	0
17	0
44	0
44	0
641	0
1908	6
150	0
17	0
82	0
20	0
572	5
23	0
6	0
6	0
49	0
2110	0
27	0
5	0
0	0
3	0
33	0
1452	0
0	0
1	0
28	0
1376	0
16	0
164	0
0	0
2	0
199	0
7	0
751	0
3	0
112	0
8	0
104	0
0	0
3	0
0	0
25	0
0	0
48	0
596	0
7	0
1780	0
107	0
35	0
2382	0
1932	0
16	0
15	0
53	0
0	0
579	0
6	0
78	0
974	646
1	0
0	0
9	0
16	0
17	0
1	0
934	0
0	0
1498	0
672	0
3	0
2	0
2	0
51	0
31	0
208	0
0	0
6	0
763	0
0	0
53	0
70	0
2357	0
9	0
1855	17
0	0
0	0
256	0
0	0
256	0
2064	67
489	67
27	0
0	0
3066	0
49	0
1939	0
572	0
27	0
25	0
254	0
92	0
450	0
1	0
3	0
725	0
0	0
749	0
476	0
0	0
0	0
244	0
251	0
83	0
132	0
1923	0
17	0
106	3
12	0
190	0
1	0
12	0
24	0
13	0
15	0
1461	0
30	0
5467	0
0	0
22	0
0	0
47	0
2	0
566	0
1335	0
13	0
96	0
14	0
1	0
38	0
32	0
1	0
28	0
8	0
2	0
0	0
0	0
0	0
44	0
447	0
189	0
1588	19
144	19
46	1
65	0
348	0
0	0
0	0
822	0
6	0
518	0
344	0
18	0
284	0
0	0
0	0
531	0
32	0
8	0
444	0
0	0
1218	0
8	0
277	0
3	0
112	0
714	0
4316	1
324	0
12	0
4	0
3	0
586	0
2	0
7609	0
1077	0
370	4
207	0
0	0
10	0
29	1
5416	3
68	0
2	0
412	0
290	0
0	0
1738	0
1391	0
0	0
1494	0
2078	0
189	0
859	0
7	0
27	0
3	0
0	0
3	0
10	0
619	0
93	0
9	0
2	0
24	0
2	0
6	0
382	0
19	0
5	0
0	0
33	0
1	0
19	0
2185	0
55	0
1	0
15	0
1	0
17	0
0	0
218	24
774	0
35	4
95	9
5205	0
0	0
55	5
262	0
202	0
0	0
31	0
58	3
0	0
39	0
131	0
2	0
0	0
1303	0
107	0
0	0
0	0
16	0
11991	430
34	0
12	0
44	0
36	0
4	0
0	0
688	0
29	0
0	0
0	0
965	0
1	0
3	0
1200	0
0	0
0	0
18	0
2842	0
653	0
168	1
31	0
442	0
9	0
0	0
105	0
0	0
1	0
871	0
24	0
4057	64
107	64
0	0
0	0
2124	0
807	0
179	0
585	0
14	0
243	0
1204	0
3	0
11	0
504	0
0	0
1	0
419	0
0	0
0	0
664	0
101	0
0	0
369	0
802	0
5	0
462	0
19	0
5	0
251	0
16	2
456	0
0	0
0	0
170	0
14	0
0	0
4	0
827	0
6	0
679	0
64	2
149	0
1306	0
38	0
78	0
570	0
189	0
3	0
0	0
738	0
17	0
1	0
10	0
380	0
917	0
2321	0
3	0
0	0
7557	0
0	0
0	0
0	0
0	0
2391	1
10	0
1379	0
2	6
3	0
44	0
628	2
33	0
198	0
0	0
6623	0
981	2
1847	0
40	0
1666	0
20	0
670	0
8	0
3	0
326	0
230	0
241	0
220	0
3	0
0	0
2	0
12	0
1054	0
404	0
1399	0
160	0
5	0
833	0
137	0
0	0
0	0
132	0
317	0
273	0
181	0
8	0
191	0
134	4
139	0
0	0
5	0
460	0
15	0
4439	0
5	0
250	0
11203	0
0	0
0	0
2763	0
277	3
2997	0
0	0
8	0
410	0
422	0
134	0
191	0
103	0
112	0
9	0
253	0
62	0
142	3
13	0
16	0
2649	0
1	0
243	6
14	0
7	0
263	0
249	0
32	0
507	0
2	0
2882	0
21	0
3	0
13	0
0	0
631	0
1108	0
494	1
642	1
17	0
64	0
372	8
606	0
1072	0
17	0
2185	2
1244	8
182	2
4017	0
3	0
2	0
23	0
1765	0
18	0
10	0
5	0
576	0
765	0
0	0
0	0
29412	0
1431	1
326	0
573	0
4110	0
550	0
18530	0
23	0
4	0
18	0
978	0
274	0
287	1
6	0
504	0
69	0
87	0
38	0
6	0
399	0
0	0
0	0
3	0
14	6
25	0
6143	0
402	0
35	0
2404	0
3	0
5	0
406	0
231	0
25	0
61	0
453	0
817	0
392	0
5052	1
1695	0
1640	110
811	3
1857	0
11	0
21	0
8	0
120	0
1	0
151	1
311	8
0	0
3374	0
8	0
673	0
0	0
1131	0
0	0
13	0
59	0
193	0
11	0
325	0
1707	0
834	0
2556	1
2013	0
32	0
185	0
0	0
11	0
1069	0
45	0
1011	0
326	0
0	0
18	0
23	0
243	0
265	0
41	0
680	0
45	6
1902	0
298	1
3407	0
486	0
780	0
179	15
67	0
0	0
170	0
1657	0
0	0
356	0
23	0
861	0
8	0
500	0
17	0
0	0
0	0
68	0
419	0
0	0
6	0
0	0
49	0
31	0
2	0
4	0
921	0
2	0
0	0
1	0
7715	0
3078	0
42	0
2	0
775	0
1	0
321	0
15	0
772	0
15	0
272	0
13	0
399	0
1	0
1234	6
906	0
1247	0
483	11
178	0
0	0
18	0
533	0
5	0
3852	10
9	0
4609	6
10	0
239	0
15	0
6	0
364	0
26	0
58	0
5	0
17	0
663	0
729	0
430	0
1201	0
0	0
0	0
785	0
1	0
11	0
303	0
0	0
272	8
195	8
0	0
0	0
159	0
460	0
36	0
413	0
1059	0
2485	0
257	1
2	0
12	0
518	0
440	0
4403	0
20	0
1173	0
0	0
249	0
14	0
884	4
4	0
0	0
694	0
2	0
10	0
193	0
8	0
26	0
107	0
7	0
28	0
12	0
0	0
0	0
425	0
0	0
20	0
244	0
433	0
609	0
5000	0
7	0
912	0
5	0
2498	0
15	0
186	0
2436	0
163	2
132	0
664	0
0	0
2629	0
6659	0
1	0
27	0
2466	0
772	0
171	0
2	0
30	0
16	0
0	0
627	0
9	0
320	2
17	0
989	0
3086	0
411	0
7	0
0	0
1374	0
1	0
12	0
303	4
139	0
0	0
0	0
371	0
597	0
2336	3
388	0
2765	0
8467	0
41	0
4	3
29	0
0	0
17	0
1	0
2	0
129	0
668	0
9050	0
1	0
792	1
967	7
0	0
1794	0
26	0
420	0
269	0
71	0
15	0
0	0
25	0
86	0
419	0
0	0
3	0
51	0
0	0
5549	0
981	0
607	0
17	0
1201	0
6	0
25	0
79	0
8	0
10	0
60	0
26	0
0	0
497	0
23	0
0	0
0	0
32	0
7	0
686	0
387	0
157	0
307	0
392	0
0	0
434	0
6	0
0	0
983	0
22	0
34	0
33	0
46	0
49	0
101	0
8	0
23	0
0	0
133	0
75	0
1	0
60	1
1001	0
1929	0
20	0
47	0
0	0
6877	0
1997	0
196	0
0	0
1013	0
0	0
0	0
0	0
1703	0
648	0
538	0
1	0
7	0
625	0
521	0
3	0
0	0
10492	0
91	0
3	0
6	0
2	0
1270	0
18	0
0	0
2294	0
0	0
19	0
6	0
6	2
70	0
24	0
71	0
164	0
164	0
94	0
51	0
1532	0
2	0
12779	0
45	0
132	0
1105	0
102	0
388	0
10	0
1	0
570	0
2	0
2	0
127	0
3163	0
1405	0
0	0
0	0
0	0
10	2
106	0
7	0
159	4
4448	0
13	0
30	0
0	0
19306	0
17	0
3751	0
14	0
91	0
0	0
2384	0
1539	0
0	0
0	0
19	0
21	0
13	0
11828	0
567	0
270	0
10	0
11	0
1270	0
582	0
16	0
0	0
44	0
24	0
15	0
0	0
12637	0
1	0
17	0
16	0
863	0
5	0
433	0
2	0
50	0
473	0
10	0
1648	0
2335	0
0	0
217	0
28	0
2242	0
1	0
1	0
890	0
8	0
19	0
32	0
4	0
0	0
3	1
1	0
48	0
0	0
2	0
5	0
5	0
5	0
357	0
0	0
6896	40
1711	17
1	0
4223	123
533	0
38	0
8	0
21	0
18	0
239	0
10	0
0	0
3	0
945	0
0	0
646	0
7	0
36	0
553	0
2096	0
3372	0
0	0
54	0
375	0
0	0
959	0
65	0
4	0
8	0
1	0
2	0
276	0
130	0
7	0
81	0
5	0
562	0
242	0
67	0
0	0
4512	1
347	1
227	0
0	0
17	0
2697	0
1357	0
0	0
3377	0
2400	0
0	0
0	0
201	0
56	0
2	0
319	1
261	0
258	0
73	0
0	0
2635	0
553	0
378	0
37	0
0	0
27	0
1883	0
7	0
241	22
679	0
0	0
113	0
17	0
2	0
9	0
13	0
3	0
6362	0
4	0
8648	0
813	0
4	0
46	0
774	0
1515	0
35	0
883	0
11	0
8	0
2950	0
1974	1
86	0
4	0
3	0
143	0
2	0
1576	3
12	0
0	0
3	0
1	0
0	0
0	0
0	0
530	0
3	0
20	0
1876	0
14	0
5	0
0	0
29	0
0	0
20	0
16	0
0	0
0	0
10438	0
18	0
0	0
2103	0
12	0
0	0
0	0
111	0
3	0
26	0
391	0
3749	2
0	0
1186	0
20	0
23	0
9	0
65	0
5	0
0	0
24	261
0	0
0	0
8319	0
0	0
12	0
81	0
0	0
6	0
105	0
57	0
0	0
643	0
156	0
2639	0
1740	0
10	0
28	0
13	0
124	0
976	0
4526	0
16	0
1696	0
1470	0
980	0
123	0
549	0
24	0
380	0
301	0
0	0
3	0
1235	0
237	0
1	0
1203	0
111	0
5	0
2603	0
1707	0
846	0
25	0
79	0
6375	0
165	5
9	0
18	0
2992	0
0	0
9	0
26	2
97	0
928	0
1	0
82	0
298	0
439	0
288	3
2	3
18	0
0	0
0	0
7	0
408	0
5	0
2	0
107	0
2700	0
30	0
2391	0
163	0
0	0
697	0
1	0
1497	0
402	0
4	0
12	0
35	0
0	0
0	0
390	33
21	0
191	0
286	0
63	0
0	0
169	0
49	0
132	0
317	0
2	0
0	0
223	0
35	0
302	0
58	0
85	0
1356	0
67	0
106	0
173	5
0	0
31	0
569	0
225	0
79	0
149	0
142	0
4	0
78	0
324	0
70	3
2	0
15	0
0	0
488	0
703	0
90	0
3303	3
52	0
65	0
17698	0
247	0
1184	0
3	0
538	0
2	0
0	0
538	0
32373	0
6	0
1231	0
787	0
2239	0
0	0
483	0
79	0
6301	0
88	0
34	0
463	0
35	0
4803	0
3	0
21	0
529	0
1293	0
93	0
0	0
67	0
5	0
0	0
339	0
95	0
644	0
0	0
2666	0
0	0
7	0
2	0
322	0
0	0
30	0
9	0
289	0
443	1
1299	0
44	0
0	0
0	0
137	0
199	0
0	0
35	0
7	0
3011	0
1	0
73	0
5	0
470	0
0	0
2087	0
1231	0
0	0
87	1
0	0
12	1
3052	0
492	101
10	0
13	0
5	0
1962	0
1239	0
287	0
0	0
1152	0
655	0
317	0
313	0
59	0
12	0
682	45
57	0
14	0
2510	0
0	0
135	0
2	0
145	2
7	0
696	0
11	0
8	0
14	0
297	0
137	0
269	0
630	0
58	0
44	0
9	0
0	0
75	2
0	0
494	112
0	0
189	2
30	0
189	0
451	1
1548	0
15	0
880	1
374	0
471	0
364	0
44	0
380	0
5	0
478	0
104	0
1	0
36	0
687	0
117	0
87	0
4	0
398	0
137	0
0	0
1023	0
61	0
390	6
85	0
129	0
28	0
231	0
2	0
10	0
130	0
0	0
0	0
296	2
1140	0
4	0
514	0
8	0
2105	0
42	0
45	1
5	0
0	0
11	0
249	0
121	0
150	0
591	0
0	0
769	0
103	0
0	0
1340	0
4	0
1013	1
0	0
35	0
56	2
1361	0
355	1
298	1
418	1
65	0
70	0
82	1
6	0
17	0
620	0
2	0
3	0
12	0
0	0
60	2
3113	0
755	0
4726	0
2	0
16	0
53	0
0	0
360	0
424	0
299	0
1	0
13	0
0	0
0	0
346	0
5	0
234	0
28	0
23	0
15	0
812	0
1193	0
0	0
3080	0
16	0
0	0
0	0
59	0
6	0
70	0
34	0
243	0
16	0
25	0
0	0
7277	0
668	0
0	0
1681	0
32	0
0	0
1295	13
9	0
3	0
486	0
18	0
263	1
629	0
17	0
11	0
7	0
78	0
177	1
2744	3
247	0
431	17
819	13
483	1
364	2
1961	2
236	0
0	0
247	0
0	0
0	0
4	0
4	0
18	0
63	0
1666	5
276	0
1333	0
5	0
9	0
147	4
1767	13
407	0
108	0
21	0
1982	0
0	0
2	0
