UniqueCount	AmbigCount
2272	318
0	0
619	0
0	0
0	0
4	6
1	0
571	91
245	0
6	0
2	0
137	0
333	0
2	0
18	0
232	0
229	0
0	0
120	0
51	0
846	0
28	0
12	0
11	0
2	0
1280	0
94	0
1	0
26	0
25	0
0	0
16	0
32	0
552	0
0	0
123	0
0	0
11	0
918	0
36	0
26	0
66	0
189	0
3	0
152	0
771	0
1	0
32	0
26	0
5	0
1	0
331	0
5	0
135	0
583	0
161	0
2	0
349	0
9	0
302	0
10	0
809	0
72	0
0	0
0	0
193	0
0	0
2467	0
0	0
31	0
140	0
21	0
20	0
320	0
1730	0
103	0
47	0
6	0
126	0
24	1
381	0
0	0
0	0
1	0
283	0
42	0
38	0
2684	40
19	40
58	0
917	0
3	0
22	0
95	0
0	0
56	1
145	0
128	0
3400	3
2	0
444	0
372	1
741	0
281	0
20	0
9	1
952	0
0	0
75	0
473	0
254	0
0	0
1539	4
160	0
832	2
218	0
0	0
737	0
77	0
0	0
25	0
1903	0
20	0
1878	0
108	0
4290	0
730	0
151	0
1	0
4327	0
116	0
15165	3
5	0
345	0
263	0
3	0
582	0
317	0
58	0
103	0
396	0
210	0
56	0
245	0
1805	0
0	0
6	0
0	0
13	0
176	0
2	0
149	0
1050	0
21	0
15	0
1	0
13	0
67	0
11	0
37	0
620	10
3	0
3	0
0	0
18	0
0	0
762	0
234	0
158	0
1	0
4	0
63	0
43	0
5	0
0	0
20	0
81	0
13	1
0	0
103	0
1976	0
1417	0
0	0
20	0
548	2
66	0
162	0
151	0
0	0
38	0
20	0
1436	0
424	0
0	3
11	0
176	0
1583	0
0	0
304	0
14	0
618	0
7	0
170	0
378	0
50	0
9	0
3	0
274	0
263	0
0	0
0	0
0	0
34	0
52	0
488	0
64	0
9	0
0	0
340	0
714	0
8	1
0	0
10	0
172	0
116	1
1	0
9	0
16	0
1090	0
0	0
261	0
5	0
0	0
0	0
113	0
23	2
27	0
4	0
175	0
601	0
12	0
116	0
0	0
130	0
3	0
1	0
302	0
571	7
34	0
0	0
139	2
0	0
565	0
235	0
1	0
198	0
10	0
69	0
8	0
3	0
2	0
260	0
11	0
0	0
15	0
74	0
0	0
0	0
5	0
31	0
254	2
14	0
34	0
12	0
125	0
188	0
27	0
12	0
510	0
6	0
477	0
0	0
10	0
383	0
1623	0
0	0
0	0
1	0
0	0
15	0
18	0
0	0
30	0
27	0
3440	0
23	0
5	0
1748	0
2392	0
45	0
0	0
122	0
663	5
42	0
34	0
16	0
16	0
117	0
0	0
0	0
0	0
534	0
272	9
111	0
23	0
12	0
500	0
142	1
924	0
32	0
28	0
138	0
0	0
1	0
426	0
13	0
0	0
162	0
140	0
694	0
0	0
346	0
15	0
493	0
0	0
557	0
23	0
76	0
596	0
387	0
62	0
0	0
1792	0
65	0
47	0
548	1
1013	2
0	0
21	0
49	0
0	0
0	0
158	0
489	0
2	0
9	3
202	0
12	0
14	0
55	0
2413	0
0	0
0	0
0	0
8142	146
132	0
76	0
91	0
457	0
73	0
12	0
6	0
59	0
0	0
0	0
57	0
0	0
781	0
2	0
161	0
297	0
106	0
0	0
5	0
24	0
1279	4
12	0
73	0
40	0
73	0
0	0
338	6
6	0
65	0
167	0
103	0
7	0
10	0
0	0
0	0
173	0
0	1
4	0
0	0
6199	0
138	0
0	0
9	0
175	0
407	0
1	0
6	0
8	0
33	0
127	0
362	0
1884	3
0	0
28	0
47	0
19	0
245	0
9	0
1	0
33	0
18	0
1673	0
5	0
2	0
17	0
4	0
47	0
501	0
0	0
13	0
33	0
906	0
58	0
162	0
10	0
6	0
247	0
26	0
531	0
9	0
171	0
6	0
185	1
0	0
0	0
0	0
5	0
0	0
20	0
176	0
3	0
866	0
201	0
33	2
1304	0
1356	0
4	0
3	0
0	0
0	0
245	0
4	0
136	0
566	330
12	0
6	0
6	0
32	0
36	0
39	0
720	0
0	0
751	0
669	0
3	0
1	0
0	0
150	0
11	0
272	0
0	0
3	0
426	0
0	0
357	0
157	0
1122	0
42	0
2965	52
0	0
0	0
350	0
0	0
221	0
1291	29
230	29
58	0
0	0
2344	0
26	0
1430	0
234	0
5	0
14	0
67	0
16	0
436	0
1	0
11	0
439	0
1	0
277	0
309	0
0	0
0	0
139	0
138	0
0	0
127	0
1403	0
19	0
37	3
137	0
143	0
0	0
6	1
2	0
7	0
6	0
1150	0
49	0
2736	0
2	0
51	0
0	0
17	0
3	0
298	0
878	0
0	0
23	0
0	0
0	0
58	0
78	0
15	0
16	0
11	0
19	0
0	0
0	0
0	0
67	0
442	0
54	1
1330	2
100	2
47	6
42	0
213	0
0	0
3	0
229	0
33	0
295	0
186	0
11	0
246	0
0	0
0	0
348	0
133	0
14	0
317	0
1	0
598	0
2	0
148	0
8	0
209	0
362	0
7651	4
435	0
6	0
7	0
59	0
252	0
14	0
7261	0
715	1
362	0
161	0
0	0
12	0
16	0
3361	1
28	0
0	0
120	0
155	0
0	0
715	0
943	0
0	0
809	0
1166	3
467	0
430	0
34	0
29	0
0	0
5	0
10	0
0	0
446	0
58	0
0	0
12	0
7	0
2	0
16	0
212	0
27	0
10	0
0	0
79	0
13	0
35	0
637	0
29	0
0	0
0	0
0	0
2	0
0	0
87	3
710	0
17	4
47	2
4341	0
0	0
17	0
107	0
0	0
0	0
69	0
0	0
0	0
4	0
97	0
0	0
0	0
841	0
42	0
0	0
0	0
5	0
6395	242
56	0
6	0
126	0
5	0
50	0
16	0
254	0
70	0
0	0
0	0
613	0
5	0
0	0
585	0
0	0
0	0
130	0
2080	0
301	0
153	0
7	0
267	0
32	0
0	0
139	0
0	0
0	0
583	0
2	0
1857	27
65	27
0	0
0	0
1088	0
721	0
77	0
390	0
9	0
887	2
550	0
2	0
1	0
384	1
3	0
0	0
391	0
0	0
0	0
388	0
71	0
2	0
161	0
2191	4
33	0
723	1
180	0
11	0
89	0
11	0
139	0
14	0
0	0
101	0
25	0
9	0
9	0
561	0
0	0
338	0
43	0
57	0
590	0
5	0
21	0
477	0
320	0
10	0
0	0
685	0
34	0
0	0
28	0
889	0
368	0
1587	0
59	0
0	0
9092	1
0	0
0	0
0	0
0	0
944	4
76	0
528	0
8	0
3	0
17	0
418	0
101	0
119	0
0	0
2311	0
510	0
806	0
26	0
786	0
17	0
372	0
0	0
20	0
268	0
59	0
90	0
144	0
0	0
0	0
29	0
21	0
284	0
225	0
847	0
117	0
0	0
474	0
125	0
3	0
0	0
44	0
172	0
107	0
46	0
0	0
342	0
234	7
84	0
0	0
50	0
194	0
31	0
4307	0
0	0
201	0
6597	0
18	0
0	0
1670	0
310	0
1924	0
0	0
2	1
174	0
440	0
349	0
158	0
96	0
136	0
8	0
227	0
85	0
162	5
27	0
10	0
919	0
2	1
507	10
89	0
2	0
146	0
356	0
24	0
360	0
8	0
1866	0
7	0
4	0
10	0
4	0
332	0
574	0
294	0
427	0
18	0
138	1
202	7
447	0
253	0
0	0
1235	3
552	1
78	9
9752	0
6	0
8	0
8	0
760	0
7	0
3	0
44	2
350	0
415	0
0	0
0	0
16213	0
833	0
250	0
735	1
2841	0
419	0
11703	0
52	0
40	0
21	0
637	0
122	0
149	0
50	0
288	0
76	0
10	0
56	0
8	0
122	0
0	0
0	0
1	0
18	0
0	0
3286	0
254	0
13	0
1393	0
2	0
0	0
158	0
180	0
46	0
90	0
242	0
197	0
194	0
6729	4
712	0
1008	95
609	5
753	0
7	0
13	0
4	0
173	0
4	0
43	0
115	1
0	0
588	0
1	0
279	0
0	0
805	0
0	0
2	0
253	0
167	0
8	0
202	0
1285	1
254	0
2098	0
1144	0
47	0
96	0
0	0
0	0
404	0
0	0
477	0
371	0
0	0
4	0
1	0
240	0
467	0
23	5
721	0
6	4
3527	0
199	1
2346	0
271	0
340	0
23	0
213	0
0	0
84	0
1050	0
0	0
211	0
15	0
1135	0
61	0
264	0
48	0
0	0
0	0
32	0
219	0
0	0
79	0
23	0
47	0
384	0
46	0
0	0
692	0
0	0
0	0
3	0
2386	0
1982	0
30	0
20	0
375	0
4	0
138	0
6	0
459	0
21	0
114	7
21	3
110	0
8	0
755	5
511	0
390	0
308	7
33	0
0	0
2	1
223	0
12	0
4239	6
1	0
2330	3
3	0
164	0
4	0
19	0
214	0
11	0
113	0
1	0
41	0
220	0
261	0
222	0
746	0
0	0
8	0
550	0
1	0
11	0
198	0
0	0
274	11
200	11
0	0
0	0
30	0
223	0
0	0
190	0
1044	0
2208	0
124	1
0	0
35	0
637	0
239	0
3088	0
2	0
826	0
3	0
58	0
34	0
822	2
25	0
0	0
301	0
0	0
203	0
255	0
16	0
3	0
39	0
2	0
12	0
30	0
0	0
0	0
374	0
13	0
10	0
159	0
222	0
377	0
1476	0
12	0
375	0
8	0
1856	0
82	0
100	0
1295	0
76	0
140	0
276	0
0	0
585	4
4713	0
6	0
4	0
1936	0
357	0
370	0
2	0
4	0
0	0
0	0
368	0
31	0
125	0
14	0
759	0
1865	0
213	0
5	0
8	0
1040	0
0	0
4	0
86	0
169	0
0	0
0	0
313	0
149	0
2135	3
370	0
1630	0
3248	0
50	0
3	0
13	0
0	0
21	0
9	0
15	0
113	0
348	0
5169	0
2	0
140	2
1161	3
2	0
975	0
8	0
222	0
132	0
79	0
14	0
37	0
3	0
148	0
183	0
0	0
26	0
299	0
0	0
6460	0
813	0
290	0
0	0
651	0
22	0
10	0
115	0
16	5
1	0
40	0
12	0
2	0
323	0
27	0
5	0
0	0
11	0
16	2
505	0
255	0
68	1
2050	0
141	0
38	0
163	0
0	0
0	0
652	0
0	0
54	0
17	0
168	0
87	0
55	2
13	0
7	0
4	0
85	0
71	0
0	0
27	0
1955	0
909	0
1	0
17	0
0	0
3669	0
1177	0
114	0
0	0
506	0
47	0
0	0
0	0
681	0
330	0
258	0
3	0
78	0
354	0
596	0
0	0
0	0
4021	0
219	0
48	0
26	0
18	0
994	0
55	0
1	0
1435	0
0	0
9	0
5	0
6	0
181	0
35	0
115	0
100	3
112	2
66	0
33	0
1046	0
0	0
6206	0
23	0
213	0
406	0
101	0
176	0
14	0
7	0
136	0
4	0
2	0
127	0
1975	0
688	0
1	0
0	0
0	0
0	0
61	0
10	0
140	4
2844	0
58	0
28	0
4	0
8849	0
17	0
1919	0
5	0
30	0
0	0
1585	0
1677	0
0	0
1	0
27	0
13	0
20	0
4657	0
250	0
242	0
19	0
14	0
762	0
568	0
7	0
0	0
37	0
50	0
9	0
0	0
2951	0
0	0
21	0
9	0
414	0
25	0
263	0
4	0
105	0
231	0
1	0
705	0
1201	0
0	0
399	0
46	0
1756	4
0	0
3	0
634	0
0	0
54	0
39	0
0	0
7	0
12	0
37	0
54	0
3	0
11	0
0	0
13	0
3	0
333	0
0	0
6228	47
980	21
3	0
3198	98
207	0
12	0
7	0
12	0
7	0
346	0
5	0
0	0
1	0
346	0
12	0
398	0
0	0
1	0
313	0
1419	2
1942	0
19	0
86	0
441	0
4	0
918	0
93	0
2	0
42	0
1	0
1	0
476	0
90	0
7	0
16	0
11	0
392	0
536	0
88	0
0	0
1970	0
229	1
83	0
0	0
8	0
1408	0
1672	0
50	0
1467	0
1062	0
0	0
0	0
301	0
3	0
24	1
344	4
270	1
110	0
33	0
0	0
1669	0
471	0
633	0
505	0
0	0
118	0
975	0
2	0
146	8
499	0
0	0
64	0
30	0
1	0
33	0
3	0
0	0
8122	0
4	0
5593	0
399	0
3	0
193	0
308	0
948	0
70	0
749	0
15	0
0	0
1092	0
963	1
234	0
3	0
1	0
18	0
3	0
949	1
8	0
0	0
3	0
2	0
0	0
0	0
0	0
146	0
8	0
0	0
965	0
27	0
30	0
0	0
19	0
0	0
95	0
68	0
15	0
0	0
8430	0
35	0
9	0
2412	0
1	0
0	0
3	0
54	0
57	0
10	0
251	0
3092	0
0	0
647	0
15	0
30	0
8	0
336	2
10	0
1	0
74	305
4	0
0	0
16	0
0	0
37	0
3	0
4	0
3	0
151	0
19	0
5	0
918	0
43	0
1879	0
1011	0
12	0
15	0
6	0
76	0
387	0
2307	0
29	0
1296	0
536	0
506	0
299	0
436	0
68	0
238	0
102	0
4	0
1	0
649	0
128	1
10	1
766	0
200	0
