UniqueCount	AmbigCount
1911500	652242
9	9
1369	0
26	24
19	2
821	124
73	10
182675	27598
12	0
9	0
83	0
14	0
472	0
0	0
12	0
2497	0
1	0
0	0
40	1
84	0
386	0
18	0
0	0
89	0
0	0
1756	0
88	0
0	0
15	0
9	0
0	0
9	0
17	0
680	0
16	0
396	0
0	0
0	0
1146	0
65	0
0	0
3	0
517	0
41	0
1055	0
1575	0
1	0
25	0
78	1
5	0
0	0
27	0
35	0
40	0
764	0
418	0
0	0
364	0
0	0
448	0
0	0
1139	0
13	0
0	0
0	0
241	0
0	0
164	0
0	0
0	0
135	0
0	0
18	0
388	0
3699	0
6	0
28	0
15	0
0	0
34	0
446	0
0	0
0	0
0	0
394	0
184	0
0	0
9267	130
20	130
10	0
988	0
16	0
0	0
0	0
0	0
0	0
238	0
480	0
1850	0
38	0
492	0
180	0
776	0
1214	0
18	0
0	0
331	0
0	0
17	0
782	0
556	0
0	0
2239	0
110	0
1602	7
20	0
0	0
786	0
0	0
0	0
39	0
3534	0
7	0
178	0
38	0
3933	0
1327	0
481	0
23	0
4650	0
30	0
16657	2
10	0
504	4
900	0
28	0
1949	0
146	0
35	0
57	0
449	0
13	0
0	0
288	0
10524	0
0	0
0	0
17	0
0	0
264	0
8	0
0	0
2402	0
0	0
0	0
12	0
34	0
36	0
0	0
1	0
1013	1
36	0
61	0
0	0
12	0
0	0
1828	0
1034	0
360	0
29	0
0	0
202	0
6	0
9	0
0	0
256	1
198	1
7	0
17	0
79	0
1433	0
417	0
67	0
0	0
760	0
37	0
178	0
6	0
0	0
0	0
13	0
3674	0
906	1
3	0
0	0
135	0
1259	0
16	0
763	0
19	0
497	0
0	0
47	0
679	0
0	0
0	0
0	0
589	0
356	0
0	0
16	0
0	0
30	0
17	0
610	0
0	0
0	0
0	0
451	0
1548	0
26	0
0	0
0	0
300	0
0	0
0	0
23	0
0	0
1080	0
47	0
513	0
0	0
12	0
0	0
23	0
43	1
0	0
0	0
0	0
330	0
0	0
263	0
0	0
320	0
15	0
1	0
0	0
502	0
25	0
0	0
435	0
0	0
545	0
310	0
0	0
204	0
15	0
15	0
13	0
0	0
0	0
523	0
1	0
0	0
0	0
80	0
30	0
0	0
83	0
29	0
45	1
0	0
0	0
10	0
47	0
249	0
0	0
2	2
654	0
0	0
1328	0
0	0
0	0
456	0
2633	0
0	0
