UniqueCount	AmbigCount
841803	37423
30	8
823	0
17	3
13	3
1301	1201
85	14
320131	55386
35	0
0	0
318	0
1	0
527	0
4	0
2	0
1294	0
0	0
0	0
49	0
54	0
21	0
2	0
8	0
59	0
4	0
1469	0
131	0
5	0
2	1
0	0
0	0
0	0
3	0
884	0
0	0
294	0
0	0
0	0
1048	0
4	0
12	0
10	0
877	0
0	0
875	0
1316	2
0	0
5	0
0	0
11	0
9	0
81	0
13	0
9	0
765	0
218	0
1	0
207	0
9	0
565	0
7	0
711	0
12	0
0	0
0	0
244	0
0	0
220	0
0	0
8	0
10	0
10	0
0	0
306	0
2258	0
15	0
28	0
13	0
5	0
48	2
169	0
0	0
0	0
0	0
345	0
160	0
3	0
7899	155
12	155
18	0
839	0
0	0
2	0
0	0
0	0
43	0
248	0
21	0
571	6
0	0
465	0
270	0
453	0
799	0
5	0
0	0
99	0
0	0
12	0
335	0
282	0
0	0
1500	0
193	0
1902	6
22	0
0	0
673	0
0	0
0	0
16	0
1086	0
0	0
503	0
27	0
4813	0
949	0
431	0
0	0
984	0
10	0
10574	3
5	0
308	5
709	0
2	0
3514	0
31	0
26	0
56	0
401	0
46	0
33	0
203	0
9901	0
0	0
0	0
9	0
0	0
196	0
5	0
24	0
1167	0
10	0
0	0
1	0
0	0
30	0
9	0
19	0
444	0
0	0
4	0
24	0
29	0
4	0
1876	0
386	0
188	0
14	0
9	0
76	0
10	0
46	0
0	0
59	0
83	0
1	0
1	0
19	0
656	0
385	0
0	0
0	0
477	0
36	0
23	0
16	0
0	0
21	0
19	0
3917	0
962	9
0	0
0	0
145	0
876	0
0	0
521	0
1	0
479	0
0	0
64	0
542	0
12	0
0	0
0	0
411	0
120	0
0	0
2	0
0	0
24	0
0	0
522	0
13	0
18	0
5	0
305	0
925	0
30	2
0	0
5	0
409	0
8	0
1	0
0	0
2	0
864	0
0	0
626	0
0	0
10	0
0	0
10	0
8	0
0	0
0	0
53	0
125	0
0	0
189	0
0	0
215	0
0	0
0	0
84	0
239	0
21	0
0	0
152	0
0	0
367	0
473	0
0	0
55	0
5	0
60	0
0	0
0	0
0	0
402	0
0	0
1	0
6	0
66	0
1	0
1	0
0	0
10	0
64	0
0	0
13	0
0	0
8	0
220	0
3	0
23	0
354	0
0	0
631	1
0	0
0	0
440	0
2551	0
0	0
19	0
4	0
4	0
14	0
13	0
0	0
17	0
12	0
81	0
4	0
2	0
405	0
1541	0
17	0
8	0
0	0
135	0
9	0
31	0
0	0
1	0
23	0
0	0
0	0
0	0
730	0
20	0
22	0
0	0
6	0
430	0
36	0
563	0
0	0
4	0
26	1
4	0
0	0
628	0
0	0
6	0
132	0
58	0
1132	0
44	0
87	0
7	0
203	0
0	0
478	0
6	0
10	0
1092	0
447	0
0	0
0	0
1542	0
6	0
3	0
329	0
414	0
0	0
0	0
14	0
17	0
0	0
245	0
1059	0
17	0
0	0
130	0
10	0
0	0
0	0
849	0
2	0
2	4
2	0
5454	151
253	0
5	0
34	0
469	0
3	0
0	0
0	0
5	0
0	0
0	0
34	0
0	0
1335	0
0	0
499	0
23	0
36	0
0	0
0	0
0	0
1186	1
0	0
45	0
19	0
153	0
0	0
618	4
9	0
22	0
7	0
3	0
0	0
1	0
0	0
0	0
19	0
0	0
3	0
0	0
1640	0
313	6
0	0
21	0
107	0
75	0
6	0
0	0
0	0
27	0
0	0
568	0
1053	4
0	0
0	0
14	0
0	0
173	2
54	0
12	0
1	1
8	0
535	0
7	0
0	0
17	0
7	0
5	0
665	0
0	0
0	0
13	0
1603	0
12	0
308	0
0	0
0	0
174	0
3	0
234	0
0	0
15	0
0	0
131	0
0	0
5	0
0	0
13	0
0	0
29	0
142	0
12	0
1100	0
14	0
7	0
1262	0
526	0
15	0
2	0
14	0
0	0
244	0
0	0
68	0
52	40
4	0
2	0
6	0
15	0
11	0
7	0
1853	0
0	0
1070	0
8063	0
0	0
0	0
0	0
24	0
4	0
152	0
1	0
0	0
833	0
0	0
27	0
21	0
1221	0
8	0
63	0
0	0
0	0
376	0
0	0
59	0
1272	35
129	35
21	0
0	0
2379	0
0	0
824	0
360	0
2	0
13	0
63	0
2	0
21	0
0	0
0	0
261	0
3	0
540	0
512	0
0	0
0	0
206	0
446	0
7	0
9	0
2549	0
14	0
403	0
1	0
369	0
0	0
1	0
0	0
0	0
0	0
4697	0
0	0
1929	0
0	0
6	0
0	0
0	0
0	0
589	0
368	0
0	0
90	0
0	0
14	0
4	0
0	0
1	0
5	0
2	0
12	1
0	0
0	0
0	0
18	0
737	0
185	0
1843	11
52	11
74	15
108	0
205	0
0	0
0	0
731	0
17	0
102	0
496	0
0	0
104	0
0	0
0	0
361	0
13	0
0	0
280	0
0	0
536	0
4	0
35	0
3	0
14	0
524	0
3417	0
269	0
0	0
0	0
4	0
1389	0
12	0
2851	0
619	1
17	0
159	0
0	0
8	0
2	0
9196	3
34	0
0	0
137	0
194	0
0	0
738	0
665	0
0	0
1719	0
937	0
140	0
664	0
6	0
1	0
0	0
0	0
1	0
8	0
1730	0
9	0
78	0
1	0
1	0
0	0
1	0
199	0
2	0
4	0
0	0
13	0
0	0
15	0
481	0
35	0
7	0
1	0
0	0
3	0
0	0
82	3
889	0
10	1
29	0
2702	0
0	0
24	0
127	0
0	0
0	0
12	0
4	0
7	0
6	0
244	0
0	0
6	0
1022	0
25	0
0	0
0	0
3	0
18586	576
21	0
3	0
27	0
2	0
0	0
0	0
84	0
0	0
0	0
0	0
748	0
0	0
2	0
442	0
0	0
0	0
19	0
1448	0
311	0
644	0
3	0
79	0
11	0
0	0
3	0
0	0
3	0
5	0
0	0
2362	21
60	21
0	0
0	0
2229	0
56	0
52	0
256	0
0	0
205	0
421	0
3	0
1	0
574	1
17	0
0	0
71	0
0	0
0	0
318	0
11	0
143	2
99	0
253	4
10	0
130	0
41	0
0	0
154	0
1	0
186	0
1	0
0	0
134	0
2	0
0	0
4	0
524	0
0	0
591	0
115	4
77	0
548	0
36	0
11	0
403	0
787	0
0	0
0	0
1507	0
12	0
10	0
0	0
66	0
515	0
462	0
0	0
0	0
2791	1
0	0
0	0
0	0
0	0
1122	1
16	0
2260	1
0	3
0	0
2	0
1188	0
24	0
50	0
0	0
2991	0
856	7
11061	0
2	0
510	0
14	0
216	0
0	0
0	0
276	0
111	0
4	0
198	0
0	0
56	0
0	0
12	0
198	0
99	0
85	0
43	0
0	0
454	0
35	0
0	0
0	0
7	0
137	0
124	2
168	0
6	0
210	0
16	0
192	0
15	0
0	0
322	0
3	0
5589	0
0	0
24	0
12965	0
6	0
0	0
1627	0
98	0
5282	2
0	0
3	0
700	0
79	0
136	0
131	0
65	0
87	0
0	0
91	0
25	0
28	0
5	0
0	0
648	0
0	0
46	0
17	0
0	0
185	0
63	0
0	0
229	0
0	0
3595	0
3	0
4	0
0	0
0	0
21	0
671	0
49	0
201	0
6	0
30	0
72	1
693	0
359	0
1	0
1579	0
102	0
0	0
14418	0
0	0
5	0
11	0
2497	0
7	0
0	0
9	0
657	0
919	0
0	0
0	0
35935	0
232	0
325	0
619	0
1132	0
294	0
1576	0
6	0
2	0
1	0
1247	0
70	0
211	0
10	0
311	0
327	0
0	0
6	0
3	0
42	0
0	0
0	0
0	0
19	0
0	0
2360	0
34	0
1	0
1321	1
14	0
23	0
364	0
39	0
0	0
32	0
171	0
70	0
107	0
451	0
651	0
671	53
2324	15
1534	0
0	0
8	0
1	0
7	0
0	0
48	0
282	1
0	0
330	0
3	0
361	0
0	0
557	0
2	0
12	0
39	0
124	0
6	0
83	0
1148	0
92	0
1478	0
975	0
4	0
20	0
0	0
0	0
489	0
189	2
715	0
112	0
2	0
1	0
0	0
80	0
455	0
24	1
17	0
80	11
5757	0
259	2
6253	0
484	0
510	0
42099	860
19	0
2	0
66	0
2246	0
0	0
71	0
2	0
1459	0
