UniqueCount	AmbigCount
91673	9560
4	0
2458	0
12	1
3	23
313	282
19	1
28620	6374
52	0
0	0
7	0
24	0
455	0
1	0
8	0
2450	0
44	0
0	0
25	0
60	0
98	0
1	0
9	0
0	0
0	0
2602	0
82	0
0	0
2	1
3	0
0	0
0	0
1	0
536	0
33	0
169	0
0	0
13	0
1120	0
107	1
5	0
57	0
488	0
9	0
95	0
687	4
5	0
35	0
5	0
6	0
0	0
45	0
3	0
14	0
674	0
258	0
5	0
442	0
31	0
824	0
16	0
523	0
18	0
0	0
0	0
109	0
0	0
320	0
13	0
5	0
48	0
7	0
1	0
335	0
7055	0
11	0
33	0
2	0
24	0
7	0
269	0
0	0
0	0
0	0
209	0
412	0
4	0
9090	147
18	147
5	0
1227	0
0	0
0	0
0	0
0	0
334	0
148	0
452	0
1730	0
38	0
421	0
79	0
669	0
673	0
8	0
0	0
99	0
0	0
32	0
380	0
309	0
0	0
2250	4
228	0
13801	22
43	1
0	0
1078	0
12	0
0	0
21	0
2349	0
19	0
1351	0
24	0
5785	0
1661	0
890	0
0	0
1770	0
150	0
16528	12
9	0
248	2
190	0
29	2
210	0
286	0
17	0
52	0
143	0
52	0
14	0
257	0
13767	0
0	0
0	0
5	0
4	0
280	0
2	0
42	0
1054	0
1	0
4	0
0	0
3	0
32	0
3	0
3	0
491	3
0	0
10	0
0	0
4	0
10	0
1083	0
82	0
156	0
12	0
0	0
1	0
10	0
2	0
0	0
486	1
176	9
5	0
0	0
39	0
1350	0
100	0
0	0
9	0
253	0
22	0
33	0
64	0
0	0
53	0
14	0
2965	0
2047	0
12	0
0	0
52	0
1257	0
0	0
480	0
4	0
857	0
6	0
76	0
759	0
38	0
5	0
0	0
271	0
70	0
0	0
4	0
0	0
14	0
10	0
541	0
21	0
22	0
1	0
245	0
771	0
6	0
0	0
5	0
1042	0
7	0
2	0
0	0
13	0
1315	0
0	0
1173	0
2	0
0	0
0	0
50	0
22	0
4	0
3	0
58	0
153	0
0	0
153	0
0	0
165	0
0	0
4	1
52	0
360	0
32	0
0	0
169	0
0	0
347	0
406	0
12	0
64	0
3	0
51	0
0	0
12	0
0	0
764	0
3	0
0	0
6	0
58	0
4	0
0	0
12	0
33	0
58	0
0	0
12	0
3	0
19	0
216	0
38	0
7	0
1544	0
0	0
2140	0
0	0
3	0
334	0
2341	3
1	0
0	0
4	0
0	0
25	0
12	0
18	4
27	0
7	0
503	0
5	0
0	0
653	0
2295	0
11	0
15	0
23	0
203	0
33	0
5	0
4	0
13	0
8	0
0	0
0	0
0	0
853	0
41	0
21	0
3	0
5	0
400	0
51	0
1217	0
9	0
12	0
46	0
0	0
1	0
308	0
1	0
23	0
310	0
91	0
786	0
54	0
106	0
36	2
267	0
0	0
463	0
7	0
8	0
1170	0
374	4
5	0
0	0
2908	0
3	0
0	0
432	0
1452	1
0	0
55	0
6	0
26	0
0	0
142	0
1784	0
0	0
12	0
326	0
5	0
11	0
6	0
1631	0
0	0
0	0
0	0
11974	430
1738	0
11	0
13	0
486	0
0	0
13	0
0	0
3	0
0	0
0	0
145	0
9	0
1138	0
1	0
424	0
36	0
27	0
0	0
2	0
7	0
1618	4
3	0
18	0
9	0
226	0
0	0
1047	1
25	0
71	0
26	0
6	0
0	0
11	0
0	0
0	0
10	0
0	0
0	0
0	0
4970	0
222	6
0	0
38	0
145	0
140	0
26	0
0	0
9	0
8	0
10	0
456	0
442	0
254	0
2	0
15	0
31	0
499	4
44	0
3	0
0	0
24	0
192	0
2	0
0	0
3	0
0	0
4	0
1427	0
0	0
0	0
5	0
4221	0
6	0
171	0
7	0
1	0
279	0
9	0
167	0
5	0
25	0
12	0
191	0
4	0
0	0
0	0
8	0
0	0
39	0
111	0
4	0
994	0
17	0
14	2
1569	0
1303	0
77	0
290	0
26	0
4	0
70	0
8	0
177	0
359	337
4	0
3	0
2	0
62	0
7	0
4	0
2864	0
0	0
1498	0
2711	0
0	0
2	0
3	0
22	0
26	0
93	0
1	0
0	0
541	0
0	0
35	0
67	0
2657	0
1	0
292	17
0	0
0	0
211	0
0	0
191	0
2515	69
349	69
17	0
0	0
1473	0
0	0
1495	0
1002	0
29	0
9	0
320	0
1	0
31	0
0	0
2	0
368	0
16	0
782	0
211	0
0	0
0	0
370	0
851	0
19	0
55	0
1387	0
17	0
32	0
0	0
186	0
0	0
5	0
7	0
9	0
3	0
5904	0
4	0
1393	0
2	0
10	0
0	0
288	0
2	0
415	0
170	0
0	0
28	0
9	0
0	0
4	1
4	0
0	0
19	0
0	0
1	0
0	0
0	0
0	0
7	0
1654	0
261	0
1200	54
195	54
66	6
16	0
207	0
0	0
0	0
403	0
7	0
201	0
904	0
8	0
159	0
0	0
0	0
500	0
9	0
0	0
276	0
0	0
530	0
0	1
61	0
2	0
50	0
497	0
10832	2
1509	1
1	0
0	0
6	0
1666	0
9	0
10549	0
717	0
6	2
67	0
0	0
5	0
2	0
10566	0
28	0
0	0
74	0
583	0
0	0
1320	0
1113	0
0	0
1104	0
1836	6
480	0
969	0
0	0
9	0
0	0
8	0
5	0
3	0
1780	0
40	0
0	0
0	0
1	0
0	0
10	0
65	0
14	0
19	0
1	0
16	0
113	0
20	0
265	0
30	0
17	0
6	0
1	0
0	0
0	0
3	0
718	0
0	1
89	9
1889	0
0	0
52	0
80	0
0	0
0	0
12	0
0	0
0	0
1	0
127	0
2	0
0	0
1338	0
27	1
0	0
0	0
0	0
9401	251
10	0
0	0
22	0
20	0
4	0
0	0
3	0
13	0
0	0
0	0
1199	0
0	0
1	0
1201	0
0	0
0	0
24	0
1054	0
357	0
2155	2
9	0
27	0
8	0
0	0
140	0
0	0
0	0
6	0
0	0
4341	35
113	35
0	0
0	0
1992	0
93	0
45	0
498	0
13	0
582	0
807	0
8	0
2	0
356	0
20	0
0	0
137	0
0	0
0	0
719	0
11	0
156	3
27	0
689	4
2	0
171	0
73	0
5	0
335	0
6	7
192	0
2	0
0	0
78	0
9	0
0	0
3	0
1305	0
0	0
435	0
232	8
77	0
1378	0
2	0
119	0
304	0
119	0
6	0
0	0
756	0
2	0
0	0
15	0
167	0
175	0
922	0
5	0
0	0
7338	0
0	0
0	0
0	0
0	0
1042	0
22	0
1848	0
1	0
31	0
6	0
403	1
8	0
144	0
0	0
1522	0
2163	0
34756	0
52	0
1158	0
13	0
322	0
0	0
0	0
143	0
170	0
0	0
257	0
0	0
115	0
0	0
23	0
357	0
260	0
81	0
35	0
0	0
985	0
228	0
0	0
0	0
0	0
118	0
198	4
97	0
3	0
221	0
37	5
4133	0
0	0
23	0
213	0
11	0
7159	0
0	0
162	0
9826	0
13	0
0	0
5780	0
308	1
5328	6
0	0
4	0
2318	0
385	0
185	0
134	0
57	0
196	0
3	0
69	0
22	0
10	0
15	2
2	0
321	0
0	0
424	14
10	0
0	0
331	0
3	0
20	0
109	0
0	0
13604	0
3	0
0	0
3	0
7	0
9	0
650	0
122	3
85	0
5	0
30	0
256	7
190	0
46	0
8	0
5326	0
369	0
22	7
15673	0
0	0
2	0
11	0
10572	0
3	0
6	0
14	0
489	0
917	0
0	0
0	0
28128	0
172	0
178	0
671	0
382	0
69	0
5782	0
9	0
2	0
0	0
2260	0
12	0
328	12
8	0
138	0
58	0
3	0
1	0
2	0
17	0
0	0
0	0
260	0
56	0
0	0
4438	0
92	0
4	0
1817	0
1	0
0	0
253	0
19	0
11	0
31	0
161	0
144	0
29	0
5851	3
592	0
912	120
1663	12
3300	1
0	0
12	0
0	0
5	0
0	0
14	0
243	10
0	0
1006	0
9	0
823	3
0	0
528	0
0	0
7	0
36	0
75	0
4	0
54	0
1713	0
72	0
3019	0
685	0
16	0
49	0
0	0
2	0
838	0
374	13
791	0
140	0
1	0
1	0
0	0
71	0
1108	0
13	0
34	0
32	3
9337	0
103	0
13405	0
408	1
267	0
5	35
36	0
0	0
193	0
1257	0
0	0
152	0
11	0
609	0
9	0
80	0
66	0
0	0
0	0
33	0
7213	0
0	0
22	0
0	0
2	0
45	0
13	0
0	0
1048	0
0	0
0	0
0	0
1236	0
148	0
3	0
2	0
487	0
0	0
119	0
34	0
826	0
5	0
6529	157
76	0
336	0
34	0
1987	11
1033	0
645	0
4	0
17	0
0	0
1	0
392	0
16	0
35662	167
8	0
5452	7
10	0
213	0
8	0
