UniqueCount	AmbigCount
613	98
0	0
2127	0
5	0
0	0
0	0
0	1
39	3
21	0
39	0
15	0
8	0
977	0
0	0
21	0
1094	0
68	0
0	0
4	0
98	0
179	0
0	0
33	0
17	0
1	0
2051	0
118	0
1	0
51	0
12	0
0	0
14	0
0	0
1518	0
109	0
487	0
0	0
22	0
2200	0
40	0
13	0
37	0
607	0
67	0
267	0
1576	3
0	0
69	0
189	3
7	0
0	0
13	0
33	0
213	0
1590	0
531	0
5	0
934	0
17	0
988	0
2	0
2014	0
5	0
7	0
1	0
380	0
0	0
4331	0
12	0
7	0
282	0
14	0
6	0
899	0
5583	0
3	0
151	0
16	0
14	0
16	0
914	0
0	0
0	0
6	0
511	0
262	0
8	0
11278	237
21	236
1	0
1605	0
5	0
15	0
0	0
0	0
834	8
328	0
1208	0
1962	4
69	0
829	1
290	0
1191	0
988	0
15	0
0	0
1760	0
0	0
0	0
761	0
1525	0
0	0
3486	10
845	2
2933	4
20	0
0	0
2322	0
5	0
0	0
99	0
2879	0
54	0
501	0
11	0
6211	0
2087	1
541	0
0	0
11198	0
433	3
26336	7
16	0
427	1
1265	0
2	0
1982	0
712	0
53	0
332	0
889	0
13	0
9	0
708	0
4120	0
0	0
0	0
4	0
21	0
319	0
28	0
22	0
2102	0
0	0
0	0
0	0
9	0
30	0
6	0
29	0
879	2
1	0
15	0
0	0
8	0
20	2
2740	0
847	0
420	0
4	0
11	0
61	0
4	0
26	0
0	0
191	0
272	6
20	0
0	0
63	0
2713	0
1342	0
0	0
4	0
1668	3
4	0
139	0
73	0
0	0
10	0
4	0
2693	0
1827	0
0	0
2	0
297	0
2042	0
2	0
1173	0
4	0
1077	0
1	0
109	0
1291	0
0	0
0	0
0	0
974	0
862	0
0	0
0	0
0	0
53	0
23	0
1137	0
8	0
4	0
0	0
994	0
1722	0
3	1
0	0
7	0
542	0
10	0
2	0
0	0
9	0
1576	0
1	0
834	0
2	0
4	0
0	0
24	0
203	5
12	0
8	0
23	0
730	0
12	0
521	0
0	0
469	0
1	0
8	0
21	0
1156	3
20	0
0	0
759	0
0	0
608	0
618	0
0	0
655	0
0	0
35	0
0	0
34	0
0	0
497	0
0	0
0	0
2	0
131	0
0	0
0	0
10	0
48	0
27	0
4	0
0	0
14	0
33	0
469	0
88	0
17	0
1509	0
0	0
1781	0
0	0
1	0
865	0
4171	0
0	0
0	0
51	0
0	0
57	0
76	0
26	1
11	0
9	0
760	0
19	0
17	0
1023	0
5107	0
47	0
2	0
25	0
243	0
28	0
1	0
0	0
21	0
3	0
7	0
0	0
0	0
1489	0
128	1
15	0
0	0
5	0
1360	0
17	0
2484	0
4	0
39	0
179	0
