HOG,OG,Gene.Tree.Parent.Clade,cnat_ref_proteome,mcav_ref_proteome,ofav_ref_proteome,ofra_ref_proteome
N0.HOG0000000,OG0000000,n1,TRINITY_DN158869_c0_g1_i1.p1,TRINITY_DN100361_c0_g1_i1.p1,TRINITY_DN114144_c0_g1_i1.p1,TRINITY_DN251606_c0_g1_i1.p1
N0.HOG0000007,OG0000000,n47,TRINITY_DN14167_c0_g1_i10.p1,TRINITY_DN86_c5_g1_i9.p1,TRINITY_DN31670_c0_g1_i9.p1,TRINITY_DN70971_c0_g1_i4.p2
N0.HOG0000013,OG0000000,n77,TRINITY_DN41630_c0_g1_i5.p5,TRINITY_DN249099_c0_g1_i2.p3,TRINITY_DN41781_c0_g1_i5.p1,TRINITY_DN96036_c0_g1_i2.p1
N0.HOG0000051,OG0000000,n244,TRINITY_DN41630_c0_g1_i5.p9,TRINITY_DN112882_c0_g1_i1.p1,TRINITY_DN74967_c0_g1_i6.p1,TRINITY_DN73448_c0_g1_i1.p1
N0.HOG0000086,OG0000000,n401,TRINITY_DN64609_c0_g1_i3.p1,TRINITY_DN195099_c0_g1_i3.p1,TRINITY_DN9561_c3_g1_i3.p1,TRINITY_DN316513_c0_g1_i1.p1
N0.HOG0000128,OG0000000,n583,TRINITY_DN87664_c0_g1_i5.p1,TRINITY_DN11382_c0_g2_i4.p1,TRINITY_DN42744_c0_g1_i8.p2,TRINITY_DN86790_c0_g1_i4.p1
N0.HOG0000196,OG0000001,n253,TRINITY_DN56813_c0_g1_i1.p1,TRINITY_DN204393_c0_g1_i1.p1,TRINITY_DN55974_c0_g1_i3.p1,TRINITY_DN124163_c0_g1_i1.p1
N0.HOG0000204,OG0000001,n284,TRINITY_DN193997_c0_g1_i2.p1,TRINITY_DN169928_c0_g1_i2.p1,TRINITY_DN87385_c0_g1_i1.p1,TRINITY_DN226099_c0_g1_i1.p1
N0.HOG0000277,OG0000002,n131,TRINITY_DN720_c0_g1_i13.p1,TRINITY_DN27171_c0_g1_i5.p2,TRINITY_DN150803_c0_g1_i1.p2,TRINITY_DN231529_c0_g1_i2.p1
N0.HOG0000287,OG0000002,n172,TRINITY_DN21519_c1_g1_i3.p1,TRINITY_DN68883_c0_g1_i2.p1,TRINITY_DN5916_c0_g1_i9.p2,TRINITY_DN1307_c0_g1_i3.p1
N0.HOG0000324,OG0000002,n340,TRINITY_DN8915_c0_g1_i10.p1,TRINITY_DN42583_c0_g1_i7.p1,TRINITY_DN249293_c0_g1_i1.p1,TRINITY_DN110607_c0_g1_i1.p1
N0.HOG0000388,OG0000003,n139,TRINITY_DN168561_c0_g1_i4.p1,TRINITY_DN269481_c0_g1_i1.p1,TRINITY_DN94368_c0_g1_i6.p1,TRINITY_DN19128_c1_g1_i1.p1
N0.HOG0000482,OG0000004,n55,TRINITY_DN21477_c0_g1_i8.p1,TRINITY_DN56683_c0_g1_i3.p1,TRINITY_DN197250_c0_g1_i1.p1,TRINITY_DN13796_c0_g1_i1.p1
N0.HOG0000521,OG0000004,n239,TRINITY_DN28654_c2_g1_i1.p1,TRINITY_DN270412_c0_g1_i3.p1,TRINITY_DN272139_c0_g1_i1.p1,TRINITY_DN16271_c0_g1_i3.p2
N0.HOG0000588,OG0000005,n164,TRINITY_DN104031_c0_g1_i2.p1,TRINITY_DN21768_c1_g1_i2.p1,TRINITY_DN171466_c0_g1_i1.p1,TRINITY_DN108734_c0_g1_i2.p1
N0.HOG0000619,OG0000005,n296,TRINITY_DN89086_c0_g1_i3.p2,TRINITY_DN32423_c0_g1_i2.p1,TRINITY_DN81729_c0_g1_i3.p1,TRINITY_DN32003_c0_g1_i2.p1
N0.HOG0000622,OG0000005,n307,TRINITY_DN55462_c0_g1_i8.p1,TRINITY_DN71508_c0_g1_i1.p1,TRINITY_DN21552_c1_g1_i6.p1,TRINITY_DN23470_c0_g1_i4.p1
N0.HOG0000628,OG0000005,n342,TRINITY_DN76165_c0_g1_i4.p1,TRINITY_DN289618_c0_g1_i1.p1,TRINITY_DN210112_c0_g1_i3.p1,TRINITY_DN100057_c0_g1_i2.p1
N0.HOG0000633,OG0000005,n361,TRINITY_DN1481_c5_g1_i1.p1,TRINITY_DN148869_c0_g1_i1.p1,TRINITY_DN1949_c1_g1_i1.p1,TRINITY_DN6505_c0_g2_i2.p1
N0.HOG0000640,OG0000005,n408,TRINITY_DN1481_c2_g2_i3.p1,TRINITY_DN8091_c0_g1_i9.p1,TRINITY_DN18228_c0_g1_i4.p1,TRINITY_DN14770_c0_g1_i1.p1
N0.HOG0000752,OG0000008,n1,TRINITY_DN250577_c0_g1_i1.p1,TRINITY_DN64266_c0_g1_i1.p1,TRINITY_DN169403_c0_g1_i2.p1,TRINITY_DN214600_c0_g1_i1.p1
N0.HOG0000758,OG0000008,n26,TRINITY_DN49065_c0_g1_i1.p1,TRINITY_DN55414_c0_g1_i2.p1,TRINITY_DN17835_c0_g1_i1.p1,TRINITY_DN38127_c0_g1_i2.p1
N0.HOG0000760,OG0000008,n39,TRINITY_DN4075_c0_g3_i1.p1,TRINITY_DN41745_c0_g1_i11.p1,TRINITY_DN345127_c0_g1_i1.p1,TRINITY_DN1230_c0_g1_i10.p1
N0.HOG0000764,OG0000008,n62,TRINITY_DN49448_c0_g1_i12.p1,TRINITY_DN64414_c1_g1_i1.p1,TRINITY_DN132795_c0_g1_i1.p1,TRINITY_DN122754_c0_g1_i1.p1
N0.HOG0000779,OG0000008,n121,TRINITY_DN125240_c0_g1_i3.p1,TRINITY_DN24560_c1_g1_i3.p1,TRINITY_DN172021_c0_g1_i2.p1,TRINITY_DN107504_c0_g1_i2.p1
N0.HOG0000804,OG0000009,n72,TRINITY_DN115740_c0_g2_i1.p1,TRINITY_DN27577_c0_g1_i9.p1,TRINITY_DN16_c9_g1_i14.p1,TRINITY_DN5767_c0_g1_i1.p1
N0.HOG0000857,OG0000010,n67,TRINITY_DN30121_c1_g1_i2.p1,TRINITY_DN151762_c0_g1_i1.p1,TRINITY_DN214723_c0_g1_i2.p1,TRINITY_DN458142_c0_g1_i2.p1
N0.HOG0000871,OG0000010,n120,TRINITY_DN244723_c0_g1_i1.p1,TRINITY_DN169762_c0_g1_i1.p1,TRINITY_DN15046_c0_g1_i1.p1,TRINITY_DN27630_c1_g1_i3.p1
N0.HOG0000924,OG0000011,n126,TRINITY_DN314_c2_g1_i5.p1,TRINITY_DN3941_c0_g1_i7.p3,TRINITY_DN2633_c0_g1_i5.p1,TRINITY_DN681_c1_g1_i4.p1
N0.HOG0000931,OG0000011,n164,TRINITY_DN124383_c0_g1_i1.p1,TRINITY_DN148198_c0_g1_i4.p1,TRINITY_DN107866_c0_g1_i6.p1,TRINITY_DN35457_c0_g1_i3.p2
N0.HOG0000940,OG0000011,n202,TRINITY_DN58234_c0_g1_i4.p1,TRINITY_DN219_c4_g1_i2.p1,TRINITY_DN70409_c0_g1_i1.p1,TRINITY_DN1695_c1_g1_i6.p1
N0.HOG0000975,OG0000013,n26,TRINITY_DN139519_c0_g1_i10.p1,TRINITY_DN6950_c0_g1_i9.p1,TRINITY_DN23848_c0_g1_i23.p1,TRINITY_DN16363_c0_g1_i6.p1
N0.HOG0000976,OG0000013,n31,TRINITY_DN160_c1_g1_i4.p1,TRINITY_DN757_c0_g1_i8.p1,TRINITY_DN9103_c1_g1_i5.p1,TRINITY_DN177466_c0_g1_i1.p1
N0.HOG0000996,OG0000013,n118,TRINITY_DN107791_c0_g1_i1.p1,TRINITY_DN14176_c0_g1_i4.p1,TRINITY_DN160756_c0_g1_i1.p1,TRINITY_DN31363_c0_g1_i2.p1
N0.HOG0001049,OG0000014,n172,TRINITY_DN44887_c0_g1_i7.p1,TRINITY_DN66620_c0_g3_i1.p1,TRINITY_DN25274_c0_g1_i7.p1,TRINITY_DN11224_c0_g1_i1.p1
N0.HOG0001059,OG0000015,n1,TRINITY_DN91629_c0_g1_i14.p1,TRINITY_DN40633_c0_g1_i4.p1,TRINITY_DN153090_c0_g1_i3.p1,TRINITY_DN285800_c0_g1_i2.p1
N0.HOG0001225,OG0000019,n40,TRINITY_DN25193_c0_g2_i1.p1,TRINITY_DN35587_c0_g1_i5.p1,TRINITY_DN30747_c1_g1_i8.p2,TRINITY_DN28267_c0_g1_i6.p1
N0.HOG0001227,OG0000019,n49,TRINITY_DN3829_c0_g1_i3.p1,TRINITY_DN36646_c0_g1_i3.p1,TRINITY_DN86444_c0_g1_i7.p1,TRINITY_DN29602_c0_g1_i5.p1
N0.HOG0001236,OG0000019,n106,TRINITY_DN5773_c0_g1_i6.p1,TRINITY_DN4005_c0_g1_i1.p1,TRINITY_DN3694_c0_g1_i2.p1,TRINITY_DN10981_c0_g1_i4.p1
N0.HOG0001247,OG0000019,n145,TRINITY_DN80182_c0_g1_i3.p1,TRINITY_DN173180_c0_g1_i1.p1,TRINITY_DN126237_c0_g1_i2.p1,TRINITY_DN242690_c0_g1_i1.p1
N0.HOG0001258,OG0000020,n1,TRINITY_DN132335_c0_g1_i2.p1,TRINITY_DN208463_c0_g2_i1.p1,TRINITY_DN67725_c0_g1_i2.p1,TRINITY_DN59157_c0_g1_i9.p1
N0.HOG0001322,OG0000022,n24,TRINITY_DN112302_c0_g1_i1.p1,TRINITY_DN24735_c0_g1_i1.p1,TRINITY_DN6741_c0_g1_i5.p1,TRINITY_DN22624_c0_g1_i22.p1
N0.HOG0001388,OG0000024,n1,TRINITY_DN166557_c0_g1_i1.p1,TRINITY_DN9168_c0_g1_i6.p1,TRINITY_DN41020_c0_g1_i4.p1,TRINITY_DN355410_c0_g1_i1.p1
N0.HOG0001392,OG0000024,n14,TRINITY_DN119955_c0_g2_i3.p1,TRINITY_DN61679_c0_g1_i4.p1,TRINITY_DN72155_c0_g1_i4.p1,TRINITY_DN46157_c0_g1_i4.p1
N0.HOG0001401,OG0000024,n55,TRINITY_DN181687_c0_g1_i1.p1,TRINITY_DN247229_c0_g1_i2.p1,TRINITY_DN54080_c0_g1_i1.p1,TRINITY_DN295736_c0_g1_i1.p1
N0.HOG0001402,OG0000024,n60,TRINITY_DN61920_c0_g1_i3.p1,TRINITY_DN271115_c0_g1_i4.p1,TRINITY_DN169814_c0_g1_i4.p1,TRINITY_DN194894_c0_g1_i3.p1
N0.HOG0001420,OG0000024,n146,TRINITY_DN5399_c0_g1_i3.p1,TRINITY_DN3451_c0_g1_i3.p1,TRINITY_DN11705_c1_g1_i6.p1,TRINITY_DN12656_c0_g1_i6.p1
N0.HOG0001424,OG0000024,n161,TRINITY_DN9992_c0_g1_i6.p1,TRINITY_DN1781_c1_g2_i2.p1,TRINITY_DN8962_c0_g1_i8.p1,TRINITY_DN7389_c0_g1_i2.p1
N0.HOG0001425,OG0000024,n164,TRINITY_DN6789_c0_g1_i1.p1,TRINITY_DN1781_c0_g1_i7.p1,TRINITY_DN8127_c0_g1_i2.p1,TRINITY_DN3047_c0_g1_i2.p1
N0.HOG0001453,OG0000026,n7,TRINITY_DN136871_c0_g1_i4.p1,TRINITY_DN125876_c0_g1_i1.p1,TRINITY_DN51686_c1_g2_i3.p1,TRINITY_DN153017_c0_g1_i1.p1
N0.HOG0001467,OG0000026,n69,TRINITY_DN132404_c0_g1_i4.p1,TRINITY_DN106446_c0_g1_i2.p1,TRINITY_DN28780_c0_g1_i11.p1,TRINITY_DN49525_c0_g1_i2.p3
N0.HOG0001680,OG0000033,n1,TRINITY_DN309102_c0_g1_i2.p1,TRINITY_DN198509_c0_g2_i1.p1,TRINITY_DN504369_c0_g1_i1.p1,TRINITY_DN195030_c0_g1_i2.p1
N0.HOG0001713,OG0000034,n11,TRINITY_DN2589_c0_g1_i10.p1,TRINITY_DN147235_c1_g1_i6.p1,TRINITY_DN2993_c0_g3_i1.p1,TRINITY_DN4686_c0_g2_i2.p1
N0.HOG0001719,OG0000034,n28,TRINITY_DN18644_c0_g1_i3.p1,TRINITY_DN24158_c0_g1_i3.p1,TRINITY_DN21520_c0_g1_i1.p1,TRINITY_DN2744_c0_g2_i3.p1
N0.HOG0001743,OG0000035,n1,TRINITY_DN25286_c0_g1_i4.p1,TRINITY_DN46064_c0_g1_i8.p1,TRINITY_DN12892_c0_g1_i3.p1,TRINITY_DN17468_c0_g1_i3.p1
N0.HOG0001744,OG0000035,n5,TRINITY_DN25731_c0_g1_i20.p1,TRINITY_DN44002_c0_g1_i2.p1,TRINITY_DN229323_c0_g1_i3.p1,TRINITY_DN26313_c0_g1_i4.p1
N0.HOG0001747,OG0000035,n19,TRINITY_DN44794_c0_g1_i2.p1,TRINITY_DN268148_c0_g1_i4.p1,TRINITY_DN273241_c0_g1_i1.p1,TRINITY_DN160398_c0_g1_i5.p1
N0.HOG0001774,OG0000036,n1,TRINITY_DN145661_c0_g2_i1.p1,TRINITY_DN34687_c0_g1_i2.p1,TRINITY_DN6871_c2_g1_i1.p1,TRINITY_DN483247_c0_g1_i1.p1
N0.HOG0001784,OG0000036,n51,TRINITY_DN101737_c0_g1_i3.p1,TRINITY_DN315954_c0_g1_i1.p1,TRINITY_DN339230_c0_g1_i1.p1,TRINITY_DN208333_c0_g1_i1.p1
N0.HOG0001808,OG0000037,n34,TRINITY_DN3002_c1_g1_i1.p1,TRINITY_DN164420_c0_g1_i4.p1,TRINITY_DN302953_c0_g1_i3.p1,TRINITY_DN273156_c0_g1_i1.p1
