ortho	Gene Ontology IDs
N0.HOG0009151	GO:0005737;GO:0005829;GO:0006513;GO:0006888;GO:0014029;GO:0014032;GO:0016055;GO:0030127;GO:0030134;GO:0031463;GO:0034451;GO:0042802;GO:0043161;GO:0043231;GO:0048208;GO:1990756
N0.HOG0029263	GO:0001768;GO:0001772;GO:0001843;GO:0001921;GO:0002093;GO:0003382;GO:0005654;GO:0005737;GO:0005829;GO:0005886;GO:0005911;GO:0005912;GO:0008104;GO:0008283;GO:0010634;GO:0010669;GO:0016080;GO:0016323;GO:0016324;GO:0016331;GO:0016477;GO:0021747;GO:0030027;GO:0030859;GO:0032729;GO:0034750;GO:0035089;GO:0035591;GO:0035748;GO:0036342;GO:0042060;GO:0042734;GO:0043065;GO:0043615;GO:0044291;GO:0045197;GO:0045930;GO:0046007;GO:0048488;GO:0048593;GO:0050918;GO:0060088;GO:0060122;GO:0060561;GO:0060603;GO:0071896;GO:0090630;GO:0098609;GO:0098887;GO:0098978;GO:0099147;GO:0099149
N0.HOG0028717	GO:0004181;GO:0005794;GO:0005814;GO:0005829;GO:0006508;GO:0008270;GO:0008285;GO:0015631;GO:0021954;GO:0035608;GO:0035609;GO:0035610;GO:0036064;GO:0051607;GO:0098930;GO:0098957;GO:0098958;GO:0120222;GO:1904115;GO:2000060
N0.HOG0010487	GO:0002026;GO:0002086;GO:0003007;GO:0004558;GO:0005764;GO:0005765;GO:0005977;GO:0005980;GO:0006941;GO:0007040;GO:0007626;GO:0009888;GO:0016020;GO:0030246;GO:0035904;GO:0043181;GO:0046716;GO:0050884;GO:0050885;GO:0060048;GO:0061723;GO:0090599;GO:0120282
N0.HOG0010984	GO:0003724;GO:0003729;GO:0005524;GO:0005634;GO:0005635;GO:0005737;GO:0007140;GO:0007141;GO:0007276;GO:0007281;GO:0007283;GO:0016887;GO:0030154;GO:0034587;GO:0043186;GO:0045495;GO:0048477;GO:0071546;GO:0071547;GO:0141006;GO:0141196
N0.HOG0029435	GO:0004174;GO:0005743;GO:0022900;GO:0046872;GO:0051539
N0.HOG0020637	GO:0001736;GO:0001843;GO:0001942;GO:0004930;GO:0005509;GO:0005654;GO:0005886;GO:0007156;GO:0007166;GO:0007266;GO:0007626;GO:0009952;GO:0016020;GO:0032956;GO:0042060;GO:0042249;GO:0042472;GO:0045176;GO:0048105;GO:0060488;GO:0060489;GO:0060490;GO:0090251;GO:0097475
N0.HOG0028969	GO:0005829;GO:0009086;GO:0009235;GO:0010181;GO:0016723;GO:0030586;GO:0033353;GO:0046655;GO:0050660;GO:0050667;GO:0050821
N0.HOG0025944	GO:0001822;GO:0001932;GO:0001942;GO:0005509;GO:0005886;GO:0006897;GO:0007167;GO:0008104;GO:0009953;GO:0009954;GO:0009986;GO:0014069;GO:0015026;GO:0016055;GO:0030279;GO:0030326;GO:0030425;GO:0030971;GO:0031594;GO:0034185;GO:0035022;GO:0042475;GO:0042733;GO:0042803;GO:0043025;GO:0043113;GO:0044853;GO:0045202;GO:0048813;GO:0050731;GO:0050771;GO:0050808;GO:0051124;GO:0071340;GO:0090090;GO:0097060;GO:0097104;GO:0097105;GO:0097110;GO:0150052;GO:0150094;GO:1901631;GO:1904395
N0.HOG0003732	GO:0001503;GO:0004383;GO:0004672;GO:0005524;GO:0005525;GO:0005886;GO:0006182;GO:0007168;GO:0016941;GO:0017046;GO:0035556;GO:0042802
N0.HOG0025289	GO:0000165;GO:0001890;GO:0004706;GO:0004709;GO:0005524;GO:0005737;GO:0010225;GO:0010468;GO:0019100;GO:0032206;GO:0035556;GO:0038066;GO:0043507;GO:0046872;GO:0048471;GO:0060718;GO:0106310;GO:1900745
N0.HOG0021030	GO:0000209;GO:0005654;GO:0006281;GO:0006511;GO:0008270;GO:0033696;GO:0045995;GO:0061630;GO:0140861
N0.HOG0021285	GO:0003351;GO:0003777;GO:0005524;GO:0005576;GO:0005737;GO:0005871;GO:0005874;GO:0005929;GO:0007018;GO:0008017;GO:0016887;GO:0021591;GO:0051649;GO:0060271
N0.HOG0028882	GO:0005765;GO:0005774;GO:0005829;GO:0006914;GO:0008270;GO:0016239;GO:0031669;GO:0034198;GO:0061630;GO:0061700;GO:0085020;GO:1904263
N0.HOG0028797	GO:0001764;GO:0005576;GO:0005604;GO:0005654;GO:0005737;GO:0005829;GO:0006915;GO:0006930;GO:0007097;GO:0007265;GO:0007409;GO:0007411;GO:0008283;GO:0014009;GO:0015629;GO:0030334;GO:0030517;GO:0030879;GO:0032488;GO:0033564;GO:0042472;GO:0045202;GO:0045773;GO:0051963;GO:0060252;GO:0060603;GO:0061643;GO:0062023;GO:0071944;GO:0097475;GO:0098609;GO:0098978;GO:1903975;GO:2000147
N0.HOG0027104	GO:0000139;GO:0000209;GO:0000781;GO:0003950;GO:0005643;GO:0005794;GO:0005813;GO:0005829;GO:0008270;GO:0015031;GO:0016055;GO:0016604;GO:0016779;GO:0031670;GO:0031965;GO:0032212;GO:0042393;GO:0045944;GO:0051028;GO:0051301;GO:0070198;GO:0070212;GO:0070213;GO:0090263;GO:0097431;GO:0140806;GO:0140807;GO:1904355;GO:1904357;GO:1904908;GO:1990404
N0.HOG0017243	GO:0004930;GO:0005886;GO:0008066
N0.HOG0029188	GO:0000781;GO:0001740;GO:0003677;GO:0005524;GO:0006302;GO:0016604;GO:0016887;GO:0035861;GO:0042803;GO:0043584;GO:0045739;GO:0051276;GO:0060818;GO:2000042;GO:2001034
N0.HOG0029556	GO:0001578;GO:0003341;GO:0005524;GO:0005737;GO:0005874;GO:0005929;GO:0015631;GO:0018095;GO:0035082;GO:0036064;GO:0046872;GO:0060296;GO:0070739;GO:0070740;GO:0106437;GO:0106438
N0.HOG0026274	GO:0003987;GO:0005524;GO:0005739;GO:0005759;GO:0031956;GO:0043231;GO:0046951;GO:0050218
N0.HOG0024593	GO:0004143;GO:0005509;GO:0005524;GO:0005737;GO:0005886;GO:0006654;GO:0007200;GO:0008270;GO:0009617;GO:0016607;GO:0045211;GO:0046339;GO:0046473;GO:0046834;GO:0050804;GO:0098685;GO:0098978;GO:0099175
N0.HOG0025806	GO:0005680;GO:0007399;GO:0010629;GO:0030154;GO:0031145;GO:0031625;GO:0031915;GO:0045773;GO:0050775;GO:0051301;GO:0070936;GO:0070979;GO:0090129;GO:0141198
N0.HOG0029960	GO:0000151;GO:0005634;GO:0005737;GO:0034657;GO:0043161;GO:0048513
N0.HOG0015819	GO:0002062;GO:0004222;GO:0005576;GO:0005788;GO:0006029;GO:0006508;GO:0008237;GO:0009986;GO:0030198;GO:0030199;GO:0031012;GO:0032331;GO:0043931;GO:0046872;GO:0051603;GO:0071347;GO:0071356;GO:0071773
N0.HOG0028958	GO:0001754;GO:0004181;GO:0005634;GO:0005737;GO:0005739;GO:0005829;GO:0006508;GO:0007005;GO:0008270;GO:0015631;GO:0021702;GO:0021772;GO:0035609;GO:0035610;GO:0050905
N0.HOG0013993	GO:0004016;GO:0004383;GO:0005525;GO:0005829;GO:0006182;GO:0007263;GO:0008015;GO:0008074;GO:0019934;GO:0020037;GO:0038023;GO:0038060;GO:0044877;GO:0046872;GO:0047805;GO:0051879;GO:0070026;GO:0070482;GO:0071732;GO:0098831;GO:0098978
N0.HOG0025281	GO:0005886;GO:0030425;GO:0034706
N0.HOG0016020	GO:0000166;GO:0000724;GO:0003677;GO:0003887;GO:0005634;GO:0005654;GO:0005730;GO:0006261;GO:0008270;GO:0016035;GO:0042276;GO:0051539
N0.HOG0006975	GO:0003676;GO:0003724;GO:0005524;GO:0016887
N0.HOG0030136	GO:0001889;GO:0005112;GO:0005509;GO:0005886;GO:0007219;GO:0009913;GO:0009953;GO:0016020;GO:0030878;GO:0031016;GO:0031017;GO:0031101;GO:0032474;GO:0035622;GO:0042472;GO:0048752;GO:0060117;GO:0060325;GO:0060351;GO:0060872;GO:0061008;GO:1904888
N0.HOG0019197	GO:0005509;GO:0005546;GO:0006887;GO:0015031;GO:0016050;GO:0016082;GO:0019901;GO:0031045;GO:0031410;GO:0045055;GO:0045921;GO:0045956;GO:0050432;GO:0051649;GO:0098674;GO:0098793;GO:0098978;GO:0099525
N0.HOG0012755	GO:0003676;GO:0005524;GO:0005634;GO:0005829;GO:0006307;GO:0009378;GO:0016607;GO:0016887;GO:0022626;GO:0032790;GO:0036121;GO:0043138;GO:0061749;GO:0072344;GO:0180022;GO:1990116;GO:1990391;GO:1990518
N0.HOG0026056	GO:0004377;GO:0005789;GO:0006487;GO:0006488
N0.HOG0026101	GO:0001676;GO:0004467;GO:0005524;GO:0005737;GO:0005739;GO:0005741;GO:0005777;GO:0005778;GO:0005783;GO:0005789;GO:0005811;GO:0005886;GO:0006629;GO:0006631;GO:0007584;GO:0015908;GO:0019432;GO:0030182;GO:0031957;GO:0031966;GO:0032024;GO:0035336;GO:0035338;GO:0043025;GO:0044233;GO:0047676;GO:0060136;GO:0060996;GO:0070672
N0.HOG0027872	GO:0005765;GO:0005774;GO:0031419;GO:0072665
N0.HOG0028206	GO:0001578;GO:0002181;GO:0003924;GO:0005525;GO:0005634;GO:0005737;GO:0008017;GO:0031116;GO:0046872
N0.HOG0028275	GO:0003341;GO:0005930;GO:0031514;GO:0036126;GO:0044782;GO:0120316
N0.HOG0007210	GO:0004713;GO:0004715;GO:0005102;GO:0005524;GO:0005737;GO:0005829;GO:0005886;GO:0007169;GO:0007391;GO:0007395;GO:0007411;GO:0007424;GO:0007435;GO:0007476;GO:0016477;GO:0030154;GO:0034332;GO:0036335;GO:0042059;GO:0042742;GO:0043277;GO:0045742;GO:0045874;GO:0045886;GO:0046529;GO:0048167;GO:0048749;GO:0051017;GO:0070374;GO:0090136;GO:0106016
N0.HOG0026589	GO:0004571;GO:0005509;GO:0005783;GO:0005788;GO:0005975;GO:0006058;GO:0016020;GO:0019082;GO:0030968;GO:0036503;GO:0044322;GO:0097466;GO:1904154;GO:1904380
N0.HOG0005299	GO:0002280;GO:0002281;GO:0005509;GO:0005543;GO:0005544;GO:0005768;GO:0005769;GO:0005770;GO:0005886;GO:0030139;GO:0030315;GO:0030659;GO:0030672;GO:0034451;GO:0042383;GO:0046928;GO:0050765;GO:0070062
N0.HOG0014466	GO:0005222;GO:0005223;GO:0005262;GO:0005272;GO:0005886;GO:0006812;GO:0007165;GO:0007601;GO:0015276;GO:0017022;GO:0017071;GO:0030425;GO:0030553;GO:0032026;GO:0043194;GO:0043204;GO:0044877;GO:0045296;GO:0051591;GO:0097386;GO:0098655;GO:0098659;GO:1902495
N0.HOG0005112	GO:0000064;GO:0001618;GO:0005290;GO:0015189;GO:0015819;GO:0016020;GO:0016323;GO:0016324;GO:0032991;GO:0042102;GO:0061459;GO:1903352;GO:1903810;GO:1903826
N0.HOG0005125	GO:0000064;GO:0005886;GO:0006865;GO:0015171;GO:0015174;GO:0015179;GO:0015189;GO:0015807;GO:0030054;GO:0061459;GO:0089718;GO:0097638;GO:0150104;GO:1902475;GO:1903352;GO:1903826
N0.HOG0028201	GO:0005524;GO:0005829;GO:0016226;GO:0046872;GO:0051536;GO:0051539;GO:0140663
N0.HOG0029601	GO:0005886
N0.HOG0013959	GO:0000302;GO:0001666;GO:0003924;GO:0004383;GO:0005525;GO:0008074;GO:0019825;GO:0019826;GO:0019899;GO:0019934;GO:0020037;GO:0038060;GO:0042803;GO:0046872;GO:0046982;GO:0070025;GO:0070026;GO:0070482
N0.HOG0006843	GO:0002639;GO:0004653;GO:0005576;GO:0005796;GO:0006493;GO:0016266;GO:0018242;GO:0018243;GO:0030145;GO:0030246;GO:0032580;GO:0048471;GO:0051604
N0.HOG0029535	GO:0015031
N0.HOG0025908	GO:0005737;GO:0005814;GO:0005929;GO:0034451;GO:0061511;GO:0071539;GO:1905515
N0.HOG0015535	GO:0005739;GO:0005741;GO:0005743;GO:0008131;GO:0009410;GO:0009636;GO:0010044;GO:0010269;GO:0014063;GO:0019607;GO:0030425;GO:0032496;GO:0042802;GO:0043025;GO:0045471;GO:0045964;GO:0050660;GO:0051412;GO:0097621
N0.HOG0027726	GO:0005737;GO:0031463;GO:0043161;GO:1990756
N0.HOG0027619	GO:0004222;GO:0005758;GO:0005829;GO:0006508;GO:0006518;GO:0046872
N0.HOG0002427	GO:0005524;GO:0005634;GO:0005737;GO:0005739;GO:0005788;GO:0005789;GO:0005793;GO:0005829;GO:0005886;GO:0006983;GO:0008180;GO:0009986;GO:0016020;GO:0016887;GO:0019904;GO:0021589;GO:0021680;GO:0030291;GO:0030335;GO:0030496;GO:0030512;GO:0030968;GO:0031072;GO:0031204;GO:0031333;GO:0031398;GO:0031625;GO:0034663;GO:0035437;GO:0036498;GO:0036503;GO:0042026;GO:0042149;GO:0042470;GO:0043022;GO:0043066;GO:0044183;GO:0051085;GO:0051787;GO:0071353;GO:0140662;GO:1903895;GO:1903898
N0.HOG0026103	GO:0004044;GO:0006177;GO:0006189;GO:0009113;GO:0044208;GO:0046872;GO:0051539;GO:0097294
N0.HOG0003803	GO:0005283;GO:0005308;GO:0005332;GO:0005368;GO:0005369;GO:0005886;GO:0006836;GO:0006865;GO:0008028;GO:0015171;GO:0015185;GO:0015718;GO:0015734;GO:0015881;GO:0016323;GO:0016597;GO:0035725;GO:0042995;GO:0051939;GO:0071705;GO:0089718
N0.HOG0030258	GO:0004663;GO:0005968;GO:0006888;GO:0008270;GO:0018344;GO:0019840;GO:0031267
N0.HOG0017700	GO:0001547;GO:0003676;GO:0005654;GO:0005783;GO:0005829;GO:0007283;GO:0008270;GO:0016607;GO:0060041;GO:0061827;GO:0072520;GO:1990917
N0.HOG0015319	GO:0016980
N0.HOG0015254	GO:0004485;GO:0005524;GO:0005739;GO:0005759;GO:0006552;GO:0007563;GO:0015936;GO:1905202
N0.HOG0030320	GO:0005739;GO:0006623;GO:0006869;GO:0007005;GO:0045053;GO:0070062;GO:1901526
N0.HOG0015635	GO:0000123;GO:0000776;GO:0003713;GO:0005634;GO:0005654;GO:0005694;GO:0005739;GO:0008270;GO:0009048;GO:0010485;GO:0010506;GO:0010719;GO:0016363;GO:0019899;GO:0022008;GO:0030099;GO:0032480;GO:0032931;GO:0035166;GO:0035267;GO:0036408;GO:0043992;GO:0043993;GO:0043994;GO:0043995;GO:0043996;GO:0043997;GO:0043999;GO:0044012;GO:0044014;GO:0044015;GO:0044016;GO:0044017;GO:0044018;GO:0044545;GO:0045815;GO:0045892;GO:0045893;GO:0046972;GO:0048477;GO:0050684;GO:0060261;GO:0061629;GO:0061733;GO:0061920;GO:0071339;GO:0072487;GO:0140908;GO:1902726;GO:1903108;GO:1990841
N0.HOG0014270	GO:0000050;GO:0004087;GO:0004088;GO:0005524;GO:0005739;GO:0005951;GO:0006207;GO:0006526;GO:0006541;GO:0046872
N0.HOG0024740	GO:0000785;GO:0005634;GO:0005654;GO:0007059;GO:0032116;GO:0034088;GO:0051301
N0.HOG0016506	GO:0005634;GO:0005654;GO:0005681;GO:0005737;GO:0005783;GO:0005829;GO:0006397;GO:0008143;GO:0008380;GO:0016556;GO:0045293;GO:0070934;GO:0070937;GO:0071204;GO:0106002;GO:0141166;GO:1900152;GO:1990904;GO:2000623;GO:2000767
N0.HOG0025550	GO:0000175;GO:0000177;GO:0003723;GO:0005813;GO:0005829;GO:0005886;GO:0006396;GO:0006401;GO:0006402;GO:0008859;GO:0016075;GO:0019899;GO:0036064
N0.HOG0029841	GO:0000407;GO:0000791;GO:0001525;GO:0003682;GO:0005634;GO:0005737;GO:0005881;GO:0006914;GO:0007267;GO:0010595;GO:0031252;GO:0032956;GO:0035091;GO:0043085;GO:0045111;GO:0045944;GO:0048487;GO:0071391;GO:0071944
N0.HOG0004375	GO:0004965;GO:0005737;GO:0005886;GO:0007193;GO:0007214;GO:0030425;GO:0038039;GO:0042734;GO:0043005;GO:0043204;GO:0045211;GO:0046982;GO:0051932;GO:0098978;GO:0098982;GO:0150099;GO:1902710;GO:1902712
N0.HOG0029549	GO:0032259;GO:0035098;GO:0045814;GO:0048511;GO:0140951;GO:1990841
N0.HOG0014817	GO:0005789;GO:0005791;GO:0006487;GO:0008250;GO:0015833;GO:0018279
N0.HOG0029267	GO:0003723;GO:0005524;GO:0005737;GO:0005783;GO:0007286;GO:0016887;GO:0034458;GO:0034612;GO:0035770;GO:0044829;GO:0048471;GO:0048599;GO:0051321;GO:0051729;GO:0070063;GO:0070555;GO:1990247
N0.HOG0030208	GO:0003677;GO:0005524;GO:0005634;GO:0005663;GO:0006261;GO:0006281;GO:0016887;GO:0031390;GO:1900264
N0.HOG0026654	GO:0005829;GO:0005886;GO:0046854;GO:0072659
N0.HOG0025874	GO:0000398;GO:0061632;GO:0071014
N0.HOG0029874	GO:0000407;GO:0005545;GO:0005547;GO:0005739;GO:0005776;GO:0005783;GO:0005789;GO:0005794;GO:0005795;GO:0005811;GO:0008270;GO:0009267;GO:0016236;GO:0032266;GO:0043325;GO:0044233;GO:0044829;GO:0048471;GO:0097629;GO:0140042;GO:1990462
N0.HOG0013240	GO:0002063;GO:0005576;GO:0005794;GO:0009954;GO:0016757;GO:0030206;GO:0030279;GO:0031667;GO:0032580;GO:0045880;GO:0046872;GO:0047238;GO:0050510;GO:0050653;GO:0051216;GO:0051923;GO:0060349
N0.HOG0017345	GO:0000349;GO:0000398;GO:0000974;GO:0001824;GO:0005634;GO:0005654;GO:0006283;GO:0006351;GO:0016020;GO:0043231;GO:0071007;GO:0071013;GO:0071014
N0.HOG0025070	GO:0005524;GO:0005739;GO:0005743;GO:0016020;GO:0016887;GO:0042626;GO:0055085;GO:0062157;GO:0071805;GO:0140359
N0.HOG0025482	GO:0001540;GO:0004972;GO:0005509;GO:0005516;GO:0005737;GO:0005789;GO:0005886;GO:0006812;GO:0007268;GO:0007420;GO:0008021;GO:0008542;GO:0009986;GO:0010524;GO:0014069;GO:0015280;GO:0016594;GO:0016595;GO:0017146;GO:0018964;GO:0022849;GO:0030425;GO:0034702;GO:0035235;GO:0035725;GO:0038023;GO:0042391;GO:0043005;GO:0043083;GO:0043195;GO:0043197;GO:0044877;GO:0045202;GO:0045211;GO:0045471;GO:0045944;GO:0048167;GO:0048168;GO:0051290;GO:0051968;GO:0055074;GO:0060076;GO:0060079;GO:0070588;GO:0097060;GO:0097553;GO:0098655;GO:0098839;GO:0098878;GO:0098976;GO:0160212;GO:1903428;GO:1904062;GO:1905429;GO:2000463
N0.HOG0025519	GO:0004672;GO:0005096;GO:0005524;GO:0005769;GO:0005819;GO:0030496
N0.HOG0012932	GO:0004013;GO:0005783;GO:0005829;GO:0006730;GO:0043005;GO:0043231
N0.HOG0026369	GO:0000139;GO:0005975;GO:0047186
N0.HOG0027814	GO:0003677;GO:0003689;GO:0005663;GO:0006261;GO:0016887;GO:0017116;GO:0031390;GO:0046683;GO:1900264
N0.HOG0024860	GO:0005524;GO:0005697;GO:0005730;GO:0006473;GO:0010824;GO:0030496;GO:0032040;GO:0032211;GO:0042274;GO:0045727;GO:0051391;GO:0051392;GO:0070182;GO:0106162;GO:1904812
